Rank(ACPA–)	Rho	RA_phenotype
1	0.6370472530910556	2
1	0.07725200891946085	1
2	0.5858267988711768	2
2	0.2236515607330467	1
3	0.5826332585213901	2
3	0.2981081886345186	1
4	0.5609359696743095	2
4	0.2436506297658506	1
5	0.5553942378908561	2
5	-0.08126763465220561	1
6	0.5374540553376421	2
6	0.3038926424047082	1
7	0.5348240809319355	2
7	-0.14318582288744594	1
8	0.5322880341835753	2
8	0.2838365525172125	1
9	0.5201304468036392	2
9	0.2438589293068175	1
10	0.5040164527235471	2
10	0.2958547724054703	1
11	0.5022311838326411	2
11	0.25012920142436457	1
12	0.5013858349165211	2
12	0.2886250620039402	1
13	0.5005404860004011	2
13	0.49115084558965877	1
14	0.48532420551024064	2
14	0.48824018296047145	1
15	0.483821362992694	2
15	0.5648563347481147	1
16	0.482694231104534	2
16	0.0	1
17	0.4810974609296407	2
17	0.4193232032887434	1
18	0.4730879774762798	2
18	0.43602396127474036	1
19	0.4717046951949737	2
19	0.5860760042383197	1
20	0.46963828673334695	2
20	0.04675838675275284	1
21	0.46822329923097095	2
21	0.24562236896626796	1
22	0.4681354442158002	2
22	0.0560537286975772	1
23	0.4629694230617334	2
23	0.3877753760820668	1
24	0.46033944865602666	2
24	0.5135911155372651	1
25	0.45705198064889324	2
25	0.444486351179783	1
26	0.4553870738068488	2
26	0.1678643708286914	1
27	0.4540408638383121	2
27	0.42620177670286497	1
28	0.4533953743256281	2
28	0.21718098788804394	1
29	0.4483068988623983	2
29	0.31613551846690524	1
30	0.44803492554361296	2
30	-0.007135818058653044	1
31	0.44683482497112226	2
31	0.36600952036313983	1
32	0.4454988787952529	2
32	-0.05088964983934145	1
33	0.44542584402208585	2
33	0.3889020841965909	1
34	0.44521709582321284	2
34	-0.12947754082740195	1
35	0.44462742148429846	2
35	0.03020055692301303	1
36	0.44099035124261277	2
36	0.26383748348440855	1
37	0.44070856827057275	2
37	-0.01107929645948762	1
38	0.4388300151236394	2
38	0.3378246496714954	1
39	0.4355425471165059	2
39	-0.007417495087284085	1
40	0.43300650036814586	2
40	0.16064979866257048	1
41	0.43018867064774574	2
41	0.2742595335437571	1
42	0.42840404515815905	2
42	0.18515570015347108	1
43	0.428122262186119	2
43	0.33557123344244705	1
44	0.42502264949367896	2
44	0.4015775504849878	1
45	0.4241773005775589	2
45	0.10299990013608407	1
46	0.4225805304026656	2
46	0.22590497696209508	1
47	0.42070197725573216	2
47	0.16412381534902	1
48	0.4200444836543054	2
48	0.05088964983934145	1
49	0.4155359561016653	2
49	0.3174500112671835	1
50	0.4154420284443187	2
50	0.2613023902267292	1
61	-0.2579253470739541	2
61	-0.1285386173986318	1
62	-0.2583010577033408	2
62	0.29885932737753473	1
63	-0.2620343607292909	2
63	-0.010422050059348527	1
64	-0.26337315120006094	2
64	-0.07614669007325814	1
65	-0.2637488618294476	2
65	0.09436180459139881	1
66	-0.26703632983658104	2
66	-0.06910476435748211	1
67	-0.2709812914451412	2
67	-0.29932878909191973	1
68	-0.2718266403612612	2
68	-0.1087273330515819	1
69	-0.2770531953832803	2
69	0.18729432555836686	1
70	-0.2858218613059149	2
70	0.24975363205285656	1
71	-0.2984081673903686	2
71	-0.06525517829952455	1
72	-0.29934744396383534	2
72	0.2699404857714145	1
73	-0.30798878843972893	2
73	-0.4845783815882679	1
74	-0.31306088193644904	2
74	0.10290600779320705	1
75	-0.31334266490848905	2
75	-0.4433596430652588	1
76	-0.3136039087191958	2
76	0.028946008208265137	1
77	-0.31481064922210744	2
77	0.45390074977293615	1
78	-0.3154090733701158	2
78	0.11736542859626717	1
79	-0.32001152858010257	2
79	0.1383034210578412	1
80	-0.3209508051535693	2
80	-0.04596245772646407	1
81	-0.32166865500939895	2
81	-0.23914379730775398	1
82	-0.3311239778758858	2
82	-0.1387324439036786	1
83	-0.3429298769726899	2
83	0.08760155590425382	1
84	-0.34760302252666286	2
84	-0.04647238662857221	1
85	-0.3560797490012237	2
85	0.07952681441683064	1
86	-0.3694868049509247	2
86	-0.10008923750689665	1
87	-0.37228340203236654	2
87	0.2366258254714458	1
88	-0.3748652804705575	2
88	0.16525052346354416	1
89	-0.3793738080231976	2
89	-0.08018406081696974	1
90	-0.38406251973763744	2
90	-0.03858975292245265	1
91	-0.38820300781378453	2
91	0.1410262990012746	1
92	-0.3925973450012495	2
92	-0.26543365331331786	1
93	-0.40557962442291845	2
93	-0.3701236156211882	1
94	-0.412220859656458	2
94	-0.10478385465074733	1
95	-0.4145966795281987	2
95	-0.26918934702839836	1
96	-0.4219117807465626	2
96	-0.06309565441335323	1
97	-0.440565341903898	2
97	-0.15053310254783325	1
98	-0.44946492274265726	2
98	-0.28289762908844235	1
99	-0.46165443585888005	2
99	-0.5413832490288611	1
100	-0.46578725278213345	2
100	-0.46523655895560306	1
101	-0.46597510809682685	2
101	-0.5831653416091324	1
102	-0.4849455599177913	2
102	-0.10994793350898309	1
103	-0.4912083372197098	2
103	-0.0308963780442364	1
104	-0.49123304497487325	2
104	-0.10281211545033005	1
105	-0.5246105733579395	2
105	-0.2659970073705799	1
106	-0.557722303558326	2
106	-0.3274964919550239	1
107	-0.5756422326323914	2
107	-0.21826298873373998	1
108	-0.5899763882765845	2
108	-0.2436506297658506	1
109	-0.6003103695999005	2
109	-0.1400873755725045	1
110	-0.6034158242028517	2
110	-0.20889652767778538	1
