Rank(ACPA–)	Rho	RA_phenotype
1	0.5916299380520114	2
1	0.36605049775430554	1
2	0.5829971142136632	2
2	0.08942479476028022	1
3	0.5009387996672316	2
3	0.007232085718219417	1
4	0.48090458882102427	2
4	0.05733321049163822	1
5	0.46157457022646214	2
5	0.022895750179966815	1
6	0.4421507165901788	2
6	0.5087735962122134	1
7	0.4361452739200236	2
7	0.11025617402238119	1
8	0.4354884286279754	2
8	0.27822089870328526	1
9	0.43156202721536724	2
9	0.24636321084569873	1
10	0.4312658517505224	2
10	-0.04363329440034659	1
11	0.42638642958102135	2
11	0.045134655067885394	1
12	0.4244273450703812	2
12	0.21445330925044634	1
13	0.42385288345454963	2
13	0.2832074398770786	1
14	0.4217885125366837	2
14	0.29079479429392274	1
15	0.4167878874135337	2
15	0.4008632982328616	1
16	0.4153138946579226	2
16	0.09815145364034954	1
17	0.4116543280307968	2
17	0.08355663570589561	1
18	0.4109036476970274	2
18	-0.08126114613053796	1
19	0.4012386383997463	2
19	0.3256075947724789	1
20	0.3972037316057358	2
20	0.11081918427270823	1
21	0.3971098965640146	2
21	0.16655719905508645	1
22	0.3952331957295911	2
22	0.2325232333850728	1
23	0.3856620214740312	2
23	0.0821994965477497	1
24	0.38547435139058883	2
24	-0.0772262393365274	1
25	0.3850450687472171	2
25	-0.14429215425197434	1
26	0.3821504831694253	2
26	-0.14366289952357866	1
27	0.3818343841979084	2
27	0.016674629735236847	1
28	0.38115793947141474	2
28	0.007225298212530511	1
29	0.378624393344943	2
29	0.1449751394592161	1
30	0.37534016688470184	2
30	-0.20052548415815197	1
31	0.3751700943103247	2
31	0.025429296306438552	1
32	0.37393264125888426	2
32	0.0845453725907791	1
33	0.3692408891728255	2
33	0.31265835901495664	1
34	0.3649244772536514	2
34	0.09139533063642491	1
35	0.35966971491726557	2
35	0.12836633707456802	1
36	0.357230003832515	2
36	0.09496106222182958	1
37	0.3558749712510827	2
37	0.19559207975699522	1
38	0.3556348081232551	2
38	0.16852773493123116	1
39	0.35501126950532147	2
39	0.10998242859765203	1
40	0.3464389740345798	2
40	0.04748053111091479	1
41	0.3435710332109952	2
41	0.37398408714708503	1
42	0.3418209473636602	2
42	-0.1298018501633667	1
43	0.34033969632270344	2
43	0.18663789798341804	1
44	0.33841470972262994	2
44	0.1553489581549989	1
45	0.3378061501962317	2
45	0.33086235710886475	1
46	0.3362109544869717	2
46	0.03152857401831496	1
47	0.3353664391114811	2
47	-0.07816458975373916	1
48	0.3346157587777117	2
48	0.05339213873934884	1
49	0.3323637177764035	2
49	-0.1840105168152251	1
50	0.33226988273468233	2
50	0.11719996710974816	1
61	-0.30646524626135907	2
61	-0.1354039652036562	1
62	-0.31154695175344627	2
62	-0.14445386798209695	1
63	-0.31228301884807197	2
63	-0.20221451490913314	1
64	-0.31228301884807197	2
64	0.2234212343381188	1
65	-0.3160512450318093	2
65	-0.3334283378529331	1
66	-0.3163179256420825	2
66	-0.2276438112155717	1
67	-0.3183822965599484	2
67	-0.21531168235322262	1
68	-0.3193206469771601	2
68	-0.27840856878672765	1
69	-0.32260487343740124	2
69	0.03321760476929612	1
70	-0.32369779588831044	2
70	-0.28178042052449387	1
71	-0.3264521101479695	2
71	-0.2436896033498927	1
72	-0.32740581767101623	2
72	-0.13371493445267504	1
73	-0.32807370667195357	2
73	-0.33463145480505707	1
74	-0.32966805369902	2
74	0.04271498385468336	1
75	-0.33292672802673057	2
75	-0.2627381168192913	1
76	-0.33486626144664877	2
76	-0.10697194756214003	1
77	-0.33615110111048435	2
77	-0.1251759456560481	1
78	-0.3404335313644246	2
78	-0.1858282504664699	1
79	-0.34270164692879085	2
79	-0.3812517745131359	1
80	-0.34296707749089633	2
80	-0.19611523719725676	1
81	-0.34296707749089633	2
81	-0.13455944982816562	1
82	-0.344374603116714	2
82	-0.2989584429236651	1
83	-0.3455944586590892	2
83	0.010603359714492827	1
84	-0.3457821287425316	2
84	-0.319789822185766	1
85	-0.34959607016083644	2
85	-0.11054759597849682	1
86	-0.3502928847431561	2
86	-0.1659782229781982	1
87	-0.3521629115795715	2
87	-0.20981515328854833	1
88	-0.35534955758197756	2
88	0.09477339213838724	1
89	-0.3598573850007079	2
89	0.08041663075504739	1
90	-0.3600450550841503	2
90	0.08191799142258618	1
91	-0.3607188200422432	2
91	-0.0700140782060538	1
92	-0.36098340550136204	2
92	-0.32438773923010356	1
93	-0.36379845675299727	2
93	-0.19527072182176616	1
94	-0.36858404388077726	2
94	-0.28281881574762285	1
95	-0.368959384047662	2
95	-0.0371604195464954	1
96	-0.36961622933971017	2
96	-0.10744112277074591	1
97	-0.37130526009069137	2
97	-0.16055175638493122	1
98	-0.3783351017893287	2
98	-0.27153194560223815	1
99	-0.3784367232615007	2
99	-0.08606288165543076	1
100	-0.38153327963829947	2
100	-0.07591254875243096	1
101	-0.38406682576477114	2
101	-0.35685466366563035	1
102	-0.3863188667660794	2
102	-0.018673173302513918	1
103	-0.3911044538938593	2
103	-0.39429484531237935	1
104	-0.416185357599219	2
104	-0.195169127157809	1
105	-0.421413172369799	2
105	-0.016421132301205708	1
106	-0.42705595946143865	2
106	-0.2562634989405302	1
107	-0.44768698405172813	2
107	-0.29398518571244275	1
108	-0.4542468344735931	2
108	-0.035580173364670314	1
109	-0.5019236381665676	2
109	-0.022463482490111413	1
110	-0.5319506980865225	2
110	-0.1051890817694377	1
