Rank(ACPA–)	Rho	RA_phenotype
1	-0.5604404714807694	2
1	0.03374637115114672	1
2	-0.5582758488732242	2
2	-0.13394535672664057	1
3	-0.5493221826329241	2
3	-0.443094476005125	1
4	-0.5204933451778915	2
4	-0.1925392271842823	1
5	-0.5156721402792683	2
5	-0.2624589345351171	1
6	-0.48989345286214026	2
6	0.025078638834927527	1
7	-0.4893199187454749	2
7	-0.0963761841945074	1
8	-0.480447826938307	2
8	-0.3218617933422726	1
9	-0.4698214977739947	2
9	-0.4700222310675127	1
10	-0.46381958963489234	2
10	-0.11013798529809185	1
11	-0.45486592339459214	2
11	-0.0806676954229466	1
12	-0.453685220154113	2
12	-0.23506890041586445	1
13	-0.4526029088503405	2
13	-0.014215080998599474	1
14	-0.45207706272762577	2
14	-0.08600131551249389	1
15	-0.4504382862427954	2
15	-0.44355675506199005	1
16	-0.44974954268584916	2
16	-0.11649432232998594	1
17	-0.4468961765213579	2
17	-0.12886028710112532	1
18	-0.43676180704057854	2
18	-0.14342207739237356	1
19	-0.4336132650659675	2
19	-0.022767243550602407	1
20	-0.42544673431932	2
20	-0.2527510743409516	1
21	-0.42426603107884087	2
21	-0.029932568932010274	1
22	-0.42345995950048027	2
22	-0.15024069348113267	1
23	-0.42052713748399023	2
23	-0.29759214285685887	1
24	-0.4051779953577613	2
24	-0.05327766130369396	1
25	-0.39966804690219193	2
25	-0.049348289320341264	1
26	-0.39219025971249066	2
26	0.07072869570034859	1
27	-0.385302824143029	2
27	-0.12539319417463762	1
28	-0.3721183046243452	2
28	0.17959541359206163	1
29	-0.3705440336370396	2
29	-0.1118715317613357	1
30	-0.366805140042189	2
30	-0.2837237711509082	1
31	-0.3637549900042845	2
31	-0.09418935783624854	1
32	-0.3517511737260798	2
32	-0.0678394515949422	1
33	-0.35106243016913363	2
33	-0.08240124188619044	1
34	-0.3436991562677868	2
34	-0.32498217697611154	1
35	-0.3391570058276356	2
35	-0.18294693675433307	1
36	-0.33905861389092895	2
36	-0.14677360055464497	1
37	-0.33760440978963563	2
37	0.06905979539157096	1
38	-0.3365988154732641	2
38	-0.30221493342550915	1
39	-0.33187983408630123	2
39	-0.15458238283228515	1
40	-0.3269564056760177	2
40	-0.21519090097066845	1
41	-0.32380786370140663	2
41	0.07835630013862148	1
42	-0.3184946991192505	2
42	-0.09291809042986973	1
43	-0.31790434749901086	2
43	-0.15717487933410798	1
44	-0.317609171688891	2
44	-0.3530656296806617	1
45	-0.31367349422062724	2
45	-0.13082497309280167	1
46	-0.31331684573046337	2
46	0.09283484971959667	1
47	-0.3107217361194294	2
47	-0.4287638252423093	1
48	-0.310328168372603	2
48	-0.2712422366155526	1
49	-0.3099346006257766	2
49	-0.13510105436880313	1
50	-0.3095410328789502	2
50	-0.09684746241322242	1
