Rank(ACPA–)	Rho	RA_phenotype
1	0.5657536360629255	2
1	0.19877999445196012	1
2	0.4493559749390228	2
2	0.43766269708696104	1
3	0.4352859279899796	2
3	-0.16722944882092225	1
4	0.424954774635787	2
4	-0.3476338507624977	1
5	0.41974000199033756	2
5	-0.23726472593597334	1
6	0.40990080831967796	2
6	0.3961731517333252	1
7	0.4066538744083602	2
7	0.14550233314826616	1
8	0.3969130726744073	2
8	0.04276081276001468	1
9	0.39661789686428744	2
9	0.02380737142854871	1
10	0.39228865164919724	2
10	-0.01687318557557336	1
11	0.38884493386446645	2
11	-0.025772057420225064	1
12	0.3842205128392564	2
12	0.02831459223298269	1
13	0.37864222575543005	2
13	0.06796878161471291	1
14	0.3750384580918035	2
14	0.09409283713329306	1
15	0.3689697626497341	2
15	0.2105681104020182	1
16	0.3607048399663801	2
16	0.18619231307873746	1
17	0.35962252866260747	2
17	0.04114283606098709	1
18	0.35735951411835576	2
18	-0.24477676061002995	1
19	0.35145599791596005	2
19	-0.01906901109568222	1
20	0.34948815918182813	2
20	-0.1089822876559293	1
21	0.3482090640046423	2
21	-0.19704644798871626	1
22	0.347323536574283	2
22	0.19739315728136506	1
23	0.3405344929415279	2
23	0.11718774091528346	1
24	0.3403377090681147	2
24	0.15601918169194542	1
25	0.3401409251947015	2
25	0.14284422857129228	1
26	0.3367180504873874	2
26	0.12314581600583165	1
27	0.33285992187841346	2
27	-0.2111459592230995	1
28	0.3301554335946306	2
28	0.02808345270455018	1
29	0.32941620409368255	2
29	-0.14665803079042872	1
30	0.32715318954943085	2
30	-0.001849116227460094	1
31	0.32489017500517914	2
31	0.019739639755679543	1
32	0.3244966072583528	2
32	0.4799612307901107	1
33	0.3222335927141011	2
33	-0.04044941747568956	1
34	0.3218551217154111	2
34	0.16861628599151732	1
35	0.32016736204326257	2
35	-0.31423418890399973	1
36	0.31839630718254386	2
36	0.2838393409151244	1
37	0.31688149421137496	2
37	-0.1490849958389701	1
38	0.3126895748535613	2
38	-0.09777202052695248	1
39	0.305703747347393	2
39	0.29759214285685887	1
40	0.3056806002138975	2
40	-0.11108503253697129	1
41	0.30098093438547635	2
41	0.2566804463243043	1
42	0.2967500811070928	2
42	-0.06552805631061709	1
43	0.2943886746261345	2
43	0.3627734898748272	1
44	0.2931095794489488	2
44	0.09673189264900617	1
45	0.29271601170212236	2
45	-0.14018612399431837	1
46	0.2924208358920026	2
46	0.17127439056849122	1
47	0.28868194229715194	2
47	-0.21415077309272215	1
48	0.2874028471199662	2
48	-0.27413148072095894	1
49	0.28632053581619366	2
49	0.12042369431333863	1
50	0.28622056523501954	2
50	0.03282845914724229	1
61	-0.3095410328789502	2
61	-0.09684746241322242	1
62	-0.3099346006257766	2
62	-0.13510105436880313	1
63	-0.310328168372603	2
63	-0.2712422366155526	1
64	-0.3107217361194294	2
64	-0.4287638252423093	1
65	-0.31331684573046337	2
65	0.09283484971959667	1
66	-0.31367349422062724	2
66	-0.13082497309280167	1
67	-0.317609171688891	2
67	-0.3530656296806617	1
68	-0.31790434749901086	2
68	-0.15717487933410798	1
69	-0.3184946991192505	2
69	-0.09291809042986973	1
70	-0.32380786370140663	2
70	0.07835630013862148	1
71	-0.3269564056760177	2
71	-0.21519090097066845	1
72	-0.33187983408630123	2
72	-0.15458238283228515	1
73	-0.3365988154732641	2
73	-0.30221493342550915	1
74	-0.33760440978963563	2
74	0.06905979539157096	1
75	-0.33905861389092895	2
75	-0.14677360055464497	1
76	-0.3391570058276356	2
76	-0.18294693675433307	1
77	-0.3436991562677868	2
77	-0.32498217697611154	1
78	-0.35106243016913363	2
78	-0.08240124188619044	1
79	-0.3517511737260798	2
79	-0.0678394515949422	1
80	-0.3637549900042845	2
80	-0.09418935783624854	1
81	-0.366805140042189	2
81	-0.2837237711509082	1
82	-0.3705440336370396	2
82	-0.1118715317613357	1
83	-0.3721183046243452	2
83	0.17959541359206163	1
84	-0.385302824143029	2
84	-0.12539319417463762	1
85	-0.39219025971249066	2
85	0.07072869570034859	1
86	-0.39966804690219193	2
86	-0.049348289320341264	1
87	-0.4051779953577613	2
87	-0.05327766130369396	1
88	-0.42052713748399023	2
88	-0.29759214285685887	1
89	-0.42345995950048027	2
89	-0.15024069348113267	1
90	-0.42426603107884087	2
90	-0.029932568932010274	1
91	-0.42544673431932	2
91	-0.2527510743409516	1
92	-0.4336132650659675	2
92	-0.022767243550602407	1
93	-0.43676180704057854	2
93	-0.14342207739237356	1
94	-0.4468961765213579	2
94	-0.12886028710112532	1
95	-0.44974954268584916	2
95	-0.11649432232998594	1
96	-0.4504382862427954	2
96	-0.44355675506199005	1
97	-0.45207706272762577	2
97	-0.08600131551249389	1
98	-0.4526029088503405	2
98	-0.014215080998599474	1
99	-0.453685220154113	2
99	-0.23506890041586445	1
100	-0.45486592339459214	2
100	-0.0806676954229466	1
101	-0.46381958963489234	2
101	-0.11013798529809185	1
102	-0.4698214977739947	2
102	-0.4700222310675127	1
103	-0.480447826938307	2
103	-0.3218617933422726	1
104	-0.4893199187454749	2
104	-0.0963761841945074	1
105	-0.48989345286214026	2
105	0.025078638834927527	1
106	-0.5156721402792683	2
106	-0.2624589345351171	1
107	-0.5204933451778915	2
107	-0.1925392271842823	1
108	-0.5493221826329241	2
108	-0.443094476005125	1
109	-0.5582758488732242	2
109	-0.13394535672664057	1
110	-0.5604404714807694	2
110	0.03374637115114672	1
