Rank(ACPA–)	Rho	RA_phenotype
1	-0.563963963963964	2
1	-0.3773338872137345	1
2	-0.5462033462033462	2
2	-0.320668603491408	1
3	-0.5271557271557271	2
3	-0.06496354702894329	1
4	-0.5037323037323037	2
4	-0.3441408339872671	1
5	-0.49961389961389957	2
5	-0.2905577623502555	1
6	-0.48751608751608755	2
6	-0.43554027697871833	1
7	-0.46872586872586874	2
7	-0.44727639222664783	1
8	-0.4674388674388674	2
8	-0.16632090598833474	1
9	-0.45262617360145363	2
9	-0.4684962369678538	1
10	-0.44710424710424707	2
10	-0.3425997279446097	1
11	-0.4391248391248391	2
11	-0.2265425882706398	1
12	-0.4355212355212355	2
12	-0.28131112609431097	1
13	-0.43449163449163447	2
13	-0.20259617130011692	1
14	-0.43423423423423424	2
14	-0.3718807427551006	1
15	-0.4324324324324324	2
15	-0.1027799183833829	1
16	-0.43191763191763194	2
16	-0.4006875710909276	1
17	-0.43166023166023165	2
17	-0.33062651945934823	1
18	-0.42625482625482625	2
18	-0.412660779576189	1
19	-0.4247104247104247	2
19	0.18141934240833804	1
20	-0.4223938223938224	2
20	-0.6318534774895397	1
21	-0.42136422136422136	2
21	-0.17082567749764102	1
22	-0.41827541827541825	2
22	-0.2986189324195404	1
23	-0.4162162162162162	2
23	-0.26625570552373473	1
24	-0.41367406266023826	2
24	-0.199513699023219	1
25	-0.41081081081081083	2
25	-0.18931895000952997	1
26	-0.40900900900900894	2
26	-0.25819453545444976	1
27	-0.40669240669240664	2
27	-0.3546914830485371	1
28	-0.4061776061776062	2
28	-0.3577736951338519	1
29	-0.40308880308880307	2
29	-0.035445438981120514	1
30	-0.4012870012870013	2
30	-0.06555628012227306	1
31	-0.4002574002574002	2
31	-0.42131468273880374	1
32	-0.400000082925332	2
32	-0.11808548231878353	1
33	-0.3920106347735525	2
33	0.06701857309638451	1
34	-0.3898043383575659	2
34	-0.3789648485863061	1
35	-0.38635778635778634	2
35	-0.12340703003125907	1
36	-0.38336767491044627	2
36	-0.35323413139505816	1
37	-0.3804375804375804	2
37	0.010195009205272122	1
38	-0.3798972226536597	2
38	-0.2674570243034973	1
39	-0.37641607838755703	2
39	-0.39668049792531124	1
40	-0.37631917631917633	2
40	-0.4094600208722083	1
41	-0.3747747747747747	2
41	0.06591191997827092	1
42	-0.36653796653796655	2
42	-0.3922707611656448	1
43	-0.36628056628056627	2
43	0.07563274270887922	1
44	-0.3656605966771284	2
44	-0.18789639058553853	1
45	-0.3642213642213642	2
45	0.10775887636735301	1
46	-0.3629343629343629	2
46	-0.22689822812663768	1
47	-0.3629343629343629	2
47	-0.3156896455074379	1
48	-0.3629105710507359	2
48	-0.18479627199878512	1
49	-0.3612845106908481	2
49	-0.047537194085047925	1
50	-0.36087516087516086	2
50	0.06484500041027734	1
