Rank(ACPA–)	Rho	RA_phenotype
1	0.5487117958138681	2
1	0.15657436546411957	1
2	0.49214929214929215	2
2	0.2792958335769898	1
3	0.4692406692406692	2
3	0.3158081921261039	1
4	0.4597168597168597	2
4	0.3842095910963599	1
5	0.4585479039728037	2
5	0.2610396543024327	1
6	0.4535392535392535	2
6	-0.04137276991441826	1
7	0.4401544401544401	2
7	0.3453263001739266	1
8	0.43397683397683395	2
8	0.29624800004622137	1
9	0.42393822393822395	2
9	0.047655740703713874	1
10	0.4185328185328185	2
10	0.003674945178644602	1
11	0.40669240669240664	2
11	-0.08606484515148326	1
12	0.4054054054054054	2
12	0.2074565826654211	1
13	0.4031925983275747	2
13	0.019939482142450803	1
14	0.4018018018018018	2
14	0.3642937591604794	1
15	0.4015444015444016	2
15	0.31438563270211245	1
16	0.4005148005148005	2
16	0.17652637818612923	1
17	0.39665379665379663	2
17	0.28700136379027685	1
18	0.38944658944658944	2
18	-0.005927330933297745	1
19	0.38635778635778634	2
19	-0.10716614327402324	1
20	0.38389202567009306	2
20	0.06456416111707466	1
21	0.3696267696267696	2
21	-0.037934917973105574	1
22	0.36859716859716857	2
22	-0.0662675598342688	1
23	0.36366009576954805	2
23	-0.19595288700706115	1
24	0.36087516087516086	2
24	0.07314326371689418	1
25	0.3603603603603603	2
25	0.265544425811739	1
26	0.3572715572715573	2
26	0.21207990079339334	1
27	0.35389575913677157	2
27	-0.06970954356846473	1
28	0.3513513513513513	2
28	-0.24580542275325798	1
29	0.349034749034749	2
29	-0.4376741161147055	1
30	0.3462033462033462	2
30	0.24503586078252879	1
31	0.3387387387387387	2
31	-0.09934795494961471	1
32	0.3341055341055341	2
32	0.22476438899065052	1
33	0.33178893178893176	2
33	0.14201884916181398	1
34	0.32998712998713	2
34	-0.15731136296972215	1
35	0.3253539253539254	2
35	0.2452125490852569	1
36	0.31325611325611324	2
36	0.06579337335960497	1
37	0.3065637065637066	2
37	-0.002726572229316963	1
38	0.30593989380553827	2
38	0.02228676430919952	1
39	0.30579150579150577	2
39	-0.3925078544029767	1
40	0.3057086615807247	2
40	-0.048645858284162055	1
41	0.3045045045045045	2
41	-0.16501689318300922	1
42	0.3019305019305019	2
42	0.16205322771636035	1
43	0.3001287001287001	2
43	0.18469563188155774	1
44	0.2990990990990991	2
44	0.0060458775519637	1
45	0.2985842985842986	2
45	0.11321202082598694	1
46	0.2903474903474903	2
46	0.1390551836951651	1
47	0.28751608751608754	2
47	-0.3329974518326673	1
48	0.2864864864864865	2
48	-0.02406496358918885	1
49	0.2808236808236808	2
49	0.16074921491103483	1
50	0.2777348777348777	2
50	0.08227135335417271	1
61	-0.36087516087516086	2
61	0.06484500041027734	1
62	-0.3612845106908481	2
62	-0.047537194085047925	1
63	-0.3629105710507359	2
63	-0.18479627199878512	1
64	-0.3629343629343629	2
64	-0.22689822812663768	1
65	-0.3629343629343629	2
65	-0.3156896455074379	1
66	-0.3642213642213642	2
66	0.10775887636735301	1
67	-0.3656605966771284	2
67	-0.18789639058553853	1
68	-0.36628056628056627	2
68	0.07563274270887922	1
69	-0.36653796653796655	2
69	-0.3922707611656448	1
70	-0.3747747747747747	2
70	0.06591191997827092	1
71	-0.37631917631917633	2
71	-0.4094600208722083	1
72	-0.37641607838755703	2
72	-0.39668049792531124	1
73	-0.3798972226536597	2
73	-0.2674570243034973	1
74	-0.3804375804375804	2
74	0.010195009205272122	1
75	-0.38336767491044627	2
75	-0.35323413139505816	1
76	-0.38635778635778634	2
76	-0.12340703003125907	1
77	-0.3898043383575659	2
77	-0.3789648485863061	1
78	-0.3920106347735525	2
78	0.06701857309638451	1
79	-0.400000082925332	2
79	-0.11808548231878353	1
80	-0.4002574002574002	2
80	-0.42131468273880374	1
81	-0.4012870012870013	2
81	-0.06555628012227306	1
82	-0.40308880308880307	2
82	-0.035445438981120514	1
83	-0.4061776061776062	2
83	-0.3577736951338519	1
84	-0.40669240669240664	2
84	-0.3546914830485371	1
85	-0.40900900900900894	2
85	-0.25819453545444976	1
86	-0.41081081081081083	2
86	-0.18931895000952997	1
87	-0.41367406266023826	2
87	-0.199513699023219	1
88	-0.4162162162162162	2
88	-0.26625570552373473	1
89	-0.41827541827541825	2
89	-0.2986189324195404	1
90	-0.42136422136422136	2
90	-0.17082567749764102	1
91	-0.4223938223938224	2
91	-0.6318534774895397	1
92	-0.4247104247104247	2
92	0.18141934240833804	1
93	-0.42625482625482625	2
93	-0.412660779576189	1
94	-0.43166023166023165	2
94	-0.33062651945934823	1
95	-0.43191763191763194	2
95	-0.4006875710909276	1
96	-0.4324324324324324	2
96	-0.1027799183833829	1
97	-0.43423423423423424	2
97	-0.3718807427551006	1
98	-0.43449163449163447	2
98	-0.20259617130011692	1
99	-0.4355212355212355	2
99	-0.28131112609431097	1
100	-0.4391248391248391	2
100	-0.2265425882706398	1
101	-0.44710424710424707	2
101	-0.3425997279446097	1
102	-0.45262617360145363	2
102	-0.4684962369678538	1
103	-0.4674388674388674	2
103	-0.16632090598833474	1
104	-0.46872586872586874	2
104	-0.44727639222664783	1
105	-0.48751608751608755	2
105	-0.43554027697871833	1
106	-0.49961389961389957	2
106	-0.2905577623502555	1
107	-0.5037323037323037	2
107	-0.3441408339872671	1
108	-0.5271557271557271	2
108	-0.06496354702894329	1
109	-0.5462033462033462	2
109	-0.320668603491408	1
110	-0.563963963963964	2
110	-0.3773338872137345	1
