Rank(ACPA–)	Rho	RA_phenotype
1	-0.5246245706660263	2
1	-0.2868269701932428	1
2	-0.5242479557552826	2
2	-0.5953633211579925	1
3	-0.5217058051077623	2
3	-0.26314400935159893	1
4	-0.5145501218036312	2
4	-0.29000662697290797	1
5	-0.5013685999276006	2
5	-0.29505022048548024	1
6	-0.499107684113233	2
6	-0.18530737847011278	1
7	-0.4804664723813231	2
7	-0.23781639845150754	1
8	-0.47990155001520746	2
8	-0.12992735461735197	1
9	-0.47029786979124216	2
9	-0.48769356399829666	1
10	-0.4607883432949628	2
10	-0.09626685008779327	1
11	-0.45843450010281445	2
11	-0.20294981721242067	1
12	-0.4380972949226526	2
12	-0.2207120378436536	1
13	-0.4368732964627354	2
13	-0.13551916481607346	1
14	-0.4252923879573655	2
14	-0.160737132378935	1
15	-0.4122050198090207	2
15	-0.1047093870544904	1
16	-0.404484414138774	2
16	-0.22016382115750444	1
17	-0.4010007262143945	2
17	-0.5664174801293167	1
18	-0.3795234234768738	2
18	-0.4209524869747607	1
19	-0.37275460790861414	2
19	-0.2316763715666369	1
20	-0.3699947848869079	2
20	-0.1597185501889586	1
21	-0.3688001513458049	2
21	-0.26018363924639343	1
22	-0.3548653996482866	2
22	-0.2227526268414403	1
23	-0.35072263563010553	2
23	-0.22323383459993976	1
24	-0.349969405808618	2
24	-0.08563144637649948	1
25	-0.3496077274518383	2
25	-0.3465628760096352	1
26	-0.34931933928780895	2
26	-0.1559981964203186	1
27	-0.348557099893329	2
27	-0.46697097326185827	1
28	-0.34770971634415565	2
28	-0.587907574226364	1
29	-0.3437552597813464	2
29	0.0077846769433181345	1
30	-0.341495570316884	2
30	-0.1251030477792393	1
31	-0.3413072628615121	2
31	-0.13168164801302928	1
32	-0.3398372884111538	2
32	-0.09738547790278887	1
33	-0.3319860438206046	2
33	-0.508525798071965	1
34	-0.3308701973101313	2
34	-0.5060051054311719	1
35	-0.3294593466005466	2
35	-0.10492867372895008	1
36	-0.3278641152899751	2
36	-0.16662100441101813	1
37	-0.32548943661027513	2
37	-0.13146236133856964	1
38	-0.3206875964982924	2
38	-0.07971070616608851	1
39	-0.31786298466771445	2
39	-0.3504201057865459	1
40	-0.3163565250247395	2
40	-0.6721136572188756	1
41	-0.3108597832244827	2
41	-0.2507543122446278	1
42	-0.3057171537962289	2
42	-0.09177147326137013	1
43	-0.3035144142176637	2
43	-0.4266455678267507	1
44	-0.3015743897780478	2
44	-0.06732100905911739	1
45	-0.30148023605036184	2
45	-0.3038216874638669	1
46	-0.3004442688457406	2
46	0.1517463787260887	1
47	-0.29940885404127127	2
47	-0.11731837083592118	1
48	-0.29546825653972997	2
48	-0.06611493234958922	1
49	-0.2908408648218513	2
49	-0.6240898755122087	1
50	-0.28782794553590135	2
50	-0.361494082846759	1
