Rank(ACPA–)	Rho	RA_phenotype
1	0.5202934991924734	2
1	-0.061180982174246744	1
2	0.4798073962875215	2
2	-0.3203778313855717	1
3	0.45721050164289734	2
3	0.3810105968736693	1
4	0.4435582111284368	2
4	0.21610701768000062	1
5	0.4147471704565409	2
5	-0.09835007349516009	1
6	0.4075914871524099	2
6	-0.0480237817066668	1
7	0.3994001128437336	2
7	-0.062277415546545076	1
8	0.39384504291026345	2
8	0.18595509994179654	1
9	0.38998474007514017	2
9	-0.08223250292237466	1
10	0.38808032919360597	2
10	0.05471202527768661	1
11	0.3872411031839798	2
11	0.1889029964369975	1
12	0.38339397913712475	2
12	-0.03004227440097421	1
13	0.3791570613912577	2
13	0.04111625146118733	1
14	0.373239451627304	2
14	-0.07786381119552062	1
15	0.3731179648527914	2
15	-0.09562992022886474	1
16	0.3720013780871267	2
16	0.17093396274130945	1
17	0.36776446034125965	2
17	-0.043966978229162984	1
18	0.35841297594597904	2
18	0.09124322664038471	1
19	0.34629741042886664	2
19	0.12006602332826832	1
20	0.34527791482829506	2
20	-0.07916248947993934	1
21	0.3401470878542356	2
21	0.2703804696087679	1
22	0.33801188239250435	2
22	0.07093923918770188	1
23	0.33358665719126546	2
23	0.2941730737876416	1
24	0.3333983497358936	2
24	0.2618282893048409	1
25	0.3319860438206046	2
25	0.08410104099797426	1
26	0.33142112145448893	2
26	-0.21018627746958962	1
27	0.3311386602714312	2
27	-0.11446764406794553	1
28	0.3302912767222578	2
28	-0.19768693702538867	1
29	0.32925558571771246	2
29	-0.361494082846759	1
30	0.31965190549374717	2
30	-0.16249142577461234	1
31	0.31729806230159885	2
31	0.21128271084188796	1
32	0.3110839162743272	2
32	0.399540320865511	1
33	0.3064703836177164	2
33	-0.36807268308054897	1
34	0.3049269851805135	2
34	0.022062465010945092	1
35	0.3038340792425102	2
35	-0.2544821857104421	1
36	0.30317500314870865	2
36	-0.23957069184718485	1
37	0.2999737764073869	2
37	-0.11786658752207035	1
38	0.2986556242197838	2
38	-0.3469115189951912	1
39	0.2985592151099654	2
39	-0.16672181595491506	1
40	0.29470116765697457	2
40	-0.0756539026885847	1
41	0.29295553413082087	2
41	0.1964808603158605	1
42	0.2911233260049091	2
42	-0.22750992475190324	1
43	0.28980517381730597	2
43	-0.003618230128584485	1
44	0.28609952119055754	2
44	0.03048084774989354	1
45	0.277672367283513	2
45	0.21698416437783927	1
46	0.27210427301235035	2
46	-0.06633421902404889	1
47	0.2717276581016066	2
47	-0.010087187025144625	1
48	0.2704095059140035	2
48	-0.37892737346630245	1
49	0.2704095059140035	2
49	0.2243302679722381	1
50	0.2700328910032598	2
50	0.10646368045016773	1
