Rank(ACPA–)	Rho	RA_phenotype
1	-0.5663157295150067	2
1	-0.25481346633745205	1
2	-0.5552397085400027	2
2	0.12459726265082975	1
3	-0.5079718917598213	2
3	-0.18482244611481502	1
4	-0.49084924372297334	2
4	0.13991927464262505	1
5	-0.4737265956861254	2
5	0.12428999396445949	1
6	-0.464848185592945	2
6	-0.022823711466527494	1
7	-0.4375787831638909	2
7	0.03969341124613477	1
8	-0.4344079224163265	2
8	-0.02034287326364407	1
9	-0.4210903072765559	2
9	0.15802939352367404	1
10	-0.4160804392679201	2
10	-0.009427185170957007	1
11	-0.4141144136319142	2
11	0.014636945397012196	1
12	-0.4134802414824013	2
12	0.1806050211699132	1
13	-0.41030938073483686	2
13	-0.11014921620802398	1
14	-0.4033334870901951	2
14	-0.04614359057363167	1
15	-0.40016262634263067	2
15	-0.10717221036456387	1
16	-0.3995284541931178	2
16	-0.14909837599329373	1
17	-0.39445507699701476	2
17	-0.06871921821987081	1
18	-0.39001587195042453	2
18	0.05978820068949049	1
19	-0.3830399783057828	2
19	-0.15678897442223233	1
20	-0.37796660110967967	2
20	0.22451585736094978	1
21	-0.3735273960630895	2
21	-0.0129003586549938	1
22	-0.3722590517640637	2
22	-0.19846705623067384	1
23	-0.3722590517640637	2
23	-0.2550301672564159	1
24	-0.3703565353155251	2
24	0.0176139512404723	1
25	-0.3690881910164993	2
25	-0.04639167439392001	1
26	-0.36718567456796064	2
26	-0.03373939955921455	1
27	-0.36591733026893486	2
27	-0.10245861777908537	1
28	-0.36464898596990913	2
28	-0.009179101350668666	1
29	-0.36274646952137046	2
29	-0.23816046747680863	1
30	-0.3614781252223447	2
30	0.020094789443355725	1
31	-0.3576730923252674	2
31	0.07516939754736772	1
32	-0.35259971512916427	2
32	-0.32523788839801676	1
33	-0.35133137083013855	2
33	0.07690598428938612	1
34	-0.3506971986806256	2
34	-0.0129003586549938	1
35	-0.34816051008257404	2
35	0.07814640339082783	1
36	-0.3475263379330612	2
36	-0.11709556317609757	1
37	-0.3456238214845226	2
37	0.02803347169258268	1
38	-0.3392820999893937	2
38	-0.1406635261034901	1
39	-0.3342087227932906	2
39	-0.23071795286815835	1
40	-0.33377690444146557	2
40	-0.10990113238773565	1
41	-0.33167203419523905	2
41	-0.40363237560913295	1
42	-0.3274010323413421	2
42	0.21955418095518295	1
43	-0.3234277962515716	2
43	0.0808753254139996	1
44	-0.32089110765352	2
44	0.22650052792325653	1
45	-0.31962276335449424	2
45	0.28008663310553844	1
46	-0.31962276335449424	2
46	-0.013396526295570484	1
47	-0.3164519026069298	2
47	0.10890879710658227	1
48	-0.3158177304574169	2
48	-0.03497981866065626	1
49	-0.31391521400887823	2
49	-0.07889065485169285	1
50	-0.31391521400887823	2
50	-0.23468729399277183	1
