Rank(ACPA–)	Rho	RA_phenotype
1	0.6062685749343184	2
1	0.05457844046343531	1
2	0.5396804992354655	2
2	-0.10469137216168045	1
3	0.47254585429504625	2
3	0.011665687613824105	1
4	0.469993301063306	2
4	0.20030233839055434	1
5	0.41982196297753016	2
5	0.27686154344179004	1
6	0.4191877908280172	2
6	0.03646832158238632	1
7	0.4134802414824013	2
7	-0.09253526496755168	1
8	0.39445507699701476	2
8	-0.1252823292456129	1
9	0.39065004409993737	2
9	-0.03969341124613477	1
10	0.38874752765139875	2
10	0.08236382833572965	1
11	0.38747918335237297	2
11	-0.29571591378370404	1
12	0.3850012601152858	2
12	0.05185590502875119	1
13	0.38443741487851774	2
13	-0.025813436422078874	1
14	0.3810340056576918	2
14	-0.09798666962959467	1
15	0.3792349454087055	2
15	0.011411855733263747	1
16	0.37391307803473045	2
16	-0.016629810002685427	1
17	0.36591733026893486	2
17	-0.10816454564571724	1
18	0.36591733026893486	2
18	-0.01786203506076065	1
19	0.36464898596990913	2
19	0.0007442514608650269	1
20	0.36401481382039624	2
20	-0.07148336239960304	1
21	0.3633806416708833	2
21	-0.004961676405766846	1
22	0.3608439530728318	2
22	0.03646832158238632	1
23	0.35450223157770294	2
23	-0.04217424944901819	1
24	0.3527794326818901	2
24	-0.08562335955135274	1
25	0.35259971512916427	2
25	0.016869699779607276	1
26	0.35196554297965144	2
26	0.023818980300287628	1
27	0.3500630265311127	2
27	-0.37014105987020673	1
28	0.34821366030196355	2
28	0.04490317147218996	1
29	0.3456238214845226	2
29	-0.08608508564005478	1
30	0.3449896493350097	2
30	-0.12280149104272946	1
31	0.3367454113913422	2
31	-0.1877994519582751	1
32	0.3304036898962133	2
32	0.05606694338516536	1
33	0.3259644848496231	2
33	-0.1724182551003979	1
34	0.3246961405505973	2
34	0.11808789845725096	1
35	0.32265227685737025	2
35	0.024064130567969202	1
36	0.32215945195254575	2
36	-0.1332210114948398	1
37	0.31962276335449424	2
37	-0.10121819867764366	1
38	0.31962276335449424	2
38	-0.18035693734962488	1
39	0.31011018111180094	2
39	-0.13892693936147169	1
40	0.3082076646632623	2
40	-0.04197789441537356	1
41	0.30585775944717863	2
41	0.129003586549938	1
42	0.3052231997802758	2
42	-0.26374558395005987	1
43	0.3029628662617434	2
43	0.09600843845158848	1
44	0.3018659431681335	2
44	0.06648646383727573	1
45	0.2999634267195948	2
45	-0.02505955219092761	1
46	0.2993292545700819	2
46	-0.22972561758700497	1
47	0.2993292545700819	2
47	-0.006202095507208558	1
48	0.2982430434443444	2
48	0.08410041507774804	1
49	0.2976084837774415	2
49	-0.2823193874881335	1
50	0.2948900495234917	2
50	0.25130890995209076	1
61	-0.31391521400887823	2
61	-0.07889065485169285	1
62	-0.31391521400887823	2
62	-0.23468729399277183	1
63	-0.3158177304574169	2
63	-0.03497981866065626	1
64	-0.3164519026069298	2
64	0.10890879710658227	1
65	-0.31962276335449424	2
65	0.28008663310553844	1
66	-0.31962276335449424	2
66	-0.013396526295570484	1
67	-0.32089110765352	2
67	0.22650052792325653	1
68	-0.3234277962515716	2
68	0.0808753254139996	1
69	-0.3274010323413421	2
69	0.21955418095518295	1
70	-0.33167203419523905	2
70	-0.40363237560913295	1
71	-0.33377690444146557	2
71	-0.10990113238773565	1
72	-0.3342087227932906	2
72	-0.23071795286815835	1
73	-0.3392820999893937	2
73	-0.1406635261034901	1
74	-0.3456238214845226	2
74	0.02803347169258268	1
75	-0.3475263379330612	2
75	-0.11709556317609757	1
76	-0.34816051008257404	2
76	0.07814640339082783	1
77	-0.3506971986806256	2
77	-0.0129003586549938	1
78	-0.35133137083013855	2
78	0.07690598428938612	1
79	-0.35259971512916427	2
79	-0.32523788839801676	1
80	-0.3576730923252674	2
80	0.07516939754736772	1
81	-0.3614781252223447	2
81	0.020094789443355725	1
82	-0.36274646952137046	2
82	-0.23816046747680863	1
83	-0.36464898596990913	2
83	-0.009179101350668666	1
84	-0.36591733026893486	2
84	-0.10245861777908537	1
85	-0.36718567456796064	2
85	-0.03373939955921455	1
86	-0.3690881910164993	2
86	-0.04639167439392001	1
87	-0.3703565353155251	2
87	0.0176139512404723	1
88	-0.3722590517640637	2
88	-0.19846705623067384	1
89	-0.3722590517640637	2
89	-0.2550301672564159	1
90	-0.3735273960630895	2
90	-0.0129003586549938	1
91	-0.37796660110967967	2
91	0.22451585736094978	1
92	-0.3830399783057828	2
92	-0.15678897442223233	1
93	-0.39001587195042453	2
93	0.05978820068949049	1
94	-0.39445507699701476	2
94	-0.06871921821987081	1
95	-0.3995284541931178	2
95	-0.14909837599329373	1
96	-0.40016262634263067	2
96	-0.10717221036456387	1
97	-0.4033334870901951	2
97	-0.04614359057363167	1
98	-0.41030938073483686	2
98	-0.11014921620802398	1
99	-0.4134802414824013	2
99	0.1806050211699132	1
100	-0.4141144136319142	2
100	0.014636945397012196	1
101	-0.4160804392679201	2
101	-0.009427185170957007	1
102	-0.4210903072765559	2
102	0.15802939352367404	1
103	-0.4344079224163265	2
103	-0.02034287326364407	1
104	-0.4375787831638909	2
104	0.03969341124613477	1
105	-0.464848185592945	2
105	-0.022823711466527494	1
106	-0.4737265956861254	2
106	0.12428999396445949	1
107	-0.49084924372297334	2
107	0.13991927464262505	1
108	-0.5079718917598213	2
108	-0.18482244611481502	1
109	-0.5552397085400027	2
109	0.12459726265082975	1
110	-0.5663157295150067	2
110	-0.25481346633745205	1
