Rank(ACPA–)	Rho	RA_phenotype
1	-0.6387080699573519	2
1	-0.22261874496139958	1
2	-0.5948438539764572	2
2	-0.13370269625686756	1
3	-0.5803789947450702	2
3	0.21867526656056496	1
4	-0.5658202078563364	2
4	-0.1375522823148251	1
5	-0.546543710131275	2
5	-0.13643837389767868	1
6	-0.5212045706166684	2
6	-0.07779345500791722	1
7	-0.5123054730696871	2
7	0.0533308507541438	1
8	-0.5087121921895613	2
8	-0.1605559063196935	1
9	-0.5025129668046812	2
9	-0.0690141091500533	1
10	-0.5023251114899878	2
10	-0.07877567567381452	1
11	-0.49650159673449445	2
11	-0.37688386430833315	1
12	-0.4964076690771477	2
12	-0.08027795315984675	1
13	-0.49612588610510766	2
13	0.12525238539793632	1
14	-0.4948108989022543	2
14	-0.33641626452834017	1
15	-0.49002058837757423	2
15	-0.11858602905366837	1
16	-0.4893630947761475	2
16	-0.2541665721680762	1
17	-0.483539580020654	2
17	0.047791202524399994	1
18	-0.4810974609296407	2
18	0.1613070450627096	1
19	-0.4756496568035337	2
19	0.11079296459487621	1
20	-0.4745225249153737	2
20	-0.21219669490205104	1
21	-0.471328984565587	2
21	-0.15755135134762904	1
22	-0.4657621357198466	2
22	-0.03136004252092259	1
23	-0.4601515933413333	2
23	0.42978557283528923	1
24	-0.4592123167678666	2
24	-0.26073903616946714	1
25	-0.4581791125370533	2
25	-0.01924793028978782	1
26	-0.45582671976083017	2
26	-0.018497659187157144	1
27	-0.45573699344603985	2
27	-0.21191501787342	1
28	-0.4545159339005331	2
28	0.005070186515358742	1
29	-0.45085275526401297	2
29	-0.2083471088440935	1
30	-0.45037840451175687	2
30	-0.11708375156763613	1
31	-0.44934991274646635	2
31	-0.026289856005563845	1
32	-0.44888027445973294	2
32	-0.1605559063196935	1
33	-0.44869241914503966	2
33	-0.14731708597403453	1
34	-0.448598491487693	2
34	0.23112684309232137	1
35	-0.4476592149142263	2
35	-0.25322764873930603	1
36	-0.4465270092494809	2
36	-0.20440363044325888	1
37	-0.4448413851938262	2
37	0.21153944850191195	1
38	-0.4434740739806036	2
38	0.0012676060864295503	1
39	-0.44311372779391694	2
39	0.023474186785732414	1
40	-0.43892394278098606	2
40	-0.18211274108371206	1
41	-0.43610611306058594	2
41	-0.032020292841781435	1
42	-0.43610611306058594	2
42	-0.2131356183308212	1
43	-0.4355425471165059	2
43	-0.0005165290372354062	1
44	-0.4352811811890227	2
44	-0.11080855789062016	1
45	-0.4347175888094081	2
45	0.01859068388964872	1
46	-0.4328186450534525	2
46	0.00525797120111277	1
47	-0.4312218748785592	2
47	-0.045070438628606234	1
48	-0.4292493940742791	2
48	-0.08957329510467109	1
49	-0.4267333634315344	2
49	0.010938971042151307	1
50	-0.42661941966857236	2
50	-0.0737993815013328	1
