Rank(ACPA–)	Rho	RA_phenotype
1	0.668483137336246	2
1	0.30374172920713943	1
2	0.6536425674754722	2
2	0.3325666784703826	1
3	0.646597993174472	2
3	0.2823342750311803	1
4	0.6213314533482179	2
4	0.49856834067694294	1
5	0.5882689179621904	2
5	0.5026996037635315	1
6	0.5855450158991369	2
6	0.14318582288744594	1
7	0.584022603375647	2
7	0.14299803820169193	1
8	0.5813182713185368	2
8	-0.0070419257157760306	1
9	0.5779368756540567	2
9	0.4454252746085532	1
10	0.5731465651293766	2
10	0.08600538607534458	1
11	0.5568031527510561	2
11	-0.07210931932954655	1
12	0.5568031527510561	2
12	0.5272993975973091	1
13	0.5561456591496294	2
13	0.13304544985672845	1
14	0.5554881655482027	2
14	0.35021843893126126	1
15	0.5527642634851493	2
15	0.3289987694410561	1
16	0.552508396148863	2
16	0.2166096350172707	1
17	0.5497585784500558	2
17	0.05380031246852887	1
18	0.5493828678206693	2
18	-0.15745745900475203	1
19	0.5476921699884291	2
19	0.3450543600730255	1
20	0.5470346763870024	2
20	-0.25529328028260034	1
21	0.5465650381002691	2
21	0.08722598653274576	1
22	0.5398275676075341	2
22	0.6526456753381225	1
23	0.5356694298480554	2
23	0.13689503591468605	1
24	0.5344483703025488	2
24	0.26065737006877276	1
25	0.5330394554423487	2
25	0.023566978062130445	1
26	0.531254829952762	2
26	0.42082548077477555	1
27	0.5310669746380687	2
27	0.29144183229025067	1
28	0.5280612896029753	2
28	0.35150247292955716	1
29	0.5234588343929883	2
29	0.12619130882670646	1
30	0.5174474643228016	2
30	0.4529366620387143	1
31	0.5165081877493349	2
31	0.07342381212982475	1
32	0.5162264047772949	2
32	0.023848655090761492	1
33	0.5150053452317882	2
33	0.36974804624968005	1
34	0.510215034707108	2
34	0.19952122861365415	1
35	0.509651468763028	2
35	0.06675745578555677	1
36	0.5091818304762947	2
36	0.4691800373564376	1
37	0.5088061198469079	2
37	0.2741656412008801	1
38	0.507678987958748	2
38	0.060184991784165795	1
39	0.5074911326440548	2
39	0.06309565441335323	1
40	0.5070214943573214	2
40	0.16637723157806833	1
41	0.5065286511786372	2
41	0.3809860515324371	1
42	0.5041097369795746	2
42	-0.016712837032108446	1
43	0.5036400986928412	2
43	0.3701879256110002	1
44	0.5029826050914145	2
44	0.12215393808299486	1
45	0.5027008221193745	2
45	0.17811377443769505	1
46	0.5011979796018278	2
46	0.14515756208786323	1
47	0.5000708477136677	2
47	-0.003098447314941453	1
48	0.49978906474162776	2
48	0.09079389556207229	1
49	0.4980044392520411	2
49	0.116238720481743	1
50	0.49772265628000106	2
50	0.3228957671540503	1
61	-0.42661941966857236	2
61	-0.0737993815013328	1
62	-0.4267333634315344	2
62	0.010938971042151307	1
63	-0.4292493940742791	2
63	-0.08957329510467109	1
64	-0.4312218748785592	2
64	-0.045070438628606234	1
65	-0.4328186450534525	2
65	0.00525797120111277	1
66	-0.4347175888094081	2
66	0.01859068388964872	1
67	-0.4352811811890227	2
67	-0.11080855789062016	1
68	-0.4355425471165059	2
68	-0.0005165290372354062	1
69	-0.43610611306058594	2
69	-0.032020292841781435	1
70	-0.43610611306058594	2
70	-0.2131356183308212	1
71	-0.43892394278098606	2
71	-0.18211274108371206	1
72	-0.44311372779391694	2
72	0.023474186785732414	1
73	-0.4434740739806036	2
73	0.0012676060864295503	1
74	-0.4448413851938262	2
74	0.21153944850191195	1
75	-0.4465270092494809	2
75	-0.20440363044325888	1
76	-0.4476592149142263	2
76	-0.25322764873930603	1
77	-0.448598491487693	2
77	0.23112684309232137	1
78	-0.44869241914503966	2
78	-0.14731708597403453	1
79	-0.44888027445973294	2
79	-0.1605559063196935	1
80	-0.44934991274646635	2
80	-0.026289856005563845	1
81	-0.45037840451175687	2
81	-0.11708375156763613	1
82	-0.45085275526401297	2
82	-0.2083471088440935	1
83	-0.4545159339005331	2
83	0.005070186515358742	1
84	-0.45573699344603985	2
84	-0.21191501787342	1
85	-0.45582671976083017	2
85	-0.018497659187157144	1
86	-0.4581791125370533	2
86	-0.01924793028978782	1
87	-0.4592123167678666	2
87	-0.26073903616946714	1
88	-0.4601515933413333	2
88	0.42978557283528923	1
89	-0.4657621357198466	2
89	-0.03136004252092259	1
90	-0.471328984565587	2
90	-0.15755135134762904	1
91	-0.4745225249153737	2
91	-0.21219669490205104	1
92	-0.4756496568035337	2
92	0.11079296459487621	1
93	-0.4810974609296407	2
93	0.1613070450627096	1
94	-0.483539580020654	2
94	0.047791202524399994	1
95	-0.4893630947761475	2
95	-0.2541665721680762	1
96	-0.49002058837757423	2
96	-0.11858602905366837	1
97	-0.4948108989022543	2
97	-0.33641626452834017	1
98	-0.49612588610510766	2
98	0.12525238539793632	1
99	-0.4964076690771477	2
99	-0.08027795315984675	1
100	-0.49650159673449445	2
100	-0.37688386430833315	1
101	-0.5023251114899878	2
101	-0.07877567567381452	1
102	-0.5025129668046812	2
102	-0.0690141091500533	1
103	-0.5087121921895613	2
103	-0.1605559063196935	1
104	-0.5123054730696871	2
104	0.0533308507541438	1
105	-0.5212045706166684	2
105	-0.07779345500791722	1
106	-0.546543710131275	2
106	-0.13643837389767868	1
107	-0.5658202078563364	2
107	-0.1375522823148251	1
108	-0.5803789947450702	2
108	0.21867526656056496	1
109	-0.5948438539764572	2
109	-0.13370269625686756	1
110	-0.6387080699573519	2
110	-0.22261874496139958	1
