Rank(ACPA–)	Rho	RA_phenotype
1	-0.6104907814379676	2
1	0.13953270703938792	1
2	-0.5296988105160356	2
2	-0.07056395137432395	1
3	-0.5251008934716979	2
3	0.15238810775518896	1
4	-0.5177122086818564	2
4	-0.1133111277838212	1
5	-0.5057708748771358	2
5	0.2842263413734405	1
6	-0.5013606279162406	2
6	0.06817435555689118	1
7	-0.50051611254075	2
7	0.16317913755312416	1
8	-0.4999531022904229	2
8	0.28741673279196045	1
9	-0.4916248434446702	2
9	-0.02655531680709266	1
10	-0.48277804060581875	2
10	0.24716149989357616	1
11	-0.4657251570940825	2
11	0.2589847151504443	1
12	-0.4621375804767892	2
12	0.09205649387654542	1
13	-0.4560383027649128	2
13	-0.45939099467138444	1
14	-0.45463077713909517	2
14	-0.18222765102252278	1
15	-0.4545113436198245	2
15	0.06442077782492195	1
16	-0.4537862617636046	2
16	-0.4771511871521773	1
17	-0.4526602412629505	2
17	0.2705264252821489	1
18	-0.4487191695106611	2
18	0.09467955709666605	1
19	-0.4479425825888783	2
19	0.09618091776420486	1
20	-0.4388664901299377	2
20	-0.11297739023229526	1
21	-0.43820964483788943	2
21	-0.30655908130308024	1
22	-0.4372712944206777	2
22	-0.05630102503270528	1
23	-0.43323638762666716	2
23	-0.13203209672201774	1
24	-0.4325795423346189	2
24	0.17265647676696286	1
25	-0.4317350269591283	2
25	0.04522849010960657	1
26	-0.4295768209995413	2
26	0.05226611823869473	1
27	-0.4285647375475871	2
27	0.04447780977583718	1
28	-0.4278140220011933	2
28	-0.17325199513187042	1
29	-0.42469739883004015	2
29	-0.2894811037098263	1
30	-0.4241542837125233	2
30	0.00872665888006932	1
31	-0.4211316672446355	2
31	0.24284508797440207	1
32	-0.41625224507513436	2
32	0.21666511133419417	1
33	-0.4151262245744803	2
33	0.34662664411802213	1
34	-0.4151262245744803	2
34	-0.19485760401085275	1
35	-0.41465704936587444	2
35	0.3309561921505859	1
36	-0.41336274773311166	2
36	0.1163139899693966	1
37	-0.41109131778046976	2
37	-0.2050295661607684	1
38	-0.4100591323215368	2
38	0.2487566956028362	1
39	-0.4099652972798156	2
39	0.1437552839168408	1
40	-0.4097776271963733	2
40	-0.04841888152812654	1
41	-0.40705641098645917	2
41	0.05254762336385826	1
42	-0.40611806056924743	2
42	-0.20287136020118135	1
43	-0.4033968443593333	2
43	-0.0867974135920873	1
44	-0.402102014537204	2
44	0.30440087534349325	1
45	-0.4012386383997463	2
45	-0.02439711084750562	1
46	-0.4012386383997463	2
46	-0.18945294923505326	1
47	-0.4003002879825346	2
47	-0.09167683576158843	1
48	-0.39983111277392863	2
48	0.25767102456634783	1
49	-0.3995496076487652	2
49	0.16505583838754764	1
50	-0.3993619375653228	2
50	0.2813174550800841	1
