Rank(ACPA–)	Rho	RA_phenotype
1	0.6529980553376601	2
1	0.3086234522209461	1
2	0.650839849378073	2
2	0.5281036148067755	1
3	0.6440837263741485	2
3	0.46420195139465503	1
4	0.6083325754783806	2
4	0.24312659309956564	1
5	0.5787745373362103	2
5	0.268018022738709	1
6	0.5528760658211659	2
6	0.26902506461461007	1
7	0.5345782326855366	2
7	0.21178568916469304	1
8	0.523599532804159	2
8	0.291451639585971	1
9	0.5064514754859487	2
9	0.4125926784480085	1
10	0.49460450491231595	2
10	0.36220326104373735	1
11	0.48587784603224665	2
11	0.11935817306933519	1
12	0.48127992898790894	2
12	-0.15623534446575715	1
13	0.4794970631952067	2
13	0.3961715461468028	1
14	0.4670170026462903	2
14	0.13371493445267504	1
15	0.4611992300595774	2
15	0.2368396453042469	1
16	0.4605423847675292	2
16	0.17809890918679103	1
17	0.4482499943020552	2
17	0.3287041511492777	1
18	0.44243222171534236	2
18	-0.06033593182671582	1
19	0.44064935592264004	2
19	-0.04860655161156889	1
20	0.4380219747544471	2
20	0.12461293540572103	1
21	0.424060444269224	2
21	0.47630667177668673	1
22	0.42207001766184726	2
22	0.4413062012146883	1
23	0.4189734612850485	2
23	0.061986768011310416	1
24	0.4185981211181638	2
24	0.29501737117137566	1
25	0.4185042860764426	2
25	0.1274279866573563	1
26	0.41794127582611557	2
26	0.09345970155429076	1
27	0.4163851424690658	2
27	0.17899873809328276	1
28	0.41550156474136496	2
28	0.08004129058816269	1
29	0.4114666579473544	2
29	-0.01201088534031046	1
30	0.4085577716539979	2
30	0.3709299199238066	1
31	0.4082762665288344	2
31	0.12301773969646104	1
32	0.4078070913202286	2
32	0.23702731538768926	1
33	0.40724408106990156	2
33	0.23515061455326572	1
34	0.40611806056924743	2
34	0.18523037235760037	1
35	0.40152014352490983	2
35	0.43586376879486005	1
36	0.4005817931076981	2
36	0.4413062012146883	1
37	0.3944825153958217	2
37	-0.10303087580985067	1
38	0.3942010102706581	2
38	0.3882894026422241	1
39	0.3939195051454946	2
39	-0.03171624410175731	1
40	0.3917612991859076	2
40	-0.13183823361825153	1
41	0.39063527868525344	2
41	0.12892934732489508	1
42	0.38793225859902014	2
42	0.07267864883525425	1
43	0.3868818770164065	2
43	0.06033593182671582	1
44	0.3865246669495317	2
44	0.3020222482585743	1
45	0.3844421659316559	2
45	-0.09937130918272483	1
46	0.38406682576477114	2
46	-0.07047342191772234	1
47	0.3835038155144442	2
47	-0.026836821932256186	1
48	0.3830346403058382	2
48	-0.11945200811105637	1
49	0.38115793947141474	2
49	0.15520315900682424	1
50	0.3808764343462513	2
50	0.3046028329493032	1
