Rank(ACPA–)	Rho	RA_phenotype
1	0.6529980553376601	2
1	0.3086234522209461	1
2	0.650839849378073	2
2	0.5281036148067755	1
3	0.6440837263741485	2
3	0.46420195139465503	1
4	0.6083325754783806	2
4	0.24312659309956564	1
5	0.5787745373362103	2
5	0.268018022738709	1
6	0.5528760658211659	2
6	0.26902506461461007	1
7	0.5345782326855366	2
7	0.21178568916469304	1
8	0.523599532804159	2
8	0.291451639585971	1
9	0.5064514754859487	2
9	0.4125926784480085	1
10	0.49460450491231595	2
10	0.36220326104373735	1
11	0.48587784603224665	2
11	0.11935817306933519	1
12	0.48127992898790894	2
12	-0.15623534446575715	1
13	0.4794970631952067	2
13	0.3961715461468028	1
14	0.4670170026462903	2
14	0.13371493445267504	1
15	0.4611992300595774	2
15	0.2368396453042469	1
16	0.4605423847675292	2
16	0.17809890918679103	1
17	0.4482499943020552	2
17	0.3287041511492777	1
18	0.44243222171534236	2
18	-0.06033593182671582	1
19	0.44064935592264004	2
19	-0.04860655161156889	1
20	0.4380219747544471	2
20	0.12461293540572103	1
21	0.424060444269224	2
21	0.47630667177668673	1
22	0.42207001766184726	2
22	0.4413062012146883	1
23	0.4189734612850485	2
23	0.061986768011310416	1
24	0.4185981211181638	2
24	0.29501737117137566	1
25	0.4185042860764426	2
25	0.1274279866573563	1
26	0.41794127582611557	2
26	0.09345970155429076	1
27	0.4163851424690658	2
27	0.17899873809328276	1
28	0.41550156474136496	2
28	0.08004129058816269	1
29	0.4114666579473544	2
29	-0.01201088534031046	1
30	0.4085577716539979	2
30	0.3709299199238066	1
31	0.4082762665288344	2
31	0.12301773969646104	1
32	0.4078070913202286	2
32	0.23702731538768926	1
33	0.40724408106990156	2
33	0.23515061455326572	1
34	0.40611806056924743	2
34	0.18523037235760037	1
35	0.40152014352490983	2
35	0.43586376879486005	1
36	0.4005817931076981	2
36	0.4413062012146883	1
37	0.3944825153958217	2
37	-0.10303087580985067	1
38	0.3942010102706581	2
38	0.3882894026422241	1
39	0.3939195051454946	2
39	-0.03171624410175731	1
40	0.3917612991859076	2
40	-0.13183823361825153	1
41	0.39063527868525344	2
41	0.12892934732489508	1
42	0.38793225859902014	2
42	0.07267864883525425	1
43	0.3868818770164065	2
43	0.06033593182671582	1
44	0.3865246669495317	2
44	0.3020222482585743	1
45	0.3844421659316559	2
45	-0.09937130918272483	1
46	0.38406682576477114	2
46	-0.07047342191772234	1
47	0.3835038155144442	2
47	-0.026836821932256186	1
48	0.3830346403058382	2
48	-0.11945200811105637	1
49	0.38115793947141474	2
49	0.15520315900682424	1
50	0.3808764343462513	2
50	0.3046028329493032	1
61	-0.3993619375653228	2
61	0.2813174550800841	1
62	-0.3995496076487652	2
62	0.16505583838754764	1
63	-0.39983111277392863	2
63	0.25767102456634783	1
64	-0.4003002879825346	2
64	-0.09167683576158843	1
65	-0.4012386383997463	2
65	-0.02439711084750562	1
66	-0.4012386383997463	2
66	-0.18945294923505326	1
67	-0.402102014537204	2
67	0.30440087534349325	1
68	-0.4033968443593333	2
68	-0.0867974135920873	1
69	-0.40611806056924743	2
69	-0.20287136020118135	1
70	-0.40705641098645917	2
70	0.05254762336385826	1
71	-0.4097776271963733	2
71	-0.04841888152812654	1
72	-0.4099652972798156	2
72	0.1437552839168408	1
73	-0.4100591323215368	2
73	0.2487566956028362	1
74	-0.41109131778046976	2
74	-0.2050295661607684	1
75	-0.41336274773311166	2
75	0.1163139899693966	1
76	-0.41465704936587444	2
76	0.3309561921505859	1
77	-0.4151262245744803	2
77	0.34662664411802213	1
78	-0.4151262245744803	2
78	-0.19485760401085275	1
79	-0.41625224507513436	2
79	0.21666511133419417	1
80	-0.4211316672446355	2
80	0.24284508797440207	1
81	-0.4241542837125233	2
81	0.00872665888006932	1
82	-0.42469739883004015	2
82	-0.2894811037098263	1
83	-0.4278140220011933	2
83	-0.17325199513187042	1
84	-0.4285647375475871	2
84	0.04447780977583718	1
85	-0.4295768209995413	2
85	0.05226611823869473	1
86	-0.4317350269591283	2
86	0.04522849010960657	1
87	-0.4325795423346189	2
87	0.17265647676696286	1
88	-0.43323638762666716	2
88	-0.13203209672201774	1
89	-0.4372712944206777	2
89	-0.05630102503270528	1
90	-0.43820964483788943	2
90	-0.30655908130308024	1
91	-0.4388664901299377	2
91	-0.11297739023229526	1
92	-0.4479425825888783	2
92	0.09618091776420486	1
93	-0.4487191695106611	2
93	0.09467955709666605	1
94	-0.4526602412629505	2
94	0.2705264252821489	1
95	-0.4537862617636046	2
95	-0.4771511871521773	1
96	-0.4545113436198245	2
96	0.06442077782492195	1
97	-0.45463077713909517	2
97	-0.18222765102252278	1
98	-0.4560383027649128	2
98	-0.45939099467138444	1
99	-0.4621375804767892	2
99	0.09205649387654542	1
100	-0.4657251570940825	2
100	0.2589847151504443	1
101	-0.48277804060581875	2
101	0.24716149989357616	1
102	-0.4916248434446702	2
102	-0.02655531680709266	1
103	-0.4999531022904229	2
103	0.28741673279196045	1
104	-0.50051611254075	2
104	0.16317913755312416	1
105	-0.5013606279162406	2
105	0.06817435555689118	1
106	-0.5057708748771358	2
106	0.2842263413734405	1
107	-0.5177122086818564	2
107	-0.1133111277838212	1
108	-0.5251008934716979	2
108	0.15238810775518896	1
109	-0.5296988105160356	2
109	-0.07056395137432395	1
110	-0.6104907814379676	2
110	0.13953270703938792	1
