Rank(ACPA–)	Rho	RA_phenotype
1	-0.6711314002756896	2
1	-0.22304964493737386	1
2	-0.6638503969594015	2
2	-0.25309778363360036	1
3	-0.6529288919849695	2
3	-0.27390034119252643	1
4	-0.6328569368968239	2
4	-0.6053544249647483	1
5	-0.6312826659095183	2
5	-0.5778488210812794	1
6	-0.6203611609350862	2
6	-0.382535919555807	1
7	-0.6184917141376609	2
7	-0.31689229348097364	1
8	-0.6130801576187982	2
8	-0.1791331345351966	1
9	-0.6081605607834684	2
9	-0.2584139927875482	1
10	-0.606783073669576	2
10	-0.47036894036016147	1
11	-0.584644887910592	2
11	-0.289748062624702	1
12	-0.5696893135311893	2
12	-0.22697901692072656	1
13	-0.5695909215944828	2
13	-0.3007125264906978	1
14	-0.5633922295819673	2
14	-0.23645573758645952	1
15	-0.5623099182781948	2
15	-0.44367232482620633	1
16	-0.5593581601769969	2
16	-0.24500790013846246	1
17	-0.5583742408099308	2
17	-0.15081854230221392	1
18	-0.5568983617593319	2
18	-0.3501763855752553	1
19	-0.5546353472150803	2
19	-0.1878008668514158	1
20	-0.5538482117214274	2
20	-0.4096948141466271	1
21	-0.5526675084809483	2
21	-0.10516848543679284	1
22	-0.551781981050589	2
22	-0.3546836063796893	1
23	-0.5512666827913758	2
23	-0.3056820263519968	1
24	-0.5495189665063372	2
24	-0.030972696809956575	1
25	-0.5457800729114867	2
25	-0.6622482643955095	1
26	-0.5453865051646601	2
26	-0.46747969625475505	1
27	-0.5438122341773547	2
27	-0.24570131872376	1
28	-0.5426315309368756	2
28	-0.32163065381384015	1
29	-0.5418443954432228	2
29	-0.14111068210804842	1
30	-0.5416476115698097	2
30	-0.5465294149786741	1
31	-0.539384597025558	2
31	-0.43662256920901477	1
32	-0.5380071099116656	2
32	-0.3140030493755673	1
33	-0.5349569598737611	2
33	-0.2629212135919821	1
34	-0.5348585679370546	2
34	-0.2334509237168369	1
35	-0.5341698243801084	2
35	-0.35086980416055286	1
36	-0.5329891211396292	2
36	-0.12712674063788146	1
37	-0.5304066137593773	2
37	-0.47187134729497276	1
38	-0.5296437952916049	2
38	-0.20710101747553053	1
39	-0.5278727404308862	2
39	-0.28719086407739586	1
40	-0.5234451032790894	2
40	-0.28753757337004465	1
41	-0.5222644000386102	2
41	-0.35040752510368783	1
42	-0.5219692242284905	2
42	-0.13683460083204696	1
43	-0.5169512354564539	2
43	-0.4727959054087028	1
44	-0.5158439240577933	2
44	-0.3856563031896459	1
45	-0.5150817886590288	2
45	-0.21010583134515318	1
46	-0.5141962612286695	2
46	-0.16434020471551586	1
47	-0.509670232140166	2
47	-0.04588119639385358	1
48	-0.5095718402034595	2
48	-0.4010270818304079	1
49	-0.5093989498993222	2
49	-0.2926522651693459	1
50	-0.5083911369629802	2
50	-0.4478328363379916	1
