Rank(ACPA–)	Rho	RA_phenotype
1	0.7333151042742581	2
1	0.8182339306510917	1
2	0.6719185357693424	2
2	0.28303035256561065	1
3	0.6186884980110741	2
3	0.6146000061020488	1
4	0.5744121264931059	2
4	0.2311395284325118	1
5	0.57342820712604	2
5	-0.047268033564448655	1
6	0.5668359473666981	2
6	0.061020835506183105	1
7	0.5603420795440628	2
7	0.2255921797501315	1
8	0.5534546439746011	2
8	0.6117107619966424	1
9	0.5510932374936428	2
9	0.1830625065185493	1
10	0.533063320664396	2
10	0.287032035711387	1
11	0.5297421872283115	2
11	-0.16098868155324444	1
12	0.5277499068543586	2
12	0.3812646521494282	1
13	0.5273807807473533	2
13	0.2462791675448413	1
14	0.5229531435955564	2
14	0.38646529153915965	1
15	0.5212804806715443	2
15	0.6114796224682099	1
16	0.510162191823699	2
16	0.38299819861267204	1
17	0.5098670160135792	2
17	0.17173666962535625	1
18	0.495796969064536	2
18	-0.012250395006923124	1
19	0.49515467746861597	2
19	0.3386194091536297	1
20	0.49510822550758987	2
20	0.04068055700412207	1
21	0.48851596574824796	2
21	0.48019237031854317	1
22	0.4862529512039962	2
22	0.028199022468766436	1
23	0.480447826938307	2
23	0.1867607389734695	1
24	0.47651214947004317	2
24	-0.03270624327320042	1
25	0.4743475268624981	2
25	-0.13510105436880313	1
26	0.47336360749543216	2
26	-0.026351239839821315	1
27	0.4714941606980068	2
27	0.009361150901516728	1
28	0.47080541714106067	2
28	-0.12030812454912237	1
29	0.4649019009386649	2
29	0.6446481447982753	1
30	0.4595887363565087	2
30	0.0033515231622714206	1
31	0.4590967766729758	2
31	0.49267390485389884	1
32	0.45860481698944283	2
32	0.06194539361991315	1
33	0.45781768149579	2
33	0.0843659278778668	1
34	0.45693215406543064	2
34	0.12712674063788146	1
35	0.4544723556477657	2
35	0.0657591958390496	1
36	0.45279969272375364	2
36	0.08367250929256927	1
37	0.4483720555719568	2
37	0.1378747287099933	1
38	0.44561708134417216	2
38	-0.107942159777983	1
39	0.4422717554961479	2
39	0.39351504715635127	1
40	0.4381392941544709	2
40	0.3664717223297474	1
41	0.4370774841515915	2
41	0.1060930435505229	1
42	0.43676180704057854	2
42	-0.31666115395254113	1
43	0.43666341510387197	2
43	-0.027044693519816615	1
44	0.4365650231671653	2
44	0.14631132149777995	1
45	0.4341052247495005	2
45	-0.10782659001376674	1
46	0.43260044103387485	2
46	0.1983177153950951	1
47	0.432038994078662	2
47	-0.06807059112337471	1
48	0.4313617570079174	2
48	0.1166098920942022	1
49	0.4303663311546498	2
49	0.052237533425747655	1
50	0.4292840198508772	2
50	0.5683721004155464	1
