Rank(ACPA–)	Rho	RA_phenotype
1	-0.7330759330759331	2
1	-0.3149783657954422	1
2	-0.7096525096525096	2
2	-0.1763973685749409	1
3	-0.6597593166374376	2
3	-0.10360974471404459	1
4	-0.6543114543114543	2
4	0.03070357423448232	1
5	-0.6527670527670527	2
5	-0.22049671071867616	1
6	-0.6455598455598456	2
6	-0.315571098888772	1
7	-0.644015444015444	2
7	-0.07871495479419406	1
8	-0.640926640926641	2
8	-0.004386224890640332	1
9	-0.6332046332046332	2
9	-0.12423685636192074	1
10	-0.6316602316602317	2
10	-0.2355521312892524	1
11	-0.6314028314028314	2
11	-0.4468022057519841	1
12	-0.6270270270270271	2
12	-0.07800367508219833	1
13	-0.6252252252252253	2
13	-0.21302827374272096	1
14	-0.6205920205920207	2
14	-0.09851224011140854	1
15	-0.6169884169884169	2
15	-0.22618694841464196	1
16	-0.6141570141570141	2
16	-0.19228261547617886	1
17	-0.6136422136422137	2
17	-0.144626874772465	1
18	-0.6126126126126126	2
18	-0.3399917023339587	1
19	-0.6126126126126126	2
19	-0.3085768483874806	1
20	-0.6108108108108108	2
20	-0.28024420652631743	1
21	-0.6107214119088258	2
21	-0.4145575254748443	1
22	-0.6102960102960103	2
22	-0.1468792605271181	1
23	-0.6069498069498069	2
23	-0.15920810886837744	1
24	-0.6056628056628056	2
24	-0.3752000480777473	1
25	-0.6018018018018018	2
25	-0.06081441537563487	1
26	-0.5987129987129988	2
26	-0.40969711410954013	1
27	-0.5984555984555984	2
27	0.06211842818096037	1
28	-0.5958815958815958	2
28	-0.2637662265317497	1
29	-0.5948519948519948	2
29	-0.15600735016439665	1
30	-0.593050193050193	2
30	-0.23460375833992475	1
31	-0.5897039897039896	2
31	-0.4217888692134676	1
32	-0.5894465894465895	2
32	-0.15197676512975417	1
33	-0.5873873873873874	2
33	-0.2545195902758052	1
34	-0.5868725868725869	2
34	-0.4869895094797428	1
35	-0.5861003861003861	2
35	-0.2303360800679504	1
36	-0.5835263835263835	2
36	-0.22251200323599735	1
37	-0.5832689832689832	2
37	-0.157785549444386	1
38	-0.5824967824967825	2
38	0.022405310927865477	1
39	-0.5822393822393822	2
39	-0.12980854743922063	1
40	-0.5804375804375804	2
40	-0.11487167348731031	1
41	-0.5804375804375804	2
41	-0.20342599763077862	1
42	-0.5801801801801801	2
42	-0.17047003764164315	1
43	-0.5788931788931788	2
43	-0.038470657972732664	1
44	-0.5786357786357786	2
44	-0.12127319089527187	1
45	-0.5783783783783784	2
45	-0.10301701162071482	1
46	-0.5783783783783784	2
46	0.04575899480505859	1
47	-0.5768339768339769	2
47	-0.03508979912512265	1
48	-0.572972972972973	2
48	-0.04978957983970106	1
49	-0.5723663053231925	2
49	-0.06484500041027734	1
50	-0.5719433719433719	2
50	-0.053701618255677576	1
