Rank(ACPA–)	Rho	RA_phenotype
1	0.6759330759330759	2
1	0.009957915967940212	1
2	0.6553832306511573	2
2	0.23460375833992475	1
3	0.6549971054170738	2
3	0.06224066390041494	1
4	0.6535392535392535	2
4	0.17817556785493022	1
5	0.6229086229086229	2
5	0.2626993069637561	1
6	0.609009009009009	2
6	0.021101298122539972	1
7	0.6084942084942085	2
7	0.08084879393018124	1
8	0.5971685971685972	2
8	0.16821765188699003	1
9	0.596911196911197	2
9	0.0794262345061898	1
10	0.5963963963963964	2
10	0.07586983594621115	1
11	0.5912483912483912	2
11	0.2610396543024327	1
12	0.5897039897039896	2
12	0.03876474430376726	1
13	0.5868725868725869	2
13	0.23294410567860138	1
14	0.5867816473956453	2
14	0.0	1
15	0.585070785070785	2
15	0.10882579593534661	1
16	0.584041184041184	2
16	0.012447394959925265	1
17	0.5839500623456992	2
17	0.08831723090613641	1
18	0.5783783783783784	2
18	0.11048544859666998	1
19	0.5778635778635779	2
19	0.1690474782176517	1
20	0.5768339768339769	2
20	0.11037344398340249	1
21	0.5752895752895753	2
21	0.102542825146051	1
22	0.5706563706563706	2
22	0.0021338391359871883	1
23	0.5701415701415701	2
23	0.17971667389758766	1
24	0.5698841698841699	2
24	0.07930768788752383	1
25	0.5696267696267696	2
25	-0.06946831853824958	1
26	0.564993564993565	2
26	0.30407207687817434	1
27	0.5611325611325612	2
27	-0.13443186556719286	1
28	0.5608751608751609	2
28	-0.04587754142372455	1
29	0.5606177606177606	2
29	0.10195009205272122	1
30	0.5596241725984351	2
30	-0.006046594355280222	1
31	0.5588159588159588	2
31	0.0764625690395409	1
32	0.5583730256063799	2
32	0.24420603445186712	1
33	0.5570500043712114	2
33	0.1558888035457307	1
34	0.555984555984556	2
34	0.12399976312458884	1
35	0.5554697554697554	2
35	0.09863078673007449	1
36	0.5546975546975547	2
36	0.15043565908709677	1
37	0.5534105534105533	2
37	0.13632861146584815	1
38	0.5528957528957529	2
38	0.11487167348731031	1
39	0.5528957528957529	2
39	-0.08714209512021497	1
40	0.5521235521235521	2
40	0.08298263306616843	1
41	0.5477477477477477	2
41	0.05287179192501589	1
42	0.5474903474903475	2
42	0.21682176554003155	1
43	0.5472681651077613	2
43	0.17807813179668422	1
44	0.5459459459459459	2
44	0.1333649459991993	1
45	0.5456885456885456	2
45	0.08084879393018124	1
46	0.5456885456885456	2
46	0.0641337206982816	1
47	0.5451737451737452	2
47	0.13158674671920995	1
48	0.5444015444015444	2
48	0.01327722129058695	1
49	0.5441441441441441	2
49	-0.12245865708193142	1
50	0.5441441441441441	2
50	0.010313555823938076	1
