Rank(ACPA–)	Rho	RA_phenotype
1	0.6759330759330759	2
1	0.009957915967940212	1
2	0.6553832306511573	2
2	0.23460375833992475	1
3	0.6549971054170738	2
3	0.06224066390041494	1
4	0.6535392535392535	2
4	0.17817556785493022	1
5	0.6229086229086229	2
5	0.2626993069637561	1
6	0.609009009009009	2
6	0.021101298122539972	1
7	0.6084942084942085	2
7	0.08084879393018124	1
8	0.5971685971685972	2
8	0.16821765188699003	1
9	0.596911196911197	2
9	0.0794262345061898	1
10	0.5963963963963964	2
10	0.07586983594621115	1
11	0.5912483912483912	2
11	0.2610396543024327	1
12	0.5897039897039896	2
12	0.03876474430376726	1
13	0.5868725868725869	2
13	0.23294410567860138	1
14	0.5867816473956453	2
14	0.0	1
15	0.585070785070785	2
15	0.10882579593534661	1
16	0.584041184041184	2
16	0.012447394959925265	1
17	0.5839500623456992	2
17	0.08831723090613641	1
18	0.5783783783783784	2
18	0.11048544859666998	1
19	0.5778635778635779	2
19	0.1690474782176517	1
20	0.5768339768339769	2
20	0.11037344398340249	1
21	0.5752895752895753	2
21	0.102542825146051	1
22	0.5706563706563706	2
22	0.0021338391359871883	1
23	0.5701415701415701	2
23	0.17971667389758766	1
24	0.5698841698841699	2
24	0.07930768788752383	1
25	0.5696267696267696	2
25	-0.06946831853824958	1
26	0.564993564993565	2
26	0.30407207687817434	1
27	0.5611325611325612	2
27	-0.13443186556719286	1
28	0.5608751608751609	2
28	-0.04587754142372455	1
29	0.5606177606177606	2
29	0.10195009205272122	1
30	0.5596241725984351	2
30	-0.006046594355280222	1
31	0.5588159588159588	2
31	0.0764625690395409	1
32	0.5583730256063799	2
32	0.24420603445186712	1
33	0.5570500043712114	2
33	0.1558888035457307	1
34	0.555984555984556	2
34	0.12399976312458884	1
35	0.5554697554697554	2
35	0.09863078673007449	1
36	0.5546975546975547	2
36	0.15043565908709677	1
37	0.5534105534105533	2
37	0.13632861146584815	1
38	0.5528957528957529	2
38	0.11487167348731031	1
39	0.5528957528957529	2
39	-0.08714209512021497	1
40	0.5521235521235521	2
40	0.08298263306616843	1
41	0.5477477477477477	2
41	0.05287179192501589	1
42	0.5474903474903475	2
42	0.21682176554003155	1
43	0.5472681651077613	2
43	0.17807813179668422	1
44	0.5459459459459459	2
44	0.1333649459991993	1
45	0.5456885456885456	2
45	0.08084879393018124	1
46	0.5456885456885456	2
46	0.0641337206982816	1
47	0.5451737451737452	2
47	0.13158674671920995	1
48	0.5444015444015444	2
48	0.01327722129058695	1
49	0.5441441441441441	2
49	-0.12245865708193142	1
50	0.5441441441441441	2
50	0.010313555823938076	1
61	-0.5719433719433719	2
61	-0.053701618255677576	1
62	-0.5723663053231925	2
62	-0.06484500041027734	1
63	-0.572972972972973	2
63	-0.04978957983970106	1
64	-0.5768339768339769	2
64	-0.03508979912512265	1
65	-0.5783783783783784	2
65	-0.10301701162071482	1
66	-0.5783783783783784	2
66	0.04575899480505859	1
67	-0.5786357786357786	2
67	-0.12127319089527187	1
68	-0.5788931788931788	2
68	-0.038470657972732664	1
69	-0.5801801801801801	2
69	-0.17047003764164315	1
70	-0.5804375804375804	2
70	-0.11487167348731031	1
71	-0.5804375804375804	2
71	-0.20342599763077862	1
72	-0.5822393822393822	2
72	-0.12980854743922063	1
73	-0.5824967824967825	2
73	0.022405310927865477	1
74	-0.5832689832689832	2
74	-0.157785549444386	1
75	-0.5835263835263835	2
75	-0.22251200323599735	1
76	-0.5861003861003861	2
76	-0.2303360800679504	1
77	-0.5868725868725869	2
77	-0.4869895094797428	1
78	-0.5873873873873874	2
78	-0.2545195902758052	1
79	-0.5894465894465895	2
79	-0.15197676512975417	1
80	-0.5897039897039896	2
80	-0.4217888692134676	1
81	-0.593050193050193	2
81	-0.23460375833992475	1
82	-0.5948519948519948	2
82	-0.15600735016439665	1
83	-0.5958815958815958	2
83	-0.2637662265317497	1
84	-0.5984555984555984	2
84	0.06211842818096037	1
85	-0.5987129987129988	2
85	-0.40969711410954013	1
86	-0.6018018018018018	2
86	-0.06081441537563487	1
87	-0.6056628056628056	2
87	-0.3752000480777473	1
88	-0.6069498069498069	2
88	-0.15920810886837744	1
89	-0.6102960102960103	2
89	-0.1468792605271181	1
90	-0.6107214119088258	2
90	-0.4145575254748443	1
91	-0.6108108108108108	2
91	-0.28024420652631743	1
92	-0.6126126126126126	2
92	-0.3399917023339587	1
93	-0.6126126126126126	2
93	-0.3085768483874806	1
94	-0.6136422136422137	2
94	-0.144626874772465	1
95	-0.6141570141570141	2
95	-0.19228261547617886	1
96	-0.6169884169884169	2
96	-0.22618694841464196	1
97	-0.6205920205920207	2
97	-0.09851224011140854	1
98	-0.6252252252252253	2
98	-0.21302827374272096	1
99	-0.6270270270270271	2
99	-0.07800367508219833	1
100	-0.6314028314028314	2
100	-0.4468022057519841	1
101	-0.6316602316602317	2
101	-0.2355521312892524	1
102	-0.6332046332046332	2
102	-0.12423685636192074	1
103	-0.640926640926641	2
103	-0.004386224890640332	1
104	-0.644015444015444	2
104	-0.07871495479419406	1
105	-0.6455598455598456	2
105	-0.315571098888772	1
106	-0.6527670527670527	2
106	-0.22049671071867616	1
107	-0.6543114543114543	2
107	0.03070357423448232	1
108	-0.6597593166374376	2
108	-0.10360974471404459	1
109	-0.7096525096525096	2
109	-0.1763973685749409	1
110	-0.7330759330759331	2
110	-0.3149783657954422	1
