Rank(ACPA–)	Rho	RA_phenotype
1	-0.6240509071023731	2
1	-0.4401083556405492	1
2	-0.6125378551904416	2
2	-0.17002059924433705	1
3	-0.5958047887965927	2
3	-0.024121534190563235	1
4	-0.5928667550358222	2
4	-0.07115852586216154	1
5	-0.5878017219432883	2
5	-0.23792604178873736	1
6	-0.5828115743759338	2
6	-0.44263015239683534	1
7	-0.5760325059825464	2
7	0.03278335783172003	1
8	-0.559555603637508	2
8	-0.13025628462904146	1
9	-0.5476922339490803	2
9	-0.4654359665406406	1
10	-0.5374294776313134	2
10	0.054931311952146275	1
11	-0.5191636544602422	2
11	-0.22016382115750444	1
12	-0.5169039649957797	2
12	-0.283428026739118	1
13	-0.5086184369594174	2
13	-0.3324385984808533	1
14	-0.50398146689895	2
14	-0.30009381399805257	1
15	-0.5036282893920629	2
15	-0.3119352944188745	1
16	-0.5031575207536333	2
16	-0.3011902473703509	1
17	-0.49957967910156775	2
17	-0.11830516087098968	1
18	-0.49863814182470845	2
18	-0.15591282554082234	1
19	-0.4980732194585928	2
19	-0.200756950467824	1
20	-0.4969433747263617	2
20	-0.07609247603750402	1
21	-0.4957193762664445	2
21	-0.23891283182380585	1
22	-0.49524860762801476	2
22	-0.17542933956773263	1
23	-0.4914824585205774	2
23	0.2067873340154648	1
24	-0.48877492660858457	2
24	-0.034537651227397353	1
25	-0.48677477213628073	2
25	-0.4168639681478246	1
26	-0.4865864646809088	2
26	-0.25503040239659125	1
27	-0.48282031557347144	2
27	-0.008223250292237467	1
28	-0.4821612394796699	2
28	-0.0996657935419181	1
29	-0.4815963171135544	2
29	-0.20152445382843284	1
30	-0.4776171865193692	2
30	-0.16205285242569298	1
31	-0.4765343678609221	2
31	-0.11151337509118621	1
32	-0.4764178620908279	2
32	-0.3326760865552202	1
33	-0.476323708363142	2
33	-0.18825761002362304	1
34	-0.4741804142556023	2
34	0.07598283270027419	1
35	-0.470486177246614	2
35	-0.1924240568383567	1
36	-0.46923711168443105	2
36	-0.06409003710992954	1
37	-0.4675674116883501	2
37	0.07093923918770188	1
38	-0.46719079677760633	2
38	-0.24121534190563232	1
39	-0.46532954869960025	2
39	0.05854954208073076	1
40	-0.4651194147685158	2
40	-0.06271598889546441	1
41	-0.46417787749165645	2
41	-0.21095378083019845	1
42	-0.4638954163085986	2
42	-0.3826552469321167	1
43	-0.46210649548256594	2
43	-0.10909512054368373	1
44	-0.4604117283842191	2
44	-0.2037173205730295	1
45	-0.45984680601810346	2
45	-0.038923384716590674	1
46	-0.4583403463751285	2
46	-0.2868269701932428	1
47	-0.45749296282595514	2
47	-0.16358785914691065	1
48	-0.4495840497003366	2
48	-0.15492603550575385	1
49	-0.44873666615116325	2
49	-0.2624861493282199	1
50	-0.44847524088551116	2
50	-0.2482460975481274	1
