Rank(ACPA–)	Rho	RA_phenotype
1	0.6701862336684808	2
1	-0.17192075277637797	1
2	0.6019247810961784	2
2	0.49800003769790097	1
3	0.5426079326540398	2
3	0.5763950238172314	1
4	0.5405365506449492	2
4	-0.15887319564602784	1
5	0.5348873269837932	2
5	0.06962351914094388	1
6	0.5266959526751168	2
6	0.18452973655780874	1
7	0.5212350364693328	2
7	0.5133501049100776	1
8	0.5131378158883424	2
8	0.5137886782589969	1
9	0.5072061310441284	2
9	0.24889037551172064	1
10	0.5056055176734675	2
10	0.04561162828761048	1
11	0.4988264492800803	2
11	0.30919421098812877	1
12	0.4951544539003288	2
12	0.0967054234367126	1
13	0.4944953778065273	2
13	-0.2937345004387223	1
14	0.4870572333193385	2
14	0.19417835023403404	1
15	0.4861156960424792	2
15	-0.13990489830526676	1
16	0.48555077367636357	2
16	0.17806077966124859	1
17	0.4844209289441323	2
17	-0.05547952863829544	1
18	0.48340791238845565	2
18	0.18825761002362304	1
19	0.48065477983669497	2
19	0.013924703828188776	1
20	0.4797132425598356	2
20	0.4493183959678551	1
21	0.47943078137677786	2
21	0.13793131823512977	1
22	0.4770769381846294	2
22	0.23025100818264904	1
23	0.4754763248139685	2
23	0.24088641189394286	1
24	0.47284002043876244	2
24	0.4668613299246284	1
25	0.47208679061727493	2
25	0.16556143921704766	1
26	0.4710510996127296	2
26	0.19901354551671874	1
27	0.47095694588504367	2
27	0.4748652935424062	1
28	0.46594157663698343	2
28	0.19911230040937652	1
29	0.4626714178486815	2
29	0.05756275204566226	1
30	0.4625011180035563	2
30	0.03881586507598812	1
31	0.4605058821119051	2
31	0.351626182496074	1
32	0.4601292672011613	2
32	0.2484518021628013	1
33	0.4593760373796738	2
33	-0.010416117036834123	1
34	0.45843450010281445	2
34	0.5438309526599711	1
35	0.4535385062631459	2
35	-0.060526433677811985	1
36	0.4519590922213843	2
36	0.28916112235234875	1
37	0.4478892826019898	2
37	-0.10953369389260305	1
38	0.44757565181123954	2
38	0.16654822925211615	1
39	0.4464769766867008	2
39	0.3242508300325731	1
40	0.44619451550364303	2
40	0.05054557846295296	1
41	0.44449974840529616	2
41	0.3464729456462719	1
42	0.44327574994537905	2
42	0.10646368045016773	1
43	0.4427108275792634	2
43	-0.17597755625388178	1
44	0.4415809828470322	2
44	0.4311176019877029	1
45	0.44026283065942917	2
45	-0.121375174313425	1
46	0.4394154471102557	2
46	0.31500530786130987	1
47	0.43386037717678555	2
47	0.21233593988601973	1
48	0.433201301082984	2
48	0.03377014786678852	1
49	0.43256251451354993	2
49	-0.15163673538885886	1
50	0.4294283610877844	2
50	0.19900265707214668	1
61	-0.44847524088551116	2
61	-0.2482460975481274	1
62	-0.44873666615116325	2
62	-0.2624861493282199	1
63	-0.4495840497003366	2
63	-0.15492603550575385	1
64	-0.45749296282595514	2
64	-0.16358785914691065	1
65	-0.4583403463751285	2
65	-0.2868269701932428	1
66	-0.45984680601810346	2
66	-0.038923384716590674	1
67	-0.4604117283842191	2
67	-0.2037173205730295	1
68	-0.46210649548256594	2
68	-0.10909512054368373	1
69	-0.4638954163085986	2
69	-0.3826552469321167	1
70	-0.46417787749165645	2
70	-0.21095378083019845	1
71	-0.4651194147685158	2
71	-0.06271598889546441	1
72	-0.46532954869960025	2
72	0.05854954208073076	1
73	-0.46719079677760633	2
73	-0.24121534190563232	1
74	-0.4675674116883501	2
74	0.07093923918770188	1
75	-0.46923711168443105	2
75	-0.06409003710992954	1
76	-0.470486177246614	2
76	-0.1924240568383567	1
77	-0.4741804142556023	2
77	0.07598283270027419	1
78	-0.476323708363142	2
78	-0.18825761002362304	1
79	-0.4764178620908279	2
79	-0.3326760865552202	1
80	-0.4765343678609221	2
80	-0.11151337509118621	1
81	-0.4776171865193692	2
81	-0.16205285242569298	1
82	-0.4815963171135544	2
82	-0.20152445382843284	1
83	-0.4821612394796699	2
83	-0.0996657935419181	1
84	-0.48282031557347144	2
84	-0.008223250292237467	1
85	-0.4865864646809088	2
85	-0.25503040239659125	1
86	-0.48677477213628073	2
86	-0.4168639681478246	1
87	-0.48877492660858457	2
87	-0.034537651227397353	1
88	-0.4914824585205774	2
88	0.2067873340154648	1
89	-0.49524860762801476	2
89	-0.17542933956773263	1
90	-0.4957193762664445	2
90	-0.23891283182380585	1
91	-0.4969433747263617	2
91	-0.07609247603750402	1
92	-0.4980732194585928	2
92	-0.200756950467824	1
93	-0.49863814182470845	2
93	-0.15591282554082234	1
94	-0.49957967910156775	2
94	-0.11830516087098968	1
95	-0.5031575207536333	2
95	-0.3011902473703509	1
96	-0.5036282893920629	2
96	-0.3119352944188745	1
97	-0.50398146689895	2
97	-0.30009381399805257	1
98	-0.5086184369594174	2
98	-0.3324385984808533	1
99	-0.5169039649957797	2
99	-0.283428026739118	1
100	-0.5191636544602422	2
100	-0.22016382115750444	1
101	-0.5374294776313134	2
101	0.054931311952146275	1
102	-0.5476922339490803	2
102	-0.4654359665406406	1
103	-0.559555603637508	2
103	-0.13025628462904146	1
104	-0.5760325059825464	2
104	0.03278335783172003	1
105	-0.5828115743759338	2
105	-0.44263015239683534	1
106	-0.5878017219432883	2
106	-0.23792604178873736	1
107	-0.5928667550358222	2
107	-0.07115852586216154	1
108	-0.5958047887965927	2
108	-0.024121534190563235	1
109	-0.6125378551904416	2
109	-0.17002059924433705	1
110	-0.6240509071023731	2
110	-0.4401083556405492	1
