Rank(ACPA–)	Rho	RA_phenotype
1	-0.7185170453980991	2
1	-0.19747472094952048	1
2	-0.7077361188563801	2
2	0.07640981664880944	1
3	-0.7077361188563801	2
3	0.08484466653861306	1
4	-0.6982235366136869	2
4	0.08285999597630633	1
5	-0.6906134708195323	2
5	-0.34086716907618236	1
6	-0.6849059214739163	2
6	-0.11287813823119576	1
7	-0.6830034050253775	2
7	-0.165968075772901	1
8	-0.6779300278292746	2
8	-0.2240196897203731	1
9	-0.6753933392312229	2
9	-0.2714036993954465	1
10	-0.6734908227826844	2
10	-0.008434849889803638	1
11	-0.6728566506331715	2
11	-0.21558483983056945	1
12	-0.6715883063341457	2
12	-0.0903025105849566	1
13	-0.6684174455865812	2
13	-0.15629280678165566	1
14	-0.6684174455865812	2
14	-0.04713592585478504	1
15	-0.6677832734370683	2
15	-0.17541686533649328	1
16	-0.663978240539991	2
16	-0.4133076446003783	1
17	-0.6633440683904781	2
17	-0.05135335079968686	1
18	-0.6563681747458364	2
18	-0.053344591297519166	1
19	-0.6551998380545144	2
19	-0.22082179653391656	1
20	-0.6525631418487591	2
20	-0.21235975016682102	1
21	-0.6525631418487591	2
21	-0.0838523312574597	1
22	-0.6525631418487591	2
22	-0.23964897039853866	1
23	-0.6493922811011946	2
23	-0.2649535200679496	1
24	-0.6474897646526561	2
24	0.02356796292739252	1
25	-0.6466372070634825	2
25	-0.13844782299542185	1
26	-0.6453686691388851	2
26	-0.27710962726207833	1
27	-0.6443189039050915	2
27	-0.04018957888671145	1
28	-0.6430505596060658	2
28	-0.3478135160442559	1
29	-0.6405138710080142	2
29	0.012156107194128773	1
30	-0.6390259795158986	2
30	-0.05135335079968686	1
31	-0.6361717691855545	2
31	-0.3478135160442559	1
32	-0.6341721495128854	2
32	-0.004713592585478503	1
33	-0.6341721495128854	2
33	0.0387010759649814	1
34	-0.6341721495128854	2
34	0.0704558049618892	1
35	-0.6335379773633725	2
35	0.05854778158804878	1
36	-0.6297329444662952	2
36	-0.09600843845158848	1
37	-0.6278304280177565	2
37	-0.1677046625149194	1
38	-0.6278304280177565	2
38	-0.2991890872677408	1
39	-0.6278304280177565	2
39	-0.08285999597630633	1
40	-0.6265620837187308	2
40	-0.313826032664753	1
41	-0.6259279115692179	2
41	-0.23915280275796197	1
42	-0.6233912229711663	2
42	0.08857683299169461	1
43	-0.6233912229711663	2
43	-0.17961268588875984	1
44	-0.6227570508216536	2
44	-0.07467322990679102	1
45	-0.6202203622236019	2
45	-0.30390267985321934	1
46	-0.619586190074089	2
46	-0.2525493290535325	1
47	-0.6190465072034907	2
47	-0.31457028412561805	1
48	-0.6157811571770117	2
48	-0.3892435140324091	1
49	-0.6157811571770117	2
49	-0.17737993150616474	1
50	-0.6132444685789602	2
50	-0.26817860973169805	1
