Rank(ACPA–)	Rho	RA_phenotype
1	0.6830034050253775	2
1	-0.20690190612047749	1
2	0.67475916708171	2
2	0.12404191014417117	1
3	0.6520284932430211	2
3	0.2004517267929806	1
4	0.6335379773633725	2
4	0.129003586549938	1
5	0.6164153293265247	2
5	-0.08806975620236152	1
6	0.5618765244684165	2
6	-0.3083681886184095	1
7	0.5568031472723134	2
7	0.14415445369236576	1
8	0.5466563928801073	2
8	-0.14314436430637353	1
9	0.5441197042820557	2
9	0.0004961676405766846	1
10	0.5428513599830299	2
10	-0.22253118679864303	1
11	0.5390463270859526	2
11	-0.09451993552985842	1
12	0.5384121549364397	2
12	-0.23716813219565525	1
13	0.5373078490625657	2
13	-0.2525804369343001	1
14	0.5365915421046652	2
14	-0.1453771186889686	1
15	0.536509638487901	2
15	0.2302501429027804	1
16	0.536509638487901	2
16	-0.16139840297226146	1
17	0.5301679169927722	2
17	-0.003721257304325135	1
18	0.5225578511986175	2
18	-0.28504830951130533	1
19	0.5214487035766576	2
19	-0.09428346368863853	1
20	0.5212895068995917	2
20	-0.09228718114726334	1
21	0.5174844740025145	2
21	-0.09228718114726334	1
22	0.5143136132549501	2
22	-0.08261191215601799	1
23	0.5098744082083598	2
23	0.47880177315650063	1
24	0.5079718917598213	2
24	-0.15058687891502376	1
25	0.4990934816666408	2
25	0.0803791577734229	1
26	0.4985354043667457	2
26	0.02927389079402439	1
27	0.497825137367615	2
27	0.28207130366784516	1
28	0.4971909652181022	2
28	-0.15157921419617715	1
29	0.4952884487695635	2
29	-0.10816454564571724	1
30	0.48894672727443467	2
30	-0.06375754181410398	1
31	0.48894672727443467	2
31	0.006946346968073585	1
32	0.4876783829754089	2
32	0.09774502519360687	1
33	0.4876783829754089	2
33	-0.16274298610915255	1
34	0.4864100386763831	2
34	-0.12056873666013435	1
35	0.4864100386763831	2
35	-0.01711778359989562	1
36	0.4851416943773573	2
36	-0.21558483983056945	1
37	0.4826050057793058	2
37	-0.27487687287948326	1
38	0.48133666148028004	2
38	-0.22724477938412155	1
39	0.48006831718125426	2
39	-0.003721257304325135	1
40	0.48006831718125426	2
40	-0.10270670159937371	1
41	0.4787999728822285	2
41	-0.00967526899124535	1
42	0.4787999728822285	2
42	-0.2498204070303607	1
43	0.47816580073271564	2
43	-0.23964897039853866	1
44	0.4756291121346641	2
44	-0.04936868023738012	1
45	0.4737265956861254	2
45	-0.13570184969772325	1
46	0.4724582513870996	2
46	-0.26371310096650785	1
47	0.4718240792375868	2
47	-0.12652274834705457	1
48	0.46738487419099656	2
48	0.14514691120487774	1
49	0.4655534183272155	2
49	0.06772688293871745	1
50	0.4655534183272155	2
50	0.08112340923428794	1
