feature	control	acpa_neg	acpa_pos
A1BG	1044.125989582573	1032.8205295135833	1022.7334722217602
AAK1	3364.5086718763437	2379.6737500000104	2547.4241232640525
AARS	1134.0063368053952	1140.749843749094	1174.0912499991875
ABCF1	1065.0576302080417	1064.9682899297186	1128.9120659717294
ABCF3	1698.0130989567713	1519.4476302080095	1656.358194444552
ABI1	825.0970833329479	804.1455729165416	827.3354513889687
ABL2	1984.5311545143234	1970.0227083337393	2092.2624479165415
ABT1	1628.0858420130728	1610.610069444645	1574.388307291208
ACAT2	1381.8534635408541	1273.7355555555628	1206.288784722083
ACPP	640.0792100692709	654.5270138889374	606.0869357637292
ACRBP	1291.234470486146	1392.5487586802192	1242.1620920130938
ACSL6	1028.0552864581975	1036.8081857640727	1089.4340451388744
ACTA1	863.471128472323	834.5755121523331	874.7256510415624
ACTB	1280.5563368052185	1310.7347829861455	1244.0287673613648
ACTL7B	1463.2989149301773	1488.4785156247815	1512.4285763886246
ACTL8	1027.6429947908957	990.6834114578958	1058.136267361354
ACTR2	1558.8673437498956	1510.6539149304685	1634.736171874198
ACVR1	1143.6468142362498	1163.0825954856243	1149.6504513879372
ACVR1C	1181.8529774303026	1168.965460068781	1195.4519357632496
ACVR2A	999.5732204854793	1276.29838541624	946.3266319441768
ADAM2	1716.613559028875	1645.0243229168752	1679.2786718749269
ADAM29	981.5613628471563	963.3120052083751	944.675347221781
ADCK1	960.0616579856044	947.1229340276458	968.5147829855522
ADD1	1662.8529947912396	1631.625373263323	1709.7724045132916
ADSL	1184.5976909722085	1164.1298437504165	1125.9791666670726
AFF4	2507.1593055550934	3001.110112847084	3255.6806423619146
AFP	1256.6769010413334	1293.6091579858958	1236.344869790354
AGR2	1597.8762934029908	1545.0999045137812	1570.783376736094
AHSG	1220.7252690966875	1291.0268055559063	1210.993602429656
AICDA	1182.340546874593	1191.4534982634889	1170.1374131940197
AIF1	1020.9225607632395	1011.8134461803019	983.7076128476248
AIFM2	799.5690451389896	801.439227430177	779.2472135414478
AIFM3	1105.163515624698	1094.236197916135	1094.567821180895
AIM2	1022.8491579863859	1036.9198524296246	1020.0341840262815
AK1	1025.0394097218436	983.596250000229	911.3370746532707
AK2	1489.9311371524686	1469.976866318698	1838.8597569435738
AK3	1718.1375434016254	1510.1757986106875	1490.2898003468238
AK4	1183.0199739580098	1207.6970572916669	1101.666631943875
AK7	1148.3302170138538	1091.5090277769893	1195.9773177085308
AK9	1432.7615624993653	1460.838576388386	1432.899053818645
AKAP3	1663.124427083011	1537.3278559024996	1540.85597222199
AKAP4	1228.0713715270838	1237.8533159723336	1206.8744444431775
AKT1	275.0006423609083	275.46895833340614	294.6702951386781
AKT3	728.9010156251666	717.1377430551563	730.06146701375
ALDOA	1440.4380642359793	1378.5085937502292	1202.142517361073
ALOX15	1442.3419965277503	1465.044453125156	1451.8633506945623
ALOX15B	1455.2522916661987	1444.5037760409787	1407.559895832771
ALPK1	962.9813454864374	945.9937586801667	969.5869704853438
ALX1	1712.1856857646153	1536.7967621530934	1779.288498264729
AMD1	336.1513715280094	323.3300347222542	379.5578125001428
AMOTL2	3006.9684288196036	3252.7538020830625	2691.043723958334
AMT	1274.6071701383546	1297.1959114588437	1299.9340798613127
ANKRD13A	873.5614583332917	858.9243489580625	876.0208854168646
ANKRD45	1531.9057031240004	1360.4754253468652	1254.226345485135
ANXA1	1003.667204860979	1003.5385243046773	1007.2446180552606
ANXA11	1135.1310850695315	1165.94060763875	1177.9263628467609
ANXA2	1144.3910503471873	1101.6032638883432	1109.3425868057188
AP2M1	1334.609244791792	1352.0405902774162	1397.8336458339688
APCS	1647.8697656247707	1740.2795920142294	1623.3142274307713
APEX1	1279.3789930557393	1241.910755208865	1296.5861197914273
API5	1964.0334288186045	2003.8480815970943	1889.293038194489
APOBEC3G	2219.571901041906	2231.483914930313	2082.326501736198
APP	1073.1573611103745	1028.885034721636	1075.02852430525
APPL1	1087.8677083328646	1091.5737847222185	1199.789982639344
AR	1249.5462326390518	1218.068880208228	1243.9900260405834
ARAF	892.4049218747917	888.962013888531	951.397421874823
AREG	1849.730807291937	1786.498272568594	1640.9402256956773
ARHGDIA	317.273559027825	335.8709895832386	335.9929166665772
ARHGDIB	920.2466232637706	920.6721961798646	888.9285416658334
ARHGDIG	543.1146527780229	549.6177777775208	531.3766840272147
ARIH2	1153.7596354152915	1080.5018055543962	2728.988541667584
ARL1	875.8579340278435	922.4184722215622	831.4214496528023
ARMC3	1051.4578732631358	1011.5252256939267	1041.0792881936984
ARNT	1206.8912673605316	1215.2622916667085	1300.5962152776146
ARRB1	797.8053038192606	761.0485590280417	831.5550868058228
ARX	1666.1194878467813	1629.1795659714992	1688.8983420140314
ASB1	878.5902690972499	894.4293489584687	862.1895138887709
ASCL1	5147.01391492948	5513.687395829585	5090.753576390686
ASNA1	691.9995659717292	1058.653203125229	1245.7192795137717
ASPSCR1	1131.77973958299	1147.3925260419169	1155.1348611107085
ATF1	953.2011631935417	952.8472916664791	959.0878211800833
ATF2	2139.2476302088435	2109.6278819440413	2227.2746354165934
ATF3	1205.4428385416566	1198.4290190970837	1258.072612846687
ATF4	930.5320052078853	933.8211111110103	932.3264409725207
ATF5	1415.7118749993642	1371.5845659715317	1470.811128472334
ATG12	715.803203124052	699.4769010406666	692.5834982630624
ATG7	1118.1098871522504	1106.6346093744996	1092.614609375031
ATIC	826.3306336798124	811.7114583330937	847.6411979163647
ATP5B	1292.2484809026976	1275.3810329860837	1375.441171873657
ATXN3	1216.3939756948225	1204.885312500083	1116.0146701384997
AURKA	314.8447656250376	318.0049218750147	353.3078298611416
AURKB	891.4734374997603	902.0511979162917	936.8154427079061
AXIN1	1177.8052170139165	1171.4561979158957	1169.7357725689264
AXL_int	1550.4914236110728	1496.0147135425002	1534.6240451390106
BACH1	1800.4467881941052	1599.4465277774684	1698.058949651459
BAD	505.6763715271376	513.6591666663167	504.5157204862917
BAG3	916.6702343751665	915.1471614575105	912.7380555555729
BAG4	1346.6646527765736	1501.186874999677	1388.1705468739797
BAGE2	543.249904513552	549.207907986225	524.0715451388688
BANK1	1747.1956684009588	1485.686354166062	2169.144913194572
BASP1	551.1124999997917	546.99793402825	564.8501475688541
BATF	5517.643914931312	4341.884045139313	4800.100815972792
BCKDK	1400.4470486108328	1400.2936197917188	1427.9781076378226
BCL10	2804.03066840224	2909.131284721104	2114.3105121526037
BCL2A1	872.61631944375	880.822378472073	892.9156510415729
BCL2L14	1531.548281250062	1609.467369791156	1413.7839496525937
BDNF	1019.5174218753224	1027.5318402773646	1050.4064670133637
BID	1583.0209288186668	1556.468376735885	1550.0722569441768
BIRC2	785.9634982634897	799.336961805177	842.8702690971978
BIRC3	977.8581336798542	1011.5842621523226	1009.1212586808019
BIRC5	668.9027517360521	647.6566666665417	641.0060329858334
BIRC7	1700.4114583341245	1892.5359201389583	1622.4080902778019
BLK	308.1320572917189	317.28262152756474	339.14606770844387
BLZF1	1337.5812065970626	1292.0604340274167	1339.1135850687508
BMP7	1039.044435763395	1069.50899305575	1089.554262151635
BMPR1A	1135.2897743054893	1147.3054166660313	1221.7097222226864
BMPR1B	1004.6628819447186	1003.198116319885	983.5599218748744
BMPR2	482.3911284718105	479.899557291475	473.1477604163667
BMX	1035.4817187501874	886.0018749997082	987.6787326383021
BOLA3	938.3203472218643	943.6513281249269	934.2230642357707
BOP1	1186.1681249995202	1209.617925346854	1216.748263888594
BPI	1355.7144965275522	1301.1991753464795	1267.0502430554898
BPIFA1	759.7074652780728	741.6712152776562	713.2485763893125
BRAF	1197.8558940964995	1172.8535590260728	1177.9497743047807
BRD2	748.4509114579479	769.0102256943437	720.6109635412499
BRD3	1326.770815971667	1515.2295920132306	1356.0744010420105
BRD8	1571.6541319448124	1512.6096527780837	1717.1971527781975
BRDT	1322.9766753467609	1275.3349565976043	1279.1437673605212
BRSK1	833.8176736107396	841.6140190973332	858.8137152777292
BRSK2	1612.9666319444786	1624.6967708335312	1722.597092013938
BTF3	3212.797699652864	3202.01491319423	3436.3774826388117
BTG1	639.6408159721041	623.9034548611354	641.7311892353855
BTG3	1637.574930555521	1675.5189236104168	1657.701423610761
BTRC	1110.7153385414683	1134.8444531246153	1175.940902778042
BUB1	1468.9869184030624	1482.639305554886	1402.771666666333
BUB1B	1445.199687499927	1482.3071267364276	1412.944175346562
BUD31	2553.746822917167	1820.9017274304065	1857.847638888417
C1D	1305.921067708041	1291.071753471907	1247.5875260408743
C1orf174	2031.1600347223439	1951.3640711800108	1909.3823958329278
C1orf216	1903.2061284718018	1819.5239930563334	1803.5793836808957
C21orf2	1180.3588888887916	1243.5865190968227	1080.6763107637605
C21orf33	1073.9173784717816	1018.995659721552	963.3589236115415
C4BPA	1178.0433333335625	1215.4373784716458	1187.2158940969477
C6	619.134869791427	621.7490972226145	614.3832378467083
C6orf106	2069.051631943834	1882.633420138677	1752.155607638
CA1	1393.8283420137193	1391.6510937507712	1439.580425346312
CA4	1051.9452343745618	1052.5670399305727	961.1955034723746
CA9	955.7229166665	936.0842795136873	906.2469184025312
CAB39L	1032.2268315967287	1016.9507031245215	1108.5367534726454
CABYR	1083.9314670130625	1120.0759201384271	1006.2213107633848
CAGE1	1826.522968750605	1815.2115104166562	1731.5614843754172
CALM2	857.700147569198	900.6491666663646	922.518359374625
CALM3	1386.9598958332813	1226.6365711807284	1252.6167534723436
CALML4	1288.6207291663113	1289.2057291655735	1299.1970920131762
CALR	1045.4779861112393	1045.2651909718543	1027.0013454854068
CALR3	1186.0336805554273	1170.2064843751248	1161.538168402625
CALU	1194.4225868040835	1234.091319443792	1217.7898784717183
CAMK1	1107.7568576388128	1064.885512152562	1055.9409374997392
CAMK1G	2316.3867100696884	2288.1609548617294	2304.702378472469
CAMK2A	1280.477499999802	1251.917092013084	1253.3509374994271
CAMK2B	1398.9966666678126	1364.6893315969176	1386.1678124997609
CAMK2D	1225.4897135416256	1201.0121354167811	1197.3791840274268
CAMK2G	4707.543958332646	4328.121215277501	5831.78696180675
CAMK4	1558.6402604157186	1378.0121093747605	1416.5600347224902
CAMKK1	1986.492690971448	2021.941137153042	1888.7657031248123
CAMKK2	2037.95687500025	2138.307847222281	1975.0069010417187
CAMKV	911.784010416073	912.701206597104	926.1226736101563
CAPG	951.207187499448	939.121744791625	926.500164929864
CARD8	1173.2228125005006	1177.5061979166667	1146.0875607639475
