feature	control	acpa_neg	acpa_pos
CRYBB2_10000-28	523.735	528.12	589.63
RAF1_10001-7	764.8	859.045	781.405
ZNF41_10003-15	173.685	190.505	172.2475
ELK1_10006-25	713.6825	733.7475000000001	733.815
GUCA1A_10008-43	440.915	450.43	465.4
BECN1_10010-10	315.305	288.4475	293.28249999999997
OCRL_10011-65	2414.31	2291.0225	2327.145
SPDEF_10012-5	1314.465	1317.8425	1342.9825
SNAI2_10014-31	917.45	799.45	788.785
KCNAB2_10015-119	871.3175	814.0	836.6
POLH_10022-207	163.10999999999999	179.705	278.1325
VDR_10023-32	553.0925	571.9075	562.61
HOGA1_10024-44	662.3725	3818.3125	946.295
DLD_10025-1	2468.245	2523.8475	2580.6075
MUTYH_10030-8	132.3725	155.1675	166.15
DUSP4_10035-6	519.2125	462.5025	468.56
ZHX3_10036-201	2356.7875	2217.1825	2439.505
SIGLEC12_10037-98	259.745	269.7825	244.3775
PNP_10039-32	12448.5775	12765.565	11687.33
TP63_10040-63	537.705	513.0775	516.9075
HNF4A_10041-3	18701.345	17625.415	16868.0375
SGK3_10042-8	1029.3475	1063.58	1042.6425
BRD4_10043-31	758.8475	726.4975000000001	715.27
WNT10A_10044-12	720.5225	771.62	786.44
CUL3_10045-47	1467.52	1525.8925	1503.27
BIRC2_10046-55	1607.74	1602.89	1435.8575
NCF2_10047-12	1765.8375	497.305	469.9225
CBFB_10048-7	1444.8225	1418.0225	1419.1125
TERF1_10049-112	451.5575	1472.1975	469.8825
ILK_10053-5	27954.579999999998	29394.9325	28380.8625
GAN_10054-3	320.0275	310.8375	336.035
FOXM1_10056-5	2682.7599999999998	2898.4375	2656.38
RAD23A_10058-1	24654.835	25852.9275	25750.63
FANCL_10063-10	375.59	402.135	396.6325
RBBP9_10064-12	1589.43	1497.28	1354.7875
PIN1_10069-2	682.1925	688.865	651.8575
PLCG2_10070-22	3477.9825	3388.2725	3177.735
TDP1_10073-22	1216.79	1195.01	1131.375
BRD2_10074-128	758.335	780.4575	758.5475
ACBD6_10075-75	3120.5225	3234.5025	2954.9475
AP4M1_10076-1	2469.005	2815.25	2559.4825
BAG3_10078-5	559.25	562.1275	570.2975
EIF2B1_10080-9	3404.5575	3486.735	3491.5099999999998
SATB2_10081-17	436.9325	455.725	460.6525
NEFL_10082-251	569.795	552.3375	514.2125
STAR_10085-25	1602.1825000000001	1476.04	1356.35
CBS_10086-39	1378.4	1366.1	2291.35
CRYAA_10087-10	317.21	323.15	322.05
