	temp41	temp81	temp42	temp1	temp43	temp82	temp83	temp2	temp3	temp44	temp4	temp84	temp85	temp45	temp5	temp86	temp6	temp87	temp88	temp46	temp47	temp89	temp48	temp49	temp90	temp50	temp91	temp51	temp92	temp52	temp53	temp7	temp93	temp54	temp8	temp55	temp94	temp9	temp10	temp56	temp11	temp95	temp57	temp12	temp96	temp13	temp97	temp14	temp58	temp15	temp59	temp60	temp61	temp16	temp98	temp62	temp99	temp17	temp63	temp18	temp19	temp64	temp20	temp21	temp65	temp100	temp22	temp101	temp102	temp103	temp23	temp66	temp67	temp24	temp104	temp25	temp26	temp27	temp28	temp29	temp105	temp106	temp107	temp30	temp108	temp68	temp69	temp31	temp109	temp32	temp70	temp33	temp110	temp34	temp111	temp71	temp35	temp112	temp113	temp72	temp114	temp36	temp115	temp73	temp74	temp75	temp76	temp77	temp116	temp78	temp117	temp37	temp38	temp118	temp119	temp39	temp120	temp40	temp79	temp80
acpa	1	2	1	0	1	2	2	0	0	1	0	2	2	1	0	2	0	2	2	1	1	2	1	1	2	1	2	1	2	1	1	0	2	1	0	1	2	0	0	1	0	2	1	0	2	0	2	0	1	0	1	1	1	0	2	1	2	0	1	0	0	1	0	0	1	2	0	2	2	2	0	1	1	0	2	0	0	0	0	0	2	2	2	0	2	1	1	0	2	0	1	0	2	0	2	1	0	2	2	1	2	0	2	1	1	1	1	1	2	1	2	0	0	2	2	0	2	0	1	1
sex	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1
age	58	55	62.7	41.01026694	59	61	49.4	63.00068446	59.9945243	65	44.78576318	75.1	47.9	69	63.00068446	63	48	62	67	53	47	75	55	35	56.4	43	58	69	65	61	64	42.35181383	65	46.4	64.99931554	51	42.3	56.35318275	59.98631075	65.6	75.98631075	32	63	65.00205339	65	75.00068446	63	47.92334018	35	67.35660507	72	64	35.1	62.00136893	62	49	63.6	61.99863108	62.7	49.37166324	61.00205339	58	55.01163587	58.00410678	58	67.4	55.00889802	63	55	65	60.99931554	67	66	62.99794661	60	64.99931554	69.99041752	66.00410678	69.08692676	70.48870637	66	48	63	65.00752909	70.5	45.6	60	62.99247091	55	31.99726215	60	55.00342231	41	64.00273785	61	55	63.58932238	76	69.1	66	60	39.67967146	44.8	56	52	35	59	74	40.1	48	64	67.00068446	40.08487337	39.7	70	75.10198494	56	55.99726215	59	67
bmi	26	39.7	29	47.8923	27.5	24.2	30.6	21.71	28.7801	31.4	21.2299	34.9	19.4	28.6	26.7382	25.2	29.79	28.4	37.5	30.2	29.4	58.2	19.7	19	22.6	27	33.9	23.3	27.3	35.3	25.1	39.6771	32.3	35.8	23.7481	31	31.7	38.3448	27.3212	26.4	26.79	25.5	39.1	26.97	41.6	28.93	39	51.558	26.7	34.03	28.9	31.1	25.2	33.3817	34.7	28.1	24	29.4141	18	25.2013	40.1407	25.3	21.16	23.72	43.5	21.8	42.905	29.2	24.6	56.5	26.8121	27.2	23.7	20.62	29.8	33.6142	28.03	31.3808	29.6951	35.67	29.4	23.9	26.5	22.235	32.1	27	26.6	23.465	26.7	39.7222	32.6	23.7152	30.1	48.2605	28.2	18.1	18.2901	28.2	34.2	28.9	34.8	33.2489	29.4	26.4	26.6	31.5	38.1	26.7	21.9	20.9	31.4	24.365	18.3236	28.2	23.7	35.04	26.5	24.785	24.1	19
smoking	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.5	0	0.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S-1-pyrroline-5-carboxylate	1.000730565	1.075228922	0.87411197	0.856514709	0.673851782	0.623611555	0.706008151	0.913129948	1.07588441	0.909690043	0.871110752	0.969163841	1.565657638	0.975708279	0.748760455	0.740447886	1.129136026	0.757322211	1.075639773	0.896653092	1.251070119	0.765539495	0.699553645	1.441072152	1.011724236	1.311920736	1.129124785	1.137121253	0.649556716	0.581276525	0.911083189	0.425891416	0.803295211	0.542772713	0.927291587	0.577673618	1.274432139	1.172545959	1.18258196	1.118481742	1.127233265	1.176153684	1.338142652	0.684845186	1.252995631	0.996809683	0.763993786	0.939498005	1.126217246	1.319680061	1.187782234	1.191773777	1.009757238	1.257116719	1.069471123	0.798580731	0.459714473	1.867901432	0.906269944	0.670937552	1.02984637	1.124053521	1.618405527	1.520430861	0.858757659	0.701051443	0.991169384	1.013279046	0.61207267	1.577879044	1.072403018	1.316921071	0.767749256	0.817792222	0.504458133	0.647809463	1.934176082	1.200777967	1.29485932	0.866995017	0.770352204	1.229974604	1.409669501	1.08309986	0.696722388	1.087811395	1.540020013	1.274274223	1.038937548	0.794119454	0.807715269	0.94508504	0.498421972	0.859316791	0.817802393	1.909529316	1.910994461	1.260709723	1.19481889	0.710630557	1.040586304	0.485844852	0.999269435	1.190166239	0.806803636	0.675270355	1.117466793	0.788411438	0.406361148	0.612476562	1.285560441	1.59266191	0.737894991	0.960733504	1.34007887	1.740677133	1.0637251	1.045299713	0.753616792	1.273659151
spermidine	0.973496923	0.378942578	1.443336398	0.755391358	0.652029171	0.634451411	0.52352273	0.565353044	0.688081015	0.739231622	0.883348349	1.072949138	0.992208732	2.500760349	1.661619563	0.819306954	1.690068838	1.404443881	1.249222538	0.673186678	0.988824159	1.87652093	0.795991423	0.906949704	1.167410983	1.03550147	2.818903654	0.797118997	1.113845203	1.221291262	0.415278397	0.849562753	0.824131749	1.189868114	0.538308842	1.351076977	1.328792821	0.801388794	1.053483455	1.21781789	1.294433725	0.379500352	0.675520451	0.85287795	1.010068616	1.332123743	0.66477566	0.78879863	1.374754181	1.148075724	0.875506206	1.191658912	1.091816347	0.849233453	1.198935881	0.472934523	1.080755206	2.37638588	0.521459057	1.522374806	1.069618216	0.654572919	1.341543935	0.907003354	0.528458526	1.465612229	0.722095086	0.458421285	1.481272466	0.645552326	1.979111668	0.780213712	1.085902827	0.959176085	1.873435133	1.901329409	1.322188326	1.925327588	1.314365608	3.243812218	0.496655203	1.163642536	1.043153988	2.093657095	1.818350504	0.865492164	1.373735757	0.875788331	0.782295885	0.554925528	1.971788449	0.648124749	1.456535212	0.883450099	1.215946616	1.210952546	2.052730505	1.638421507	0.750832037	0.907477879	0.495825479	1.410021626	1.008603418	0.589224499	1.014818487	0.928106286	0.499253526	0.842302434	0.705113026	1.180407222	1.023373805	0.748675864	1.007791268	0.556547977	1.631778163	0.885513772	0.798850596	0.856019247	0.688918139	1.118706999
1-methylnicotinamide	1.143010851	2.612110859	0.488907773	1.006490737	1.257332611	1.157886215	1.475001706	2.78425546	0.69236996	0.492969783	1.467101063	1.259779429	0.576738667	1.41131712	1.241586787	1.290059055	0.733667739	2.23677718	1.210724338	0.635823543	2.264376414	1.275991427	0.857853323	0.238822505	1.570918343	0.400943188	2.032873965	1.108169792	0.783590217	2.522543933	2.02662833	1.057059739	0.643943792	0.891707971	0.679422015	0.892878365	0.679510583	10.06688969	0.675026265	1.056493541	0.744063395	1.345111957	0.810486348	1.157709357	0.667331678	1.003410247	0.970888462	4.064157884	0.24053856	1.166745049	1.210876749	0.928768837	0.577462165	2.479841068	0.905688288	0.578355396	1.5286037	1.940891235	0.522712828	1.054016689	4.859465443	0.996589753	0.709068947	0.63387489	0.404164633	0.508608879	0.6520829	1.694869234	1.293720969	1.759241695	2.417470066	0.486758234	0.422120486	2.174843295	0.506900926	0.888654304	0.466533958	1.326422826	1.567966097	1.687777445	0.917488332	1.273013616	0.964459541	0.702729155	0.467564653	1.021397812	2.425891085	0.91036064	0.831099963	1.115015014	1.506174704	2.304358094	0.821508831	1.658376522	0.402696402	2.464314569	0.893846474	0.399136049	0.246487895	0.829991596	0.702742845	0.870700965	0.544246637	0.748784222	0.298414486	0.42309614	1.573219595	1.581097885	1.172730986	2.737847934	0.583599115	1.195998312	3.283884247	1.820841282	1.276063651	0.594128882	0.730774166	0.740391702	0.660138887	1.108302646
5-hydroxyindoleacetate	2.28263561	0.947600304	0.833579522	0.637864053	10.29149839	1.419769636	0.536121381	8.558423484	0.903064405	1.20921456	0.842954602	1.597452164	0.451199208	1.216352599	1.165754489	1.43845149	0.843501054	1.201922831	1.351070279	0.994509857	0.965530785	1.009298235	0.580571897	0.404426267	0.697581093	0.803217241	0.929806436	1.019424688	1.052536309	0.404426267	0.852141839	0.404426267	1.107745114	0.54035639	4.45225796	0.653642876	0.835304263	1.368232311	2.068972583	0.481885945	7.016402121	0.821130645	0.404426267	1.260871421	1.47238279	1.210170852	1.412307141	0.607587155	0.961500696	1.985450695	0.80979175	0.762130824	0.432722274	0.961432389	1.187031993	2.004508235	1.255321511	0.942579769	0.821147722	1.634610951	2.112125274	1.02980729	0.71619464	1.602763002	0.404426267	1.431330527	0.593959989	1.046747325	0.942733459	0.60949974	1.232131422	0.404426267	0.71853414	1.129910604	1.350950742	0.570547904	3.167342617	0.765751074	1.528428351	1.397091847	1.005490143	0.625739632	1.02374508	0.856564691	0.562146193	0.591671719	3.126409891	0.734073891	1.043314919	0.404426267	0.978611498	0.629820951	0.404426267	0.990701765	0.848487436	0.63747129	8.419180492	6.733493285	1.290909246	0.791878346	0.613034606	2.669319239	0.560831291	1.022925401	1.47269017	0.89514084	2.632416602	1.393147141	0.404426267	0.582347868	0.758920414	8.09074531	3.140925042	0.867784049	2.265371118	2.270818569	0.607809151	1.366251419	0.856035315	0.572033573
alpha-ketoglutarate	1.03534401	0.978234942	0.682594792	1.117573241	1.28006201	1.250007421	1.570569798	0.969595869	0.653757841	1.084979525	0.876608116	1.103240811	0.87207478	1.527473873	0.731399723	0.820522069	0.71501523	1.014919932	0.907125252	0.927763816	1.471020785	1.103493946	1.114410903	0.966670258	0.918657833	1.114845092	1.023101058	0.766214653	0.905354113	0.74687567	1.027354798	1.375449803	0.809121794	0.981165912	1.479703628	0.513179238	1.082698512	0.935342217	0.772128044	0.793097372	0.76557162	1.140413102	0.920779273	1.352845009	1.197730539	0.787321076	1.000593146	1.674679605	0.829252618	0.686460957	1.744357219	1.43651433	1.193202751	0.87504032	1.185216006	1.025192576	0.827074273	0.691521618	0.998748077	0.946506571	1.521728211	0.604832223	1.336242236	1.206432636	1.035268942	1.332368626	1.401321642	1.064888867	1.268367012	1.557959569	1.010250829	0.690084515	0.796046172	0.635546679	1.022447972	1.407993347	0.540194357	0.71326932	1.066338584	0.80557577	1.220175097	1.420380317	0.898172202	0.924809041	0.866332011	0.999406854	0.890850872	0.730035411	0.7827232	1.521464928	1.460495149	0.847723364	1.269081793	1.05839428	0.770797829	1.126612692	0.980785451	1.612586225	0.939696822	0.995281674	1.314698968	0.813687424	0.595066514	0.929711315	0.880889123	0.811786303	1.951786176	1.006024973	0.840466053	1.126714601	1.703780171	1.508059585	0.742665748	2.628941127	1.091470128	2.370624731	1.121474877	0.535377584	1.134583173	0.639890709
