	temp41	temp44	temp68	temp70	temp79	temp71	temp61	temp48	temp47	temp78	temp66	temp72	temp51	temp49	temp75	temp52	temp60	temp46	temp74	temp58	temp80	temp77	temp50	temp73	temp76	temp62	temp53	temp56	temp69	temp57	temp67	temp65	temp59	temp45	temp43	temp64	temp54	temp55	temp63	temp42	temp95	temp96	temp112	temp82	temp89	temp103	temp106	temp83	temp118	temp110	temp86	temp100	temp109	temp102	temp107	temp105	temp111	temp94	temp85	temp101	temp117	temp81	temp120	temp93	temp91	temp98	temp113	temp84	temp97	temp108	temp88	temp92	temp114	temp119	temp87	temp104	temp116	temp115	temp90	temp99
acpa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sex	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0
age	58	65	45.6	60	59	55	35.1	55	47	48	67	66	69	35	35	61	64	53	52	35	67	74	43	56	59	49	64	65.6	60	63	66	58	72	69	59	58	46.4	51	62.7	62.7	32	65	76	61	75	65	48	49.4	39.7	41	63	67.4	55	55	63	66	61	42.3	47.9	63	64	55	56	65	58	62	69.1	75.1	63	70.5	67	65	60	70	62	60	40.1	44.8	56.4	63.6
bmi	26	31.4	27	32.6	24.1	18.1	25.2	19.7	29.4	20.9	27.2	28.9	23.3	19	31.5	35.3	31.1	30.2	26.6	26.7	19	26.7	27	26.4	38.1	28.1	25.1	26.4	26.6	39.1	23.7	43.5	28.9	28.6	27.5	25.3	35.8	31	18	29	25.5	41.6	28.2	24.2	58.2	56.5	23.9	30.6	28.2	30.1	25.2	21.8	26.7	24.6	26.5	29.4	28.2	31.7	19.4	29.2	31.4	39.7	26.5	32.3	33.9	34.7	34.2	34.9	39	32.1	37.5	27.3	34.8	23.7	28.4	29.8	21.9	29.4	22.6	24
smoking	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
S-1-pyrroline-5-carboxylate	1.013409476	0.921215502	1.10159359	0.817948743	0.763164856	1.933722393	1.022550514	0.708416748	1.266920746	0.620236428	1.333606006	0.719634001	1.151528186	1.459330038	0.683825797	0.588641098	1.206873139	0.908013377	0.817025559	1.140486029	1.289795973	0.798400339	1.328542318	1.205245235	1.131624711	0.808698473	0.922626298	1.132652519	1.559531534	1.355096457	0.777476374	0.869637822	1.202831025	0.988070166	0.682389252	1.138294891	0.549649456	0.584992544	0.917752072	0.885186667	1.191055145	1.268870653	1.27668248	0.631512498	0.775238616	1.597870226	1.245557957	0.71495303	0.972905666	0.504736806	0.749829105	0.709933523	1.052100528	0.619827419	1.427529526	0.7801123	0.828163666	1.290578754	1.585493979	1.026116941	1.301848048	1.088851701	1.07720213	0.813472684	1.143430406	1.083020952	1.209956833	0.981442812	0.773673323	0.70554962	1.089267757	0.657786375	1.053770173	1.357057206	0.766917222	0.510849443	0.411509603	1.011929834	1.024542433	0.465538897
spermidine	0.973101771	0.73893156	0.865140853	1.970988081	0.688638501	1.210461008	1.091373168	0.795668323	0.988422786	1.179928083	0.779897015	0.907109524	0.796795439	0.906581564	0.927729559	1.220795528	1.191175206	0.672913425	1.014406563	1.374196155	1.118252905	0.841960535	1.03508115	0.588985327	0.499050874	0.472742554	0.415109831	1.217323566	1.373178144	0.67524625	1.085462048	0.528244019	0.875150829	2.499745266	0.651764506	0.654307221	1.189385134	1.350528561	0.521247391	1.442750534	0.37934631	1.00965862	1.637756456	0.634193881	1.875759232	0.64529029	1.163170202	0.523310227	0.556322069	1.45594399	0.818974389	1.465017323	0.781978343	1.480671203	1.042730562	0.496453606	1.215453052	1.32825345	0.991805984	0.458235208	1.022958408	0.378788761	0.798526335	0.823797226	2.817759433	1.198449221	0.750527267	1.072513617	0.664505821	1.817612418	1.248715466	1.113393083	0.495624218	1.631115808	1.403873804	1.872674687	0.704826813	1.008194016	1.166937119	1.080316517
1-methylnicotinamide	1.238192458	0.534020711	1.106452372	1.631597947	0.715110438	2.669524713	0.625549002	0.929289091	2.452937166	2.96583594	0.527291909	0.899107243	1.20045009	0.258709901	0.4583285	2.732602993	1.006109932	0.68877029	0.323264268	0.260568856	1.200594006	1.712760185	0.434330812	0.811137511	1.704225848	0.626516615	2.195391155	1.144470617	2.627901601	0.87797774	0.457271601	0.437820515	1.311709733	1.528841316	1.362034101	1.079578478	0.965962907	0.967230762	0.56624054	0.529620446	1.457123069	0.722902192	0.432373188	1.254306534	1.382246686	1.905738512	1.379020905	1.59782909	1.972467663	0.889918094	1.397485764	0.550962116	0.900307907	1.401452616	1.044772698	0.993890068	0.436230022	0.736095269	0.624765257	1.836005582	0.632196993	2.829628399	0.791627708	0.697566734	2.202156882	0.981107403	0.267013609	1.364684671	1.051736971	0.506500027	1.31154463	0.848841894	0.761262144	1.382324925	2.423039669	0.549111938	1.270387468	0.589567527	1.701732965	1.655894667
5-hydroxyindoleacetate	2.391319904	1.266789509	0.619843286	1.025206626	0.896794161	0.667823536	0.4533257	0.608214963	1.011503095	0.610075495	0.423682422	0.829582454	1.067963076	0.423682422	0.937761637	0.423682422	0.798418548	1.041861963	1.542810118	1.007281119	0.599270099	1.459479767	0.841461233	1.07163047	2.757755197	2.099949909	0.892715303	0.504830226	3.27526924	0.423682422	0.752746073	0.423682422	0.848348778	1.274267416	10.78151276	1.07884003	0.566084654	0.684765108	0.860245447	0.873269169	0.860227557	1.542488103	7.054098537	1.487369852	1.057354467	0.638520162	0.655533293	0.561648002	0.909102293	0.423682422	1.506941214	1.499481198	1.092990805	0.987620308	1.072489177	1.053365058	0.888886901	0.875076031	0.472682386	1.09658664	0.795055279	0.992718881	0.636749079	1.160488747	0.974077785	1.243550753	1.352373967	1.673512469	1.479552041	0.588911947	1.415399478	1.102651258	0.642223335	2.373233389	1.259150596	1.41527425	0.423682422	0.587534438	0.730795377	1.315091774
alpha-ketoglutarate	1.012289605	1.060819867	0.977152676	1.427973739	1.109318971	1.101525972	1.166633245	1.089595885	1.438264997	1.101625612	0.674718137	0.973119352	0.749153055	0.945145038	0.793709944	0.730244701	1.404526911	0.907104941	0.861274025	0.81078733	0.625642015	0.983623427	1.090020406	0.909009074	1.908325	1.002364217	1.004478292	0.775437166	0.871013952	0.900275925	0.778320304	1.012216209	1.705514943	1.493461022	1.251558375	0.59136419	0.959317912	0.501752078	0.976508568	0.66739519	1.115019083	1.17106021	1.576678145	1.222173023	1.07892202	1.523267881	1.38875216	1.535597314	2.570401479	1.240822659	0.802251187	1.302700259	0.765294	1.240123794	0.878172255	1.193004986	0.753634176	1.058589646	0.852655954	1.041176575	1.66584144	0.956452207	1.096502563	0.791104767	1.000319272	1.158824343	0.91877223	1.078674522	0.978312552	0.847041062	0.886925944	0.885194244	1.285424058	1.067165941	0.992320318	0.999680728	0.821751071	0.581815938	0.898201724	0.80865749
kynurenate	0.741799212	0.377076816	0.99221006	1.325119352	1.006772019	1.344085242	1.267881631	0.488689145	1.210115439	1.103878135	1.2616916	0.918833884	1.128905841	0.899224685	1.406240872	1.333062036	1.148397973	1.119417878	0.522390922	0.508468926	0.745612236	1.317439789	0.597146253	1.701678845	1.757907564	0.840602235	0.990378247	0.603856951	0.798852971	1.041876364	1.317352825	0.580562945	0.865971106	1.492595822	1.268649811	1.036210345	0.605562778	0.858643857	0.67760774	0.962815216	1.136776055	1.243299893	0.881053732	1.084548781	0.735211155	1.190798349	0.706080546	0.593407929	0.308270693	1.408717107	1.123617779	1.137502982	0.810965453	0.411851145	1.057320225	1.771437109	0.930284104	1.015681338	0.556746041	1.034929303	0.647857237	0.559391745	0.893026849	1.001041335	1.590646274	0.680105159	1.20678852	1.768204958	0.580179413	1.114274756	1.05642829	1.443698811	0.484879466	0.987413677	1.558304698	1.082648959	0.998958665	0.859125502	0.704704736	0.67940053
3-hydroxyisobutyrate	0.850705473	0.495644586	1.529955626	1.842944287	1.127314369	1.912035449	1.365058397	1.255289931	1.346072945	1.189330048	0.816910976	0.852295197	1.995772872	1.344823947	1.07590795	1	0.87469556	1.394060062	0.748473498	0.741414023	0.677009295	0.765166665	1.007392551	1.494372779	0.613935737	0.686131544	0.715522103	0.9614896	1.048806984	1.038091328	0.857151216	0.633435183	1.208582981	1.362073042	0.437946849	0.526111302	2.628740247	0.658385395	0.68358127	0.973596921	1.808874942	1.0036865	2.332794405	1.086991392	0.882406169	0.990397618	0.712501897	0.615768715	1.300218306	2.10069892	0.951011673	3.280664173	0.842120169	1.490016302	1.249462312	1.06348838	0.908925421	0.991293281	0.546064671	0.884959135	1.056165533	0.482616102	0.72084678	0.436664415	1.919993137	0.980834622	2.346958407	1.53994067	0.739581469	1.819478676	0.956888311	2.457683882	1.07266404	1.490227113	1.673875466	1.273836477	0.436664415	0.685756533	0.826816257	0.9210309
