	temp41	temp66	temp80	temp67	temp44	temp72	temp77	temp65	temp68	temp51	temp50	temp59	temp70	temp49	temp73	temp45	temp79	temp75	temp76	temp43	temp71	temp52	temp62	temp64	temp61	temp60	temp53	temp54	temp48	temp46	temp56	temp55	temp47	temp74	temp69	temp63	temp78	temp58	temp57	temp42	temp95	temp86	temp117	temp88	temp96	temp100	temp81	temp92	temp112	temp109	temp120	temp114	temp82	temp102	temp93	temp119	temp89	temp107	temp91	temp87	temp103	temp105	temp98	temp104	temp106	temp111	temp113	temp116	temp83	temp94	temp84	temp115	temp118	temp85	temp97	temp90	temp110	temp101	temp108	temp99
A1BG	957.190625	1087.194792	1059.995833	946.6083333	1164.33125	1076.695833	901.1020833	616.6125	976.3322917	988.0645833	1117.051042	936.4947917	1012.56875	962.89375	865.2072917	934.1270833	904.7708333	937.9208333	1037.745833	1043.840625	880.6291667	1076.695833	1154.842708	1204.104167	1143.078125	1047.365625	1019.830208	807.2541667	817.80625	1008.31875	1040.778125	1171.14375	1040.525521	1117.436979	1353.41875	980.7229167	1017.115625	1117.822917	1270.979687	1014.817708	880.6291667	1045.78125	872.871875	906.5598958	1214.954167	909.203125	839.0833333	897.8244792	924.5822917	922.7567708	985.7239583	1050.682292	1101.996354	927.9677083	923.8291667	1146.810417	942.2677083	996.0760417	1218.715625	968.7505208	983.4	909.990625	1102.372917	901.4885417	1252.030729	1135.823958	1044.869271	1031.05625	1033.402604	1042.736458	1017.115625	1143.078125	1062.097917	864.478125	1192.479167	1281.031771	994.2755208	1754.640625	837.4598958	892.25625
AAK1	2161.422917	2418.395833	2593.919792	2186.60625	2262.364583	2609.439583	1971.361458	2372.05625	2306.648958	1952.234375	2036.686458	2074.320833	2036.686458	1966.040625	2887.954167	2120.44375	1995.525	2387.96875	2286.641667	2369.910417	1881.528125	2072.985417	1869.754167	2934.963542	2117.261458	4423.341667	2181.934375	2066.098958	2046.71875	2001.130208	1901.526042	2175.155208	1907.457292	2602.316667	2059.81875	2517.0125	1946.74375	4706.453125	3205.919792	2362.635417	2114.021875	2052.628125	1955.007292	1906.251562	1863.805208	1978.557292	1786.840625	2272.735417	1931.559375	2200.519792	2043.139583	2316.992708	2114.021875	2001.130208	1778.676042	2194.622917	1876.69375	2059.81875	2374.7625	1784.383333	1958.911979	1859.5375	2358.21875	1876.69375	2333.828125	2898.5625	2405.603125	2157.357292	2244.439583	2523.433333	3600.286458	2181.934375	3416.659375	2223.540625	2887.954167	2436.109375	2074.320833	2204.5375	1850.329167	2147.052083
AARS	1061.297917	1177.354167	1146.810417	1236.885417	1194.470833	989.6041667	1000.426563	1161.365625	1288.182292	1028.008333	1283.685417	1194.470833	1268.285417	1186.7375	1219.34375	1170.034896	1127.626042	1249.080208	1231.921875	927.5817708	1000.798958	1196.880208	1310.23125	1186.309375	1179.98125	1199.710417	1251.061458	1003.56875	1138.696875	1021.240625	1037.139583	1436.203125	1205.084375	1170.419792	1210.763542	1110.977083	1205.084375	1206.770833	1350.019792	1091.535417	1124.651042	1019.507292	956.1958333	1086.865625	1085.11875	1100.13125	1205.815625	1239.704167	1115.4375	1126.310937	1211.672917	1029.902083	1273.494792	1249.080208	955.8098958	1194.804687	976.8104167	1164.971875	1124.28125	1176.7	1096.89375	1095.482292	1187.165625	1104.115104	1200.298958	1170.419792	1196.016667	1128.344792	1099.120833	1265.646875	1253.659375	1201.6125	1305.383333	1062.097917	1208.740625	1198.672396	1034.016146	1165.710417	991.3364583	1004.44375
ABCF1	1335.935417	1576.784375	1028.290104	1111.884896	1037.745833	964.8916667	1208.740625	911.7291667	1362.476042	932.6395833	982.6177083	1120.503125	1199.710417	1433.382292	1108.83125	1053.0625	1034.329167	1154.441146	1501.072917	1095.850521	962.2229167	1084.080729	1084.441667	1070.444792	1147.155729	1168.642708	1381.716667	864.8427083	1176.001042	912.8510417	991.70625	1204.752083	1136.436458	1091.83125	1035.033333	1010.859375	1238.038542	1102.916667	1069.346875	984.0989583	1214.067708	908.7614583	952.434375	978.90625	1120.875	1033.102083	1074.813542	1184.326042	945.8385417	1140.063542	1069.346875	1009.833333	1105.208333	1445.594792	943.1994792	1005.599479	931.2270833	1033.402604	977.1734375	1079.565625	979.8276042	1035.353646	1110.263542	973.0458333	1043.3125	1091.239583	1075.763542	1015.189583	1077.235417	1056.353125	1172.494792	1114.285417	1159.808333	1055.935417	1097.557292	1113.991146	952.434375	1305.383333	913.2	963.2104167
ABCF3	1962.79375	1454.201042	1638.06875	1690.434896	1205.45	1753.194792	1589.706771	895.2958333	1615.63125	1408.6375	1545.48125	1866.940625	1738.678125	1346.81875	2036.686458	1433.845313	1782.334375	1523.560417	1575.166667	1520.399479	1516.455208	1714.73125	1647.360417	1282.3625	1704.65625	3268.55	1348.134375	1555.209375	3350.270833	1712.040625	1129.976042	1259.09375	1600.509896	1101.178125	1154.842708	1269.240625	1872.083333	1234.5625	1147.501042	1246.760417	1848.34375	1407.260938	1250.232292	1691.782292	1244.821354	1157.691667	1390.460938	1670.469792	1598.770833	2235.569792	1494.032292	1453.341667	1507.448958	1553.861458	1281.479167	1622.278125	1309.760937	1267.833854	1826.153125	1380.982292	1288.182292	1439.33125	1397.697917	1475.108333	1691.032292	1174.978125	1167.864583	2372.05625	2411.509375	1176.001042	1090.943229	1185.152083	1256.707292	1623.469792	1434.308333	1317.385417	1320.483333	1284.547396	1333.148958	1430.29375
ABI1	798.303125	797.7489583	817.34375	887.9791667	778.0260417	781.9760417	731.2114583	1511.194792	763.9989583	886.0786458	747.2583333	722.0645833	740.9489583	738.0479167	985.7239583	792.4239583	712.7166667	917.2770833	779.1197917	1037.745833	984.853125	823.746875	776.8125	803.746875	851.328125	796.08125	1020.8625	690.8	805.4765625	830.765625	751.1166667	844.4666667	787.1020833	752.29375	725.1229167	848.78125	818.6322917	762.9104167	760.2895833	742.4333333	718.7869792	722.7177083	819.6614583	802.6833333	742.4333333	771.9	637.3005208	759.6494792	790.9661458	740.9489583	970.8640625	849.971875	867.084375	1036.39375	892.25625	817.80625	962.2229167	759.009375	786.1572917	778.0260417	779.1197917	702.690625	581.7385417	742.4333333	835.0697917	784.984375	825.875	849.453125	804.984375	791.4989583	984.853125	831.6854167	763.9989583	702.690625	763.4546875	719.6052083	797.1947917	952.434375	831.6854167	943.54375
ABL2	2282.908333	1995.525	2062.210417	2204.5375	1815.029167	1638.06875	1812.895833	2282.908333	1859.5375	1484.992708	1759.84375	1923.191667	1940.678125	1901.526042	2135.859375	2462.621875	1960.219792	2067.247917	1465.222917	1791.256771	1378.689583	2316.992708	1630.225	2405.603125	2091.064583	1925.340625	1668.998958	1993.096875	2175.155208	1617.029167	1957.604167	1753.194792	1895.855208	1990.40625	2227.91875	2306.648958	2003.884375	2244.439583	2443.7125	1795.904167	1484.992708	1676.603646	1356.00625	1644.81875	2052.628125	1535.383333	2239.641667	2564.9875	1659.976042	2231.388542	1792.2	1703.066667	2064.95	1749.715625	1795.904167	1682.4875	1610.353125	1630.225	2105.175	1889.126563	1836.525	1599.954167	2019.688542	1754.640625	2272.735417	2157.357292	1558.859375	1914.729167	1962.79375	2333.828125	2040.202083	1610.353125	1701.730208	2059.81875	2443.7125	2809.375	1567.867708	1538.561458	1571.670833	1347.246875
ABT1	1628.666667	1410.290625	1341.645312	1590.617708	1607.8125	1610.353125	1522.026042	1252.030729	1465.876042	1296.009375	1460.003125	1719.108333	1757.573958	1609.383333	1385.760417	1385.405208	1802.146875	1553.0375	1174.3125	1452.39375	1252.888542	1449.711458	1429.191667	1318.117708	1532.772917	1691.032292	1284.976042	1772.467708	1785.721875	1544.3875	1663.00625	1338.402083	1509.323958	1586.530208	2161.422917	1550.578125	1689.8375	1588.243229	1581.213542	1414.595313	1409.4375	1506.222917	1388.080208	1490.519792	2127.011458	1738.678125	1800.85	1467.758333	1405.027083	1518.716667	1604.507292	1457.459896	1569.480729	1663.00625	1410.686979	1526.686979	1435.707813	1365.476042	1674.307292	1451.010417	1497.422917	1375.178125	1635.711458	1620.089063	1552.166667	1505.069792	1238.038542	1388.539583	1688.55	1638.06875	2143.128125	1410.290625	1461.116667	1861.819792	1553.0375	1714.73125	1344.564583	2071.65	1460.559896	1271.338542
ACAT2	987.2385417	1116.320833	1217.491146	997.2625	1357.786458	1259.41875	1239.411458	1211.960417	1112.217708	2551.177083	1150.436458	923.8291667	947.9239583	1017.78125	1002.833333	1120.875	1183.963542	1034.68125	798.303125	857.9739583	2839.166667	870.3166667	1108.085417	1033.703125	1030.58125	912.5020833	950.9291667	1607.8125	932.6395833	1704.65625	1431.396875	1020.8625	984.0989583	1420.995833	996.41875	1158.202083	1003.56875	1029.902083	959.5166667	1311.645833	1427.239583	1052.771875	2036.686458	1465.876042	1082.096875	1255.114583	1102.916667	1004.44375	1516.455208	941.8541667	1369.582292	793.7625	975.4260417	998.403125	1603.820313	1104.115104	1915.890104	1434.760417	1092.46875	932.6395833	1035.033333	1107.303125	1065.580208	894.4567708	959.5166667	900.715625	1543.123958	1085.494792	1181.622917	1001.955208	1160.210417	1398.45	1102.372917	900.715625	962.5583333	1035.033333	2231.388542	1035.033333	1353.786979	2819.285417
ACPP	471.3458333	611.9125	709.4260417	547.4125	618.5520833	728.14375	638.7135417	417.7354167	494.7541667	665.9854167	681.8364583	616.6125	467.6208333	529.4760417	600.4484375	524.5041667	597.1895833	489.8489583	729.4729167	590.1354167	643.790625	570.8854167	706.3083333	616.6125	520.0416667	570.8854167	499.290625	701.2166667	489.8489583	885.71875	698.1385417	584.9302083	520.0416667	690.8	799.96875	609.5260417	463.075	611.9125	664.9645833	688.7229167	621.6505208	635.8875	760.9177083	719.6052083	728.14375	616.6125	511.215625	579.509375	976.5713542	547.4125	611.9125	544.1635417	520.0416667	520.0416667	1138.696875	631.875	890.9953125	599.2052083	789.8833333	550.4322917	675.16875	624.9791667	708.028125	587.234375	597.1895833	584.9302083	550.4322917	631.875	611.9125	604.321875	660.34375	753.5229167	544.1635417	534.7739583	614.2916667	679.8802083	618.5520833	656.596875	646.7739583	816.88125
