	temp41	temp95	temp66	temp86	temp80	temp117	temp88	temp96	temp67	temp44	temp72	temp100	temp81	temp77	temp65	temp68	temp92	temp51	temp112	temp50	temp109	temp120	temp114	temp59	temp70	temp82	temp102	temp49	temp93	temp22	temp119	temp32	temp36	temp73	temp29	temp37	temp24	temp26	temp45	temp89	temp107	temp79	temp91	temp75	temp2	temp87	temp39	temp76	temp43	temp71	temp103	temp1	temp10	temp11	temp25	temp105	temp19	temp52	temp62	temp28	temp15	temp20	temp13	temp98	temp64	temp61	temp9	temp38	temp21	temp31	temp16	temp104	temp27	temp4	temp7	temp8	temp60	temp53	temp23	temp106	temp111	temp113	temp33	temp116	temp54	temp30	temp3	temp83	temp94	temp84	temp48	temp14	temp6	temp46	temp56	temp55	temp17	temp47	temp18	temp74	temp5	temp12	temp115	temp118	temp85	temp97	temp69	temp63	temp90	temp35	temp110	temp34	temp101	temp108	temp78	temp58	temp99	temp40	temp57	temp42
A1BG	956.4065972	878.8625	1091.311806	1048.365972	1063.059028	871.1298611	905.1229167	1224.071528	945.7520833	1170.854861	1080.404167	907.83125	837.53125	899.4427083	615.9222222	976.0361111	896.1927083	988.5944444	923.2201389	1122.202778	921.31875	986.1590278	1053.569444	935.1840278	1013.7	1106.767014	926.5166667	962.2104167	922.4645833	1341.515278	1152.624306	940.4319444	1069.236111	863.5652778	784.8965278	929.7854167	1003.840972	1061.498611	932.8041667	941.2048611	996.7243056	903.39375	1227.803472	936.7305556	1124.528472	968.2868056	815.1597222	1039.847222	1046.377083	878.8625	983.7472222	1035.665278	1407.034722	1002.970833	860.64375	908.5923611	968.6520833	1080.404167	1160.761806	1098.154167	1105.213889	926.5166667	926.5166667	1107.113194	1212.707986	1148.775	914.2194444	1120.06875	1068.270139	1192.251389	955.7163194	899.8916667	982.1041667	1067.577083	1158.854514	955.7163194	1049.939583	1021.084028	956.0743056	1264.126042	1141.202778	1047.387847	1029.386806	1032.813194	805.6361111	1239.988889	1149.516667	1035.334375	1045.065972	1018.122917	816.1652778	1300.877778	826.2715278	1009.423611	1043.125	1177.892361	1124.151736	1042.833681	874.6840278	1122.611458	1106.767014	954.1642361	1148.775	1065.223611	862.81875	1200.166319	1372.59375	980.8548611	1295.773611	1039.847222	995.0993056	1189.858333	1839.097917	836.0524306	1018.122917	1123.020139	890.6493056	1156.411806	1284.732986	1015.992361
AAK1	2326.303472	2267.042361	2637.044444	2190.839583	2853.759028	2076.204167	2020.157292	1967.660417	2359.739583	2448.910417	2875.146528	2104.783333	1877.855903	2096.455556	2582.902778	2497.549306	2460.55	2071.98125	2047.775	2171.170139	2374.902778	2179.100694	2510.247917	2217.049306	2171.170139	2267.042361	2133.792361	2088.897917	1868.145139	12626.74375	2368.494444	2085.495833	2524.470833	3197.011111	1951.4875	3132.699306	2129.21875	2024.238889	2275.758333	1985.352778	2198.120833	2126.128472	2586.584375	2603.20625	2057.808333	1874.9375	1960.313194	2475.74375	2580.622917	1991.53125	2080.472569	2938.628472	1691.70625	2889.862153	2035.975694	1962.774306	2126.128472	2215.546181	1975.645833	2629.045833	2387.194444	29322.6125	1892.165278	2566.295833	3253.596528	2270.904861	1889.386806	3594.265278	2811.550694	2377.306597	1911.23125	1985.352778	4969.359028	2405.94375	2349.677083	2088.897917	4969.359028	2349.677083	2174.768056	2533	3212.641667	2621.852083	2303.142361	2322.140278	2207.726389	3120.464583	2618.661458	2426.465972	2770.623611	4045.272222	2183.335417	2471.393056	1936.867361	2133.792361	2014.145139	2338.838889	2751.035417	2021.350694	1996.402778	2863.646528	2700.159028	2210.207639	2349.677083	3835.045833	2401.295833	3197.011111	2198.120833	2764.782639	2659.577778	2118.251389	2217.049306	2938.628472	2379.710417	1951.4875	2065.257639	5255.265972	2309.614583	2436.951389	3594.265278	2573.625694
AARS	1064.409028	1129.822569	1184.8375	1020.76875	1152.624306	955.3583333	1090.957639	1089.242361	1246.936111	1202.130556	990.1381944	1104.895139	1214.445833	1001.220833	1167.648611	1303.411806	1249.999653	1029.386806	1120.442708	1298.463889	1131.448958	1220.713889	1031.377778	1202.130556	1281.877083	1287.48125	1260.820833	1194.306597	954.9677083	1232.986111	1202.524306	1205.860764	1189.858333	1228.5125	961.5402778	1278.247917	1213.066667	1256.061806	1176.638889	976.7784722	1171.556944	1132.685417	1129.48125	1260.820833	1195.191319	1184.1	950.1861111	1241.354167	926.1166667	1001.6	1101.702083	1184.8375	1103.202083	1092.26875	947.9069444	1100.252778	1214.926042	1204.7125	1326.075694	1091.9125	1206.217361	1052.455556	1035.665278	1194.794444	1193.81875	1187.470833	988.5944444	972.7847222	1213.066667	1285.871528	991.6194445	1108.965972	1250.354167	1253.386111	1338.53125	960.0729167	1207.711806	1263.057639	1070.970139	1208.355556	1177.061111	1203.870139	1021.084028	1133.452778	1004.589583	1291.247222	1107.113194	1103.960417	1278.935417	1266.065972	1144.01875	1252.561111	1052.845139	1022.523611	1039.059028	1462.66875	1171.556944	1213.646528	830.5746528	1177.061111	1147.93125	1086.233333	1209.985417	1320.567361	1065.223611	1217.477083	1219.788194	1115.945139	1206.534722	1193.047917	1036.018056	1173.104861	1172.197222	991.9836806	1213.646528	1215.40625	1005.405556	1295.311111	1368.895833	1096.303125
ABCF1	1354.126389	1223.153472	1623.089583	907.4118056	1029.686458	951.5923611	978.8916667	1125.977083	1116.881597	1039.847222	964.1451389	1035.003472	1078.51875	1217.477083	910.325	1382.176389	1191.926042	931.2458333	945.0131944	982.9090278	1145.554167	1072.781944	1010.868056	1125.644792	1207.711806	1110.155556	1472.771528	1459.55625	942.1708333	1024.060417	1006.588542	1027.1125	1154.070139	1113.765278	961.5402778	1023.295486	1074.217708	1090.957639	1056.13125	929.7854167	1035.334375	1036.370833	977.1597222	1160.383681	981.1961806	1083.334722	937.4555556	1536.794444	1100.673611	961.5402778	979.9024306	1243.445139	1128.390625	1032.813194	884.7173611	1037.342014	1361.908333	1088.258333	1088.598611	1002.209722	1195.191319	974.8055556	1092.26875	1115.2875	1073.872917	1153.001389	1033.890972	1059.339583	1181.969097	1289.493056	981.8208333	972.7847222	1058.918403	1304.272917	1228.5125	813.659375	1175.322222	1402.973611	1105.532639	1045.758333	1095.984028	1079.534028	972.7847222	1016.305208	863.1920139	1066.679167	1020.103472	1080.955556	1059.339583	1179.338194	1183.2125	1087.084028	990.8791667	911.3746528	992.3479167	1213.356597	1076.045833	1141.875694	888.0909722	1096.622222	1070.297222	978.1722222	1119.356944	1166.145833	1058.918403	1102.397222	1037.042361	1011.850347	1119.022917	975.1354167	951.5923611	1118.256597	1320.567361	911.7145833	1248.1	1107.697222	962.4916667	1111.711111	1072.781944	984.5201389
ABCF3	2085.495833	1948.35625	1483.005556	1431.043056	1697.314583	1262.192361	1761.255903	1255.549306	1759.402778	1214.046181	1837.2125	1163.851389	1412.806597	1638.565278	893.6517361	1671.065972	1734.652778	1432.336111	1649.272222	1588.340278	2415.577778	1528.025694	1481.845833	1971.647222	1817.764583	1543.861806	1597.615972	1365.604861	1296.236111	1402.973611	1678.244444	1248.859028	1489.3125	2171.170139	1684.357639	1237.564236	1434.366667	6560.454861	1460.103472	1325.534028	1281.453472	1872.831944	1923.234028	1562.593403	7463.213194	1401.967361	1618.291667	1620.928472	1558.6875	1554.080556	1303.411806	1330.030556	1237.564236	1376.506944	1581.138889	1466.347222	1991.53125	1789.829167	1707.802083	1105.976736	1667.036806	1341.515278	1326.075694	1420.238194	1297.06875	1778.395833	1485.954861	1548.309722	1402.470486	1566.911111	1150.361111	1506.749306	1452.704861	2104.783333	1564.546528	1430.600694	3673.061111	1366.920833	2096.455556	1760.486111	1181.969097	1174.565972	1258.359722	2582.902778	1599.172917	1126.311458	1129.48125	2629.045833	1183.2125	1095.598958	3756.934722	1260.292361	1302.570139	1787.025694	1135.079861	1272.079167	1446.306944	1651.642014	1431.485417	1105.976736	1225.494444	1213.646528	1192.649653	1269.138194	1679.682639	1460.650694	1160.761806	1282.85625	1333.976389	1427.688194	1337.686806	1096.622222	1299.503472	1351.070139	1978.222222	1244.336458	1456.443056	1102.397222	1153.378472	1257.934722
ABI1	796.7368056	717.0135417	796.1673611	721.0979167	815.6625	818.0625	801.2305556	740.8236111	886.3256944	776.3493056	780.3864583	770.2798611	637.1253472	729.4701389	1548.309722	762.7847222	758.4826389	884.328125	789.2940972	745.9125	739.2298611	970.5270833	848.7121528	720.3791667	739.2298611	865.4173611	1038.328472	736.4729167	890.6493056	798.8576389	816.1652778	735.1173611	769.0694444	986.1590278	933.5625	756.0159722	780.3864583	721.8166667	790.9173611	961.5402778	757.8555556	711.0541667	784.4194444	915.7083333	790.9173611	776.3493056	961.5402778	777.4944444	1039.847222	985.2993056	777.4944444	1335.651389	682.5131944	811.1958333	1047.055556	701.3055556	708.7690972	822.3354167	775.1215278	759.6927083	790.9173611	1487.005556	674.6298611	581.4090278	802.2145833	850.0020833	753.8319444	849.21875	781.4732639	740.8236111	757.8555556	740.8236111	802.2145833	836.5875	786.63125	769.0694444	794.5569444	1022.151389	709.5805556	833.6479167	783.2263889	824.4673611	841.2409722	848.2055556	689.6722222	771.6784722	789.2940972	803.3722222	789.8576389	985.2993056	803.8902778	755.3576389	855.3041667	829.1833333	750.0847222	842.9826389	828.0743056	785.3736111	1080.955556	751.1993056	708.7690972	814.2125	830.1111111	762.7847222	701.3055556	762.2465278	723.50625	847.4833333	717.7972222	806.8777778	795.5979167	699.7388889	951.5923611	830.1111111	817.0236111	761.7083333	942.5631944	720.3791667	759.1097222	740.8236111
ABL2	2471.393056	1517.280556	2126.128472	1742.253819	2201.846528	1375.530556	1705.025	2190.839583	2379.710417	1911.23125	1697.314583	1577.405556	2420.4625	1908.702083	2471.393056	1962.774306	2821.086806	1517.280556	1723.075694	1845.533333	2410.031944	1883.2375	1776.2375	2039.274306	2057.808333	2205.245139	1832.70625	2014.145139	1887.204861	2063.460069	1748.381944	2102.500694	1794.763889	2293.738889	1433.958333	2533	2003.586111	2875.146528	2691.989583	1663.618056	1688.035417	2081.752778	2256.337847	2210.207639	1703.213889	1999.94375	2057.808333	1494.914583	1882.207639	1399.425	1935.085417	1828.538889	2833.756597	1864.658333	1386.201389	1651.038194	2190.839583	2510.247917	1688.035417	1678.963542	2342.884028	1855.973611	1712.698611	2154.058333	2621.852083	2239.164583	1542.555556	1596.253819	1673.363194	2767.703125	1534.645139	1839.097917	2071.98125	2190.839583	2217.049306	1536.269792	2041.5625	1732.976389	1787.025694	2460.55	2322.140278	1602.95625	1667.036806	2030.25	2122.360417	1838.155208	2566.295833	2085.495833	2533	2174.768056	2338.838889	2273.331597	1540.157639	1673.363194	2079.192361	1837.2125	2460.55	2008.127083	1209.985417	2118.251389	2196.598264	1723.075694	1663.618056	1774.568056	2198.120833	2666.783333	2405.94375	2497.549306	3107.96875	2364.166667	1613.326389	2317.559722	1581.138889	1616.970139	2136.594444	2426.465972	1366.033333	2044.694444	2666.783333	1887.204861
ABT1	1685.648611	1433.55	1434.366667	1542.555556	1359.961111	1410.35625	1524.060069	2283.518056	1639.431944	1660.747917	1663.618056	1817.764583	1894.533333	1560.470139	1264.126042	1495.729167	1498.182639	1311.322917	1428.501389	1489.3125	1556.761806	1657.120833	1486.480208	1794.763889	1843.481944	1614.895833	1725.961111	1662.535417	1434.876736	1447.541319	1566.351042	1495.729167	1711.160417	1407.629167	1404.978472	1769.736111	1591.16875	1788.825694	1407.034722	1462.132986	1385.580208	1897.133333	1738.640278	1596.711111	1612.393056	1479.35625	1654.228472	1181.237153	1480.861111	1265.331944	1532.336111	1776.2375	1514.675	1631.974306	1221.014583	1395.859028	1835.257639	1477.656944	1455.334028	1943.941667	1498.182639	1451.775694	1491.816667	1694.436806	1334.71875	1573.798611	1411.297222	1353.311111	1993.648611	1625.213194	1503.383333	1676.046875	1641.202083	1930.582639	1700.356944	1556.761806	1760.486111	1299.969444	1620.928472	1595.796528	1541.376389	1248.1	1409.257639	1410.826736	1860.964583	1928.340972	1798.141667	1756.760417	1697.314583	2305.170833	1876.716667	1540.157639	1475.421528	1587.178472	1725.961111	1356.647222	1605.773611	1545.982639	1405.913194	1634.709722	1696.554861	2334.9875	1434.366667	1490.556944	1965.440278	1596.711111	2326.303472	1594.25625	1789.829167	1596.711111	1363.229861	1584.338889	2214.043056	1489.934722	1758.319444	1636.939931	1285.0875	1570.5125	1629.119444	1439.014583
ACAT2	987.8	1453.160069	1121.425694	1055.789583	1226.687153	2171.170139	1495.729167	1086.233333	997.96875	1377.351389	1272.414236	1267.461806	1107.697222	1249.645139	1221.014583	1117.248611	1005.405556	2804.765972	1554.080556	1156.411806	940.8184028	1389.800694	792.1833333	922.4645833	947.2166667	975.1354167	999.1107639	1018.926389	1655.674653	907.4118056	1108.965972	978.1722222	1082.484722	1003.840972	2597.250694	922.8423611	998.7555556	979.5986111	1125.977083	2031.582639	1461.123958	1191.600694	1097.281944	1036.706597	1095.213889	931.2458333	1088.920486	796.7368056	856.565625	3143.45625	1037.042361	1047.720139	1191.600694	1022.151389	2790.145139	1112.304167	987.8	868.6263889	1113.073611	1528.025694	924.9694444	1121.121181	977.5409722	1068.861806	1035.665278	1032.225	2018.963889	916.0208333	1080.404167	936.7305556	2905.817361	892.8465278	1011.850347	1056.822222	969.8746528	2804.765972	911.0347222	950.1861111	959.1510417	958.76875	898.99375	1585.970139	3169.830556	1089.588542	1660.747917	1014.4375	1060.744444	1189.192361	1002.970833	1166.538889	931.2458333	995.0993056	2118.251389	1778.395833	1457.493056	1022.151389	1202.524306	984.5201389	3594.265278	1446.306944	940.4319444	1259.891667	1421.156944	1107.113194	898.99375	961.8753472	997.0583333	1164.463889	1037.042361	1002.209722	2410.031944	942.5631944	1037.042361	1372.972569	1004.589583	1031.377778	3120.464583	1071.763194	958.76875	1327.395833
ACPP	471.9076389	621.4645833	610.9375	635.8020833	707.9576389	759.6927083	717.7972222	726.4347222	548.0888889	618.0541667	726.4347222	615.9222222	511.4833333	638.4486111	419.4611111	494.2152778	578.9847222	665.1454861	976.4072917	680.8284722	548.0888889	610.9375	544.7777778	615.9222222	468.14375	519.94375	519.94375	529.9267361	1144.01875	633.9541667	631.65625	553.8354167	591.53125	599.8652778	714.7201389	523.9576389	596.5493056	561.9833333	523.9576389	889.4364583	598.6583333	596.5493056	788.1625	489.5833333	693.075	551.1409722	494.2152778	727.79375	589.2944444	642.9708333	674.6298611	624.9076389	723.50625	581.4090278	788.7305556	624.9076389	570.5	570.5	705.0055556	699.7388889	511.4833333	564.6486111	573.7763889	706.6166667	615.9222222	519.94375	646.9479167	598.6583333	659.6965278	531.8027778	991.6194445	586.5520833	531.8027778	538.7611111	535.5520833	787.5944444	570.5	498.7666667	613.2951389	596.5493056	584.26875	551.1409722	714.7201389	631.65625	699.7388889	624.9076389	651.6833333	610.9375	603.3611111	659.6965278	489.5833333	638.4486111	657.9888889	883.9388889	696.4854167	584.26875	651.6833333	519.94375	1109.403472	689.6722222	605.9034722	631.65625	752.3694444	544.7777778	535.5520833	613.2951389	798.4114583	608.5625	678.9388889	594.2638889	618.0541667	675.6940972	655.9326389	645.9302083	463.9138889	610.9375	815.1597222	608.5625	664.1631944	687.7326389
