	temp41	temp95	temp96	temp44	temp68	temp112	temp70	temp82	temp22	temp37	temp89	temp79	temp39	temp71	temp103	temp25	temp20	temp61	temp21	temp4	temp106	temp33	temp83	temp48	temp6	temp47	temp12	temp118	temp110	temp78	temp66	temp86	temp72	temp100	temp51	temp109	temp102	temp49	temp32	temp24	temp107	temp75	temp1	temp105	temp19	temp52	temp13	temp31	temp7	temp60	temp111	temp30	temp94	temp46	temp17	temp74	temp85	temp35	temp101	temp58	temp80	temp117	temp81	temp77	temp50	temp120	temp93	temp36	temp73	temp26	temp91	temp76	temp10	temp62	temp28	temp98	temp9	temp16	temp8	temp53	temp113	temp3	temp84	temp56	temp18	temp97	temp69	temp34	temp108	temp57	temp88	temp67	temp65	temp92	temp114	temp59	temp119	temp29	temp45	temp2	temp87	temp43	temp11	temp15	temp64	temp38	temp104	temp27	temp23	temp116	temp54	temp14	temp55	temp5	temp115	temp63	temp90	temp99	temp40	temp42
S-1-pyrroline-5-carboxylate	1.000730565	1.176153684	1.252995631	0.909690043	1.087811395	1.260709723	0.807715269	0.623611555	0.991169384	1.59266191	0.765539495	0.753616792	1.740677133	1.909529316	1.577879044	0.647809463	1.618405527	1.009757238	1.520430861	0.871110752	1.229974604	0.94508504	0.706008151	0.699553645	1.129136026	1.251070119	0.684845186	0.960733504	0.498421972	0.612476562	1.316921071	0.740447886	0.710630557	0.701051443	1.137121253	1.038937548	0.61207267	1.441072152	0.794119454	0.817792222	1.409669501	0.675270355	0.856514709	0.770352204	1.02984637	0.581276525	0.996809683	1.274274223	0.425891416	1.191773777	0.817802393	1.08309986	1.274432139	0.896653092	1.867901432	0.806803636	1.565657638	1.910994461	1.013279046	1.126217246	1.273659151	1.285560441	1.075228922	0.788411438	1.311920736	1.0637251	0.803295211	0.485844852	1.190166239	1.934176082	1.129124785	1.117466793	1.18258196	0.798580731	1.29485932	1.069471123	1.172545959	1.257116719	0.927291587	0.911083189	1.19481889	1.07588441	0.969163841	1.118481742	0.670937552	0.763993786	1.540020013	0.859316791	0.696722388	1.338142652	1.075639773	0.767749256	0.858757659	0.649556716	1.040586304	1.187782234	1.34007887	0.866995017	0.975708279	0.913129948	0.757322211	0.673851782	1.127233265	1.319680061	1.124053521	0.737894991	0.504458133	1.200777967	1.072403018	0.406361148	0.542772713	0.939498005	0.577673618	0.748760455	0.999269435	0.906269944	1.011724236	0.459714473	1.045299713	0.87411197
spermidine	0.973496923	0.379500352	1.010068616	0.739231622	0.865492164	1.638421507	1.971788449	0.634451411	0.722095086	0.748675864	1.87652093	0.688918139	0.885513772	1.210952546	0.645552326	1.901329409	1.341543935	1.091816347	0.907003354	0.883348349	1.163642536	0.648124749	0.52352273	0.795991423	1.690068838	0.988824159	0.85287795	0.556547977	1.456535212	1.180407222	0.780213712	0.819306954	0.907477879	1.465612229	0.797118997	0.782295885	1.481272466	0.906949704	0.554925528	0.959176085	1.043153988	0.928106286	0.755391358	0.496655203	1.069618216	1.221291262	1.332123743	0.875788331	0.849562753	1.191658912	1.215946616	2.093657095	1.328792821	0.673186678	2.37638588	1.014818487	0.992208732	2.052730505	0.458421285	1.374754181	1.118706999	1.023373805	0.378942578	0.842302434	1.03550147	0.798850596	0.824131749	1.410021626	0.589224499	1.322188326	2.818903654	0.499253526	1.053483455	0.472934523	1.314365608	1.198935881	0.801388794	0.849233453	0.538308842	0.415278397	0.750832037	0.688081015	1.072949138	1.21781789	1.522374806	0.66477566	1.373735757	0.883450099	1.818350504	0.675520451	1.249222538	1.085902827	0.528458526	1.113845203	0.495825479	0.875506206	1.631778163	3.243812218	2.500760349	0.565353044	1.404443881	0.652029171	1.294433725	1.148075724	0.654572919	1.007791268	1.873435133	1.925327588	1.979111668	0.705113026	1.189868114	0.78879863	1.351076977	1.661619563	1.008603418	0.521459057	1.167410983	1.080755206	0.856019247	1.443336398
1-methylnicotinamide	1.143010851	1.345111957	0.667331678	0.492969783	1.021397812	0.399136049	1.506174704	1.157886215	0.6520829	1.195998312	1.275991427	0.660138887	0.594128882	2.464314569	1.759241695	0.888654304	0.709068947	0.577462165	0.63387489	1.467101063	1.273013616	2.304358094	1.475001706	0.857853323	0.733667739	2.264376414	1.157709357	1.820841282	0.821508831	2.737847934	0.486758234	1.290059055	0.829991596	0.508608879	1.108169792	0.831099963	1.293720969	0.238822505	1.115015014	2.174843295	0.964459541	0.42309614	1.006490737	0.917488332	4.859465443	2.522543933	1.003410247	0.91036064	1.057059739	0.928768837	0.402696402	0.702729155	0.679510583	0.635823543	1.940891235	0.298414486	0.576738667	0.893846474	1.694869234	0.24053856	1.108302646	0.583599115	2.612110859	1.581097885	0.400943188	0.730774166	0.643943792	0.870700965	0.748784222	0.466533958	2.032873965	1.573219595	0.675026265	0.578355396	1.567966097	0.905688288	10.06688969	2.479841068	0.679422015	2.02662833	0.246487895	0.69236996	1.259779429	1.056493541	1.054016689	0.970888462	2.425891085	1.658376522	0.467564653	0.810486348	1.210724338	0.422120486	0.404164633	0.783590217	0.702742845	1.210876749	1.276063651	1.687777445	1.41131712	2.78425546	2.23677718	1.257332611	0.744063395	1.166745049	0.996589753	3.283884247	0.506900926	1.326422826	2.417470066	1.172730986	0.891707971	4.064157884	0.892878365	1.241586787	0.544246637	0.522712828	1.570918343	1.5286037	0.740391702	0.488907773
5-hydroxyindoleacetate	2.28263561	0.821130645	1.47238279	1.20921456	0.591671719	6.733493285	0.978611498	1.419769636	0.593959989	8.09074531	1.009298235	0.856035315	2.270818569	0.63747129	0.60949974	0.570547904	0.71619464	0.432722274	1.602763002	0.842954602	0.625739632	0.629820951	0.536121381	0.580571897	0.843501054	0.965530785	1.260871421	0.867784049	0.404426267	0.582347868	0.404426267	1.43845149	0.791878346	1.431330527	1.019424688	1.043314919	0.942733459	0.404426267	0.404426267	1.129910604	1.02374508	0.89514084	0.637864053	1.005490143	2.112125274	0.404426267	1.210170852	0.734073891	0.404426267	0.762130824	0.848487436	0.856564691	0.835304263	0.994509857	0.942579769	1.47269017	0.451199208	8.419180492	1.046747325	0.961500696	0.572033573	0.758920414	0.947600304	1.393147141	0.803217241	0.607809151	1.107745114	2.669319239	1.022925401	3.167342617	0.929806436	2.632416602	2.068972583	2.004508235	1.528428351	1.187031993	1.368232311	0.961432389	4.45225796	0.852141839	1.290909246	0.903064405	1.597452164	0.481885945	1.634610951	1.412307141	3.126409891	0.990701765	0.562146193	0.404426267	1.351070279	0.71853414	0.404426267	1.052536309	0.613034606	0.80979175	2.265371118	1.397091847	1.216352599	8.558423484	1.201922831	10.29149839	7.016402121	1.985450695	1.02980729	3.140925042	1.350950742	0.765751074	1.232131422	0.404426267	0.54035639	0.607587155	0.653642876	1.165754489	0.560831291	0.821147722	0.697581093	1.255321511	1.366251419	0.833579522
alpha-ketoglutarate	1.03534401	1.140413102	1.197730539	1.084979525	0.999406854	1.612586225	1.460495149	1.250007421	1.401321642	1.508059585	1.103493946	1.134583173	2.370624731	1.126612692	1.557959569	1.407993347	1.336242236	1.193202751	1.206432636	0.876608116	1.420380317	0.847723364	1.570569798	1.114410903	0.71501523	1.471020785	1.352845009	2.628941127	1.269081793	1.126714601	0.690084515	0.820522069	0.995281674	1.332368626	0.766214653	0.7827232	1.268367012	0.966670258	1.521464928	0.635546679	0.898172202	0.811786303	1.117573241	1.220175097	1.521728211	0.74687567	0.787321076	0.730035411	1.375449803	1.43651433	0.770797829	0.924809041	1.082698512	0.927763816	0.691521618	0.880889123	0.87207478	0.980785451	1.064888867	0.829252618	0.639890709	1.703780171	0.978234942	1.006024973	1.114845092	1.121474877	0.809121794	0.813687424	0.929711315	0.540194357	1.023101058	1.951786176	0.772128044	1.025192576	1.066338584	1.185216006	0.935342217	0.87504032	1.479703628	1.027354798	0.939696822	0.653757841	1.103240811	0.793097372	0.946506571	1.000593146	0.890850872	1.05839428	0.866332011	0.920779273	0.907125252	0.796046172	1.035268942	0.905354113	1.314698968	1.744357219	1.091470128	0.80557577	1.527473873	0.969595869	1.014919932	1.28006201	0.76557162	0.686460957	0.604832223	0.742665748	1.022447972	0.71326932	1.010250829	0.840466053	0.981165912	1.674679605	0.513179238	0.731399723	0.595066514	0.998748077	0.918657833	0.827074273	0.535377584	0.682594792
kynurenate	0.749089869	1.14794868	1.255519471	0.380782856	1.001961841	0.889713031	1.33814308	1.095208099	1.101328366	0.827162683	0.742437062	1.01666692	1.099513452	1.357295373	1.202501924	0.858616308	1.192534535	1.280342807	0.897738282	1.043365967	0.713020148	0.783806286	0.599240146	0.49349215	0.911192512	1.222008869	0.868325872	0.311300484	1.422562462	1.114727428	1.274091938	1.13466108	0.927864498	1.148682752	1.140001115	0.8189359	0.415898959	0.908062574	0.681467446	0.614609492	1.067711931	1.420061889	0.835884852	1.7888474	1.157077291	1.346163827	0.872982499	0.776774058	1.413582467	1.159684822	0.939427255	0.785508612	1.025663803	1.130419901	1.583324186	0.527525159	0.562217933	0.746965339	1.045100943	0.513466333	0.752940368	0.6542246	0.564889639	1.330388039	0.603015211	0.901803824	1.010879912	0.734193391	1.718403529	3.272352458	1.606279691	1.775184883	3.687101897	0.848863962	1.295082789	0.686789466	0.927870128	1.599446744	0.854486592	1.000112025	1.218649252	0.801793297	1.785583483	0.609791865	0.901578648	0.585881615	0.806704372	0.97724096	1.125226231	1.052116283	1.066811229	1.330300221	0.586268917	1.457887979	0.489645028	0.874482167	0.997118318	1.562545	1.507265566	1.977778566	1.573620252	1.281118536	0.999261988	1.84464699	1.046394576	0.932007726	1.093289604	1.119173516	1.076443107	1.008776774	0.611514457	0.408818319	0.867082903	1.667446336	0.867569282	0.684267502	0.711630816	0.686077912	0.999887975	0.972278094
3-hydroxyisobutyrate	0.84987167	1.807102008	1.002702755	0.49515879	1.528456069	2.330507961	1.84113796	1.085925998	1.081595588	0.818602589	0.881541295	1.126209453	3.619919772	1.910161404	0.989426899	2.61221106	1.702387642	1.363720461	0.622158717	0.542156815	0.711803551	1.039701887	0.615165181	1.254059582	1.53186551	1.344753617	1.269127982	1.298943921	2.09863996	1.188164348	0.816110297	0.950079557	0.851459836	3.277448693	1.993816753	0.841294781	1.488555891	1.343505843	0.780275858	0.352611225	1.248237675	1.074853419	1.838468748	1.062446022	0.797828483	0.999019869	1.533878706	0.447645718	0.851010462	0.873838244	0.908034555	1.313856774	0.990321684	1.3926937	2.479095964	0.747739896	0.545529456	0.940860381	0.884091759	0.74068734	0.676345738	1.055130352	0.482143075	0.764416701	1.006405174	0.720140256	0.436236427	0.867280495	1.492908098	0.788495088	1.918111292	0.613333999	1.968848393	0.685459045	1.367935803	0.979873275	0.797297018	1.000980131	0.815769338	0.714820798	2.344658081	1.323651432	1.538431326	0.960547215	1.203537332	0.738856583	1.047779016	0.795587981	1.817695349	1.037073862	0.955950436	0.856311095	0.632814333	2.45527503	1.071612688	1.207398411	1.488766496	0.747209847	1.360738032	1.390737967	1.672234849	0.437517603	0.338814377	1.081519442	0.525595644	0.338814377	1.272587951	0.55063463	1.109475043	0.338814377	2.626163738	0.586183026	0.657740091	1.034317465	0.685084402	0.682911271	0.826005869	0.920128169	0.599653635	0.972642668
3-hydroxy-3-methylglutarate	0.927460008	0.783231157	1.473854499	1.136512625	0.734641834	1.683720248	1.332652121	1.405526604	1.073245012	2.70013586	1.032066253	0.573851584	6.122867292	1.663891254	0.672282359	1.256293165	1.370027968	0.891153483	1.07285712	0.673411307	0.960215227	0.733930918	0.564966114	0.578768372	0.963545067	1.146592565	1.056867074	1.021008066	0.952260173	0.800912332	1.116648249	1.196648931	1.181642374	1.539839975	0.753165625	0.982640867	0.943472986	1.170912453	0.591298844	1.019129544	1.245678563	0.762594274	1.092235976	0.790584062	2.211214196	0.834441369	1.22904902	1.037089843	0.959593421	1.928762262	1.303657222	0.734549448	1.374962448	1.228843936	1.827985136	0.861304829	0.667704976	1.383873471	1.29983662	0.806156076	0.99233095	0.695308837	0.705519822	0.847198548	0.802933037	0.765099844	1.313202501	0.857767939	1.00766905	3.200260516	0.800965405	2.176072656	0.768057518	1.013332792	1.559378705	2.205913447	2.612616503	0.807054386	1.681250059	0.838805805	0.898213504	0.564966114	1.122238606	1.365793266	1.263764665	1.075386933	1.200710654	0.764915072	0.931609531	0.637494639	2.594639823	1.216413713	0.974913175	0.804996332	0.767873401	1.767190986	0.984289406	1.26569495	1.925844557	0.564966114	1.091323251	1.433249716	0.865702027	1.270732955	0.564966114	0.844362745	0.80341135	0.744756501	0.696780467	0.984342479	1.225843672	0.861332349	0.564966114	1.176425494	0.805704628	0.720326537	0.900092026	0.956473253	0.751118055	0.776035505
homovanillate (HVA)	0.323649332	0.792905682	0.515176635	1.295194949	0.32200106	1.543004482	0.662595788	2.711696949	1.020068437	1.880688226	0.78516555	0.32200106	1.636608993	0.731293074	0.32200106	0.390438093	0.723716806	0.32200106	2.110376404	1.014362138	0.433408839	0.805764133	0.745298569	0.53369319	0.564364548	0.814159719	1.12524941	0.32200106	0.625032532	0.822420358	1.140999566	0.730213504	0.597792665	0.863781387	0.32200106	0.648908381	0.621649236	0.32200106	0.623981879	0.32200106	1.280958118	1.121866114	1.309971565	0.590611596	0.32200106	52.16435491	0.927871223	0.650836185	0.32200106	0.712747602	0.775034941	1.218082799	0.980991855	0.32200106	0.390033255	0.32200106	1.376673575	1.510752325	1.075907273	1.751920574	1.055549665	2.032425659	0.32200106	1	1.122550484	0.32200106	0.32200106	0.576451877	0.747920382	3.301257892	0.869140681	2.374707215	0.771266085	0.664803123	0.32200106	0.452715794	1.386235481	1.000453034	1.023981879	0.820714251	0.647105885	0.32200106	0.755872572	1.164113933	0.960325799	1.369367198	1.416154995	1.286876476	0.32200106	0.324025254	1.378119427	0.738907899	1.16934792	1.09380693	1.06080293	0.32200106	0.955477372	1.47632175	0.877574823	1.610361945	0.403672466	1.211306569	0.964807943	1.062354812	0.32200106	1.446392597	1.24823365	0.631191865	1.117596029	1.382890742	0.32200106	1.043982843	0.858518483	1.883040147	0.996626343	1.115764615	0.32200106	2.078104969	2.078741144	1.14538532
3-phosphoglycerate	0.981307546	0.46093853	0.694603626	1.202465129	0.530511128	0.827442907	0.877554883	0.959537777	0.76301182	0.619261985	1.35691907	0.609942929	0.70549561	0.964664542	0.575031561	1.828040674	1.144586818	1.212945312	1.140621727	1.010934858	1.71789635	0.578621989	0.69034088	0.785556583	2.762481502	2.511530031	0.78032168	1.198528984	2.881809436	2.532578328	0.46680042	0.698855449	0.717359206	2.597009415	0.510510358	0.675571736	1.319919202	0.671682015	0.733673425	0.704315368	0.793525542	0.880104884	1.243724466	0.928021859	1.191442613	0.95104724	1.333422903	0.910563444	1.179755972	1.699493086	1.816092425	0.651168405	1.184831398	0.750013313	2.385976468	2.116634293	1.141011683	3.31202452	0.823898356	1.408224942	0.989065142	0.876925711	0.412860439	0.709484186	1.116095511	0.768653062	0.727995589	1.927630539	0.974027836	1.341526762	3.1613822	0.551982696	0.512841897	0.500431053	1.256730619	1.342725028	1.142458449	0.550852699	1.578760986	0.630279585	1.35994368	0.820449382	1.558689215	1.737420872	1.618352909	1.607074792	1.313696303	1.964391191	2.555315338	1.095634877	1.221156217	0.784759196	0.548044366	0.495290635	0.443870617	1.199871435	1.33943007	1.363689763	2.343243603	0.541825837	1.850369706	0.655777959	1.279925854	0.95045193	0.886337613	0.772089475	1.205247246	0.897099066	1.836556881	1.013206866	1.978185447	0.252341438	1.536010643	0.50210939	1.201829949	0.692533696	1.15092714	2.197483915	0.820632345	1.470204336
