CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
35,400,42370,166164,Amino Acid,Glutamate Metabolism,62,NAMED,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206,HMDB0001301,C04322,11966181,Pos Early
50,400,485,155305,Amino Acid,Polyamine Metabolism,545,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,1102,Pos Early
55,400,27665,155829,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4317,NAMED,LDHMAVIPBRSVRG-UHFFFAOYSA-N,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1-methylnicotinamide,1005-24-9,8305504,HMDB0000699,C02918,457,Pos Early
62,209,38395,143675,Lipid,"Fatty Acid, Dihydroxy",2031,NAMED,CQSLTKIXAJTQGA-FLIBITNWSA-N,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME","12,13-DiHOME",263399-35-5,8412123,HMDB0004705,C14829,10236635,Neg
71,209,437,123157,Amino Acid,Tryptophan Metabolism,290,NAMED,DUUGKQCEGZLZNO-UHFFFAOYSA-N,OC1=CC=C(NC=C2CC(O)=O)C2=C1,5-hydroxyindoleacetate,5-hydroxyindoleacetate,54-16-0,1760,HMDB0000763,C05635,1826,Neg
93,305,528,146398,Energy,TCA Cycle,1446,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,51,Polar
98,209,1417,124553,Amino Acid,Tryptophan Metabolism,272,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712,HMDB0000715,C01717,3845,Neg
111,305,1549,147711,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428,NAMED,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(C(O)=O)CO,3-hydroxyisobutyrate,3-hydroxyisobutyrate,2068-83-9,10140307,"HMDB0000023,HMDB0000336","C01188,C06001",11966314,Polar
112,305,531,146400,Lipid,Mevalonate Metabolism,3176,NAMED,NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,503-49-1,4573695,HMDB0000355,C03761,"1662,5459993",Polar
117,209,1101,124537,Amino Acid,Tyrosine Metabolism,210,NAMED,QRMZSPFSDQBLIX-UHFFFAOYSA-N,COC1=CC(CC(O)=O)=CC=C1O,homovanillate (HVA),homovanillate (HVA),306-08-1,5323114,HMDB0000118,C05582,1738,Neg
132,400,1414,155361,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,NAMED,OSJPPGNTCRNQQC-UHFFFAOYSA-N,OC(C(O)=O)COP(O)(O)=O,3-phosphoglycerate,3-phosphoglycerate,80731-10-8,10669764,HMDB0000807,C00597,724,Pos Early
136,209,22842,124689,Lipid,Primary Bile Acid Metabolism,3454,NAMED,BHQCQFFYRZLCQQ-OLRQUHAPSA-N,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,cholate,cholate,81-25-4,,HMDB0000619,C00695,221493,Neg
158,400,1418,155364,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4281,NAMED,NBAKTGXDIBVZOO-UHFFFAOYSA-N,O=C(NCC1C)NC1=O,"5,6-dihydrothymine","5,6-dihydrothymine",696-04-8,84456,HMDB0000079,C00906,93556,Pos Early
171,400,3127,155485,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4121,NAMED,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=C1C(N=CN2)=C2N=CN1,hypoxanthine,hypoxanthine,68-94-0,768,HMDB0000157,C00262,"790,135398638",Pos Early
179,209,38399,143740,Lipid,"Fatty Acid, Dihydroxy",2032,NAMED,XEBKSQSGNGRGDW-YFHOEESVSA-N,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,"9,10-DiHOME","9,10-DiHOME",263399-34-4,8142232,HMDB0004704,C14828,9966640,Neg
180,209,1105,125969,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1568,NAMED,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),60-33-3,4444105,"HMDB0006270,HMDB0000673",C01595,5280450,Neg
181,209,1645,125740,Lipid,Medium Chain Fatty Acid,1503,NAMED,POULHZVOKOAJMA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC,laurate (12:0),laurate (12:0),143-07-7,3756,HMDB0000638,C02679,3893,Neg
182,400,1899,155456,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4301,NAMED,GJAWHXHKYYXBSV-UHFFFAOYSA-N,OC(C(C=CC=N1)=C1C(O)=O)=O,quinolinate,quinolinate,89-00-9,1037,HMDB0000232,C03722,1066,Pos Early
189,400,1498,155380,Amino Acid,Lysine Metabolism,116,NAMED,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379,HMDB0001325,C03793,440120,Pos Early
192,400,37496,156406,Amino Acid,Polyamine Metabolism,538,NAMED,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,18233-70-0,109095,HMDB0002064,C02714,122356,Pos Early
194,209,2829,124831,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",437,NAMED,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809,HMDB0001015,C03145,439750,Neg
197,209,42382,124939,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,NAMED,ZJUKTBDSGOFHSH-UHFFFAOYSA-N,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),979-92-0,16788012,HMDB0000939,C00021,439155,Neg
207,209,2831,123233,Nucleotide,"Purine Metabolism, Adenine containing",4143,NAMED,IVOMOUWHDPKRLL-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O,"adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)",60-92-4,268,HMDB0000058,C00575,6076,Neg
208,400,3108,155484,Nucleotide,"Purine Metabolism, Adenine containing",4139,NAMED,XTWYTFMLZFPYCI-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3,adenosine 5'-diphosphate (ADP),ADP,20398-34-9,5800,HMDB0001341,C00008,6022,Pos Early
209,400,32342,155907,Nucleotide,"Purine Metabolism, Adenine containing",4140,NAMED,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183,HMDB0000045,C00020,6083,Pos Early
212,400,1419,155365,Amino Acid,Polyamine Metabolism,556,NAMED,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321,HMDB0001173,C00170,439176,Pos Early
213,209,37114,127643,Nucleotide,"Purine Metabolism, Adenine containing",4155,NAMED,VQAYFKKCNSOZKM-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,N6-methyladenosine,N6-methyladenosine,1867-73-8,92307,HMDB0004044,,102175,Neg
215,209,558,125963,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4327,NAMED,SDMADEZQMYCSNO-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O,adenosine 5'-diphosphoribose (ADP-ribose),adenosine 5'-diphosphoribose (ADP-ribose),68414-18-6,3674071,HMDB0001178,C00301,192,Neg
