ID	Symbol	Synonyms	Chromosome
"9370"	"ADIPOQ"	"ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28"	"3"
"133"	"ADM"	"AM, PAMP"	"11"
"79924"	"ADM2"	"AM2, dJ579N16.4"	"22"
"181"	"AGRP"	"AGRT, ART, ASIP2"	"16"
"183"	"AGT"	"ANHU, SERPINA8, hFLT1"	"1"
"258"	"AMBN"	"AI1F"	"4"
"265"	"AMELX"	"AI1E, AIH1, ALGN, AMG, AMGL, AMGX"	"X"
"268"	"AMH"	"MIF, MIS"	"19"
"253935"	"ANGPTL5"	"-"	"11"
"10218"	"ANGPTL7"	"AngX, CDT6, dJ647M16.1"	"1"
"8862"	"APLN"	"APEL, XNPEP2"	"X"
"374"	"AREG"	"AR, AREGB, CRDGF, SDGF"	"4"
"7873"	"MANF"	"ARMET, ARP"	"3"
"441549"	"CDNF"	"ARMETL1"	"10"
"9048"	"ARTN"	"ART, ENOVIN, EVN, NBN"	"1"
"551"	"AVP"	"ADH, ARVP, AVP-NPII, AVRP, VP"	"20"
"566"	"AZU1"	"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC, hHBP"	"19"
"627"	"BDNF"	"ANON2, BULN2"	"11"
"649"	"BMP1"	"OI13, PCOLC, PCP, PCP2, TLD"	"8"
"27302"	"BMP10"	"-"	"2"
"9210"	"BMP15"	"GDF9B, ODG2, POF4"	"X"
"650"	"BMP2"	"BDA2, BMP2A, SSFSC"	"20"
"651"	"BMP3"	"BMP-3A"	"4"
"652"	"BMP4"	"BMP2B, BMP2B1, MCOPS6, OFC11, ZYME"	"14"
"653"	"BMP5"	"-"	"6"
"654"	"BMP6"	"VGR, VGR1"	"6"
"655"	"BMP7"	"OP-1"	"20"
"353500"	"BMP8A"	"OP-2"	"1"
"656"	"BMP8B"	"BMP8, OP2"	"1"
"685"	"BTC"	"-"	"4"
"56005"	"MYDGF"	"C19orf10, EUROIMAGE1875335, IL25, IL27, IL27w, R33729_1, SF20"	"19"
"718"	"C3"	"AHUS5, ARMD9, ASP, C3a, C3b, CPAMD1, HEL-S-62p"	"19"
"727"	"C5"	"C5D, C5a, C5b, CPAMD4, ECLZB"	"9"
"796"	"CALCA"	"CALC1, CGRP, CGRP-I, CGRP-alpha, CGRP1, CT, KC, PCT"	"11"
"797"	"CALCB"	"CALC2, CGRP-II, CGRP2"	"11"
"820"	"CAMP"	"CAP-18, CAP18, CRAMP, FALL-39, FALL39, HSD26, LL37"	"3"
"847"	"CAT"	"-"	"11"
"885"	"CCK"	"-"	"3"
"6346"	"CCL1"	"I-309, P500, SCYA1, SISe, TCA3"	"17"
"6356"	"CCL11"	"SCYA11"	"17"
"6357"	"CCL13"	"CKb10, MCP-4, NCC-1, NCC1, SCYA13, SCYL1"	"17"
"6358"	"CCL14"	"CC-1, CC-3, CKB1, HCC-1, HCC-1(1-74), HCC-1/HCC-3, HCC-3, MCIF, NCC-2, NCC2, SCYA14, SCYL2, SY14"	"17"
"348249"	"CCL15-CCL14"	"CCL15, HCC-2, LKN-1, MIP-5, MIP5, Mrp-2b, NCC-3, NCC3, SCYA15"	"17"
"6359"	"CCL15"	"HCC-2, HMRP-2B, LKN-1, LKN1, MIP-1 delta, MIP-1D, MIP-5, MRP-2B, NCC-3, NCC3, SCYA15, SCYL3, SY15"	"17"
"6360"	"CCL16"	"CKb12, HCC-4, ILINCK, LCC-1, LEC, LMC, Mtn-1, NCC-4, NCC4, SCYA16, SCYL4"	"17"
"6361"	"CCL17"	"A-152E5.3, ABCD-2, SCYA17, TARC"	"16"
"6362"	"CCL18"	"AMAC-1, AMAC1, CKb7, DC-CK1, DCCK1, MIP-4, PARC, SCYA18"	"17"
"6363"	"CCL19"	"CKb11, ELC, MIP-3b, MIP3B, SCYA19"	"9"
"6347"	"CCL2"	"GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF"	"17"
"6364"	"CCL20"	"CKb4, Exodus, LARC, MIP-3-alpha, MIP-3a, MIP3A, SCYA20, ST38"	"2"
"6366"	"CCL21"	"6Ckine, CKb9, ECL, SCYA21, SLC, TCA4"	"9"
"6367"	"CCL22"	"A-152E5.1, ABCD-1, DC/B-CK, MDC, SCYA22, STCP-1"	"16"
"6368"	"CCL23"	"CK-BETA-8, CKb8, Ckb-8, Ckb-8-1, MIP-3, MIP3, MPIF-1, SCYA23, hmrp-2a"	"17"
"6369"	"CCL24"	"Ckb-6, MPIF-2, MPIF2, SCYA24"	"7"
"6370"	"CCL25"	"Ckb15, SCYA25, TECK"	"19"
"10344"	"CCL26"	"IMAC, MIP-4a, MIP-4alpha, SCYA26, TSC-1"	"7"
"10850"	"CCL27"	"ALP, CTACK, CTAK, ESKINE, ILC, PESKY, SCYA27"	"9"
"56477"	"CCL28"	"CCK1, MEC, SCYA28"	"5"
"6348"	"CCL3"	"G0S19-1, LD78ALPHA, MIP-1-alpha, MIP1A, SCYA3"	"17"
"6349"	"CCL3L1"	"464.2, D17S1718, G0S19-2, LD78, LD78-beta(1-70), LD78BETA, MIP1AP, SCYA3L, SCYA3L1"	"17"
"390788"	"CCL3P1"	"CCL3L2, G0S19-3, LD78gamma, SCYA3L2"	"17"
"414062"	"CCL3L3"	"464.2, D17S1718, G0S19-2, LD78, LD78BETA, SCYA3L, SCYA3L1"	"17"
"6351"	"CCL4"	"ACT2, AT744.1, G-26, HC21, LAG-1, LAG1, MIP-1-beta, MIP1B, MIP1B1, SCYA2, SCYA4"	"17"
"9560"	"CCL4L2"	"AT744.2, CCL4L, SCYA4L, SCYQ4L2"	"17"
"388372"	"CCL4L1"	"AT744.2, CCL4L, LAG-1, LAG1, MIP-1-beta, SCYA4L, SCYA4L1, SCYA4L2"	"17"
"6352"	"CCL5"	"D17S136E, RANTES, SCYA5, SIS-delta, SISd, TCP228, eoCP"	"17"
"6354"	"CCL7"	"FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7"	"17"
"6355"	"CCL8"	"HC14, MCP-2, MCP2, SCYA10, SCYA8"	"17"
"51293"	"CD320"	"8D6, 8D6A, TCBLR, TCN2R"	"19"
"959"	"CD40LG"	"CD154, CD40L, HIGM1, IGM, IMD3, T-BAM, TNFSF5, TRAP, gp39, hCD40L"	"X"
"970"	"CD70"	"CD27-L, CD27L, CD27LG, LPFS3, TNFSF7, TNLG8A"	"19"
"51816"	"ADA2"	"ADGF, CECR1, IDGFL, PAN, SNEDS, VAIHS"	"22"
"9350"	"CER1"	"DAND4"	"9"
"1081"	"CGA"	"CG-ALPHA, FSHA, GPA1, GPHA1, GPHa, HCG, LHA, TSHA"	"6"
"1082"	"CGB3"	"CGB, CGB5, CGB7, CGB8, hCGB"	"19"
"114335"	"CGB1"	"-"	"19"
"114336"	"CGB2"	"-"	"19"
"93659"	"CGB5"	"CGB, HCG, hCGB"	"19"
"94027"	"CGB7"	"CG-beta-a, CGB6"	"19"
"94115"	"CGB8"	"-"	"19"
"1113"	"CHGA"	"CGA"	"14"
"1114"	"CHGB"	"SCG1"	"20"
"51192"	"CKLF"	"C32, CKLF1, CKLF2, CKLF3, CKLF4, HSPC224, UCK-1"	"16"
"23529"	"CLCF1"	"BSF-3, BSF3, CISS2, CLC, NNT-1, NNT1, NR6"	"11"
"6320"	"CLEC11A"	"CLECSF3, LSLCL, P47, SCGF"	"19"
"1215"	"CMA1"	"CYH, MCT1, chymase"	"14"
"113540"	"CMTM1"	"CKLFH, CKLFH1, CKLFSF1"	"16"
"146225"	"CMTM2"	"CKLFSF2"	"16"
"123920"	"CMTM3"	"BNAS2, CKLFSF3"	"16"
"146223"	"CMTM4"	"CKLFSF4"	"16"
"116173"	"CMTM5"	"CKLFSF5"	"14"
"54918"	"CMTM6"	"CKLFSF6, PRO2219"	"3"
"112616"	"CMTM7"	"CKLFSF7"	"3"
"152189"	"CMTM8"	"CKLFSF8, CKLFSF8-V2"	"3"
"1270"	"CNTF"	"HCNTF"	"11"
"1325"	"CORT"	"CST-14, CST-17, CST-29"	"1"
"1392"	"CRH"	"CRF, CRH1"	"8"
"1435"	"CSF1"	"CSF-1, MCSF"	"1"
"1437"	"CSF2"	"CSF, GMCSF"	"5"
"1440"	"CSF3"	"C17orf33, CSF3OS, GCSF"	"17"
"1442"	"CSH1"	"CS-1, CSA, CSMT, GHB3, PL, hCS-1, hCS-A"	"17"
"1443"	"CSH2"	"CS-2, CSB, GHB1, PL, hCS-B"	"17"
"1444"	"CSHL1"	"CS-5, CSHP1, CSL, GHB4, hCS-L"	"17"
"10675"	"CSPG5"	"NGC"	"3"
"1489"	"CTF1"	"CT-1, CT1"	"16"
"1490"	"CCN2"	"CTGF, HCS24, IGFBP8, NOV2"	"6"
"1511"	"CTSG"	"CATG, CG"	"14"
"6376"	"CX3CL1"	"ABCD-3, C3Xkine, CXC3, CXC3C, NTN, NTT, SCYD1, fractalkine, neurotactin"	"16"
"2919"	"CXCL1"	"FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1"	"4"
"3627"	"CXCL10"	"C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1"	"4"
"6373"	"CXCL11"	"H174, I-TAC, IP-9, IP9, SCYB11, SCYB9B, b-R1"	"4"
